        Frequency / MHz                S1,1/abs,linear
----------------------------------------------------------------------
                      50                      0.89322315
                    50.2                      0.89312955
                    50.4                      0.89302905
                    50.6                      0.89292224
                    50.8                      0.89280954
                      51                      0.89269183
                    51.2                      0.89235914
                    51.4                      0.89201263
                    51.6                       0.8916534
                    51.8                      0.89128275
                      52                      0.89090188
                    52.2                      0.89071788
                    52.4                      0.89054192
                    52.6                       0.8903746
                    52.8                      0.89021684
                      53                      0.89006971
                    53.2                      0.88939481
                    53.4                      0.88871399
                    53.6                      0.88802925
                    53.8                      0.88734259
                      54                      0.88665602
                    54.2                      0.88607185
                    54.4                      0.88549515
                    54.6                       0.8849275
                    54.8                      0.88437063
                      55                      0.88382594
                    55.2                      0.88366038
                    55.4                      0.88352321
                    55.6                      0.88341541
                    55.8                      0.88333756
                      56                      0.88329038
                    56.2                       0.8830759
                    56.4                      0.88288505
                    56.6                      0.88271785
                    56.8                      0.88257419
                      57                      0.88245352
                    57.2                      0.88230845
                    57.4                      0.88219253
                    57.6                      0.88210498
                    57.8                      0.88204453
                      58                      0.88200992
                    58.2                      0.88187576
                    58.4                      0.88176286
                    58.6                      0.88166879
                    58.8                      0.88159116
                      59                      0.88152737
                    59.2                      0.88170566
                    59.4                      0.88186921
                    59.6                      0.88201539
                    59.8                      0.88214174
                      60                      0.88224583
                    60.2                      0.88234332
                    60.4                      0.88243202
                    60.6                      0.88250969
                    60.8                      0.88257392
                      61                      0.88262274
                    61.2                      0.88274583
                    61.4                       0.8828584
                    61.6                      0.88295922
                    61.8                      0.88304729
                      62                      0.88312174
                    62.2                      0.88314664
                    62.4                      0.88314549
                    62.6                      0.88311809
                    62.8                      0.88306418
                      63                       0.8829839
                    63.2                      0.88276655
                    63.4                      0.88252433
                    63.6                      0.88225733
                    63.8                      0.88196578
                      64                      0.88164998
                    64.2                      0.88143682
                    64.4                      0.88120523
                    64.6                      0.88095579
                    64.8                      0.88068912
                      65                      0.88040586
                    65.2                      0.87989425
                    65.4                      0.87936422
                    65.6                       0.8788167
                    65.8                      0.87825268
                      66                      0.87767309
                    66.2                      0.87733826
                    66.4                      0.87699088
                    66.6                      0.87663151
                    66.8                      0.87626069
                      67                      0.87587873
                    67.2                      0.87533157
                    67.4                      0.87477776
                    67.6                      0.87421727
                    67.8                      0.87364988
                      68                      0.87307521
                    68.2                      0.87235598
                    68.4                      0.87161743
                    68.6                      0.87085852
                    68.8                      0.87007805
                      69                      0.86927455
                    69.2                      0.86840401
                    69.4                      0.86750876
                    69.6                      0.86658683
                    69.8                      0.86563607
                      70                      0.86465397
                    70.2                      0.86390052
                    70.4                      0.86312107
                    70.6                      0.86231216
                    70.8                      0.86147015
                      71                      0.86059112
                    71.2                      0.85962056
                    71.4                      0.85859146
                    71.6                      0.85749908
                    71.8                       0.8563387
                      72                      0.85510511
                    72.2                      0.85360301
                    72.4                      0.85202003
                    72.6                      0.85035065
                    72.8                      0.84858933
                      73                       0.8467303
                    73.2                      0.84490042
                    73.4                      0.84297336
                    73.6                      0.84094385
                    73.8                      0.83880686
                      74                      0.83655737
                    74.2                       0.8339115
                    74.4                      0.83112433
                    74.6                      0.82819052
                    74.8                       0.8251052
                      75                      0.82186372
                    75.2                      0.81820028
                    75.4                      0.81437805
                    75.6                      0.81039431
                    75.8                      0.80624738
                      76                      0.80193581
                    76.2                      0.79829387
                    76.4                      0.79448573
                    76.6                      0.79051178
                    76.8                      0.78637376
                      77                      0.78207347
                    77.2                      0.77746784
                    77.4                      0.77278181
                    77.6                      0.76802272
                    77.8                      0.76319932
                      78                      0.75832031
                    78.2                      0.75274519
                    78.4                      0.74703521
                    78.6                      0.74119684
                    78.8                      0.73523754
                      79                      0.72916413
                    79.2                      0.72366964
                    79.4                      0.71811348
                    79.6                      0.71250276
                    79.8                      0.70684486
                      80                      0.70114619
                    80.2                      0.69492106
                    80.4                       0.6886727
                    80.6                      0.68240707
                    80.8                      0.67613061
                      81                       0.6698481
                    81.2                      0.66336542
                    81.4                        0.656856
                    81.6                      0.65032218
                    81.8                      0.64376665
                      82                      0.63719085
                    82.2                      0.63109149
                    82.4                      0.62498586
                    82.6                      0.61887375
                    82.8                      0.61275539
                      83                      0.60663019
                    83.2                      0.59955493
                    83.4                      0.59244993
                    83.6                      0.58531533
                    83.8                      0.57815263
                      84                      0.57096222
                    84.2                      0.56522286
                    84.4                      0.55952601
                    84.6                      0.55387164
                    84.8                      0.54826131
                      85                      0.54269586
                    85.2                       0.5364951
                    85.4                      0.53030608
                    85.6                      0.52413079
                    85.8                      0.51797225
                      86                      0.51183327
                    86.2                        0.506287
                    86.4                      0.50078032
                    86.6                      0.49531636
                    86.8                      0.48989935
                      87                      0.48453325
                    87.2                      0.47811862
                    87.4                      0.47173613
                    87.6                      0.46539062
                    87.8                      0.45908771
                      88                      0.45283264
                    88.2                      0.44831925
                    88.4                      0.44392257
                    88.6                      0.43964566
                    88.8                      0.43549317
                      89                      0.43146779
                    89.2                      0.42672672
                    89.4                      0.42207831
                    89.6                      0.41752543
                    89.8                      0.41307088
                      90                      0.40871603
                    90.2                      0.40411085
                    90.4                      0.39960713
                    90.6                      0.39520468
                    90.8                      0.39090293
                      91                      0.38669994
                    91.2                      0.38234277
                    91.4                      0.37809269
                    91.6                       0.3739465
                    91.8                      0.36990055
                      92                      0.36594978
                    92.2                      0.36309979
                    92.4                      0.36034265
                    92.6                      0.35767243
                    92.8                      0.35508241
                      93                      0.35256637
                    93.2                      0.34885081
                    93.4                      0.34515784
                    93.6                      0.34147875
                    93.8                      0.33780553
                      94                      0.33412894
                    94.2                      0.33153625
                    94.4                      0.32897114
                    94.6                      0.32642605
                    94.8                       0.3238945
                      95                      0.32136951
                    95.2                      0.31843721
                    95.4                      0.31545459
                    95.6                      0.31241461
                    95.8                      0.30931039
                      96                      0.30613597
                    96.2                      0.30355083
                    96.4                      0.30091456
                    96.6                      0.29822264
                    96.8                      0.29547113
                      97                      0.29265596
                    97.2                      0.28945248
                    97.4                      0.28616867
                    97.6                      0.28280179
                    97.8                       0.2793505
                      98                       0.2758124
                    98.2                      0.27261195
                    98.4                      0.26936715
                    98.6                      0.26607832
                    98.8                      0.26274628
                      99                      0.25937229
                    99.2                      0.25494284
                    99.4                      0.25037662
                    99.6                      0.24567353
                    99.8                      0.24083554
                     100                      0.23586343
                   100.2                      0.23107571
                   100.4                      0.22627643
                   100.6                      0.22147273
                   100.8                      0.21667339
                     101                      0.21188611
                   101.2                      0.20733584
                   101.4                      0.20266344
                   101.6                      0.19787151
                   101.8                      0.19296531
                     102                      0.18794859
                   102.2                      0.18244275
                   102.4                      0.17696005
                   102.6                      0.17151243
                   102.8                      0.16611466
                     103                      0.16078029
                   103.2                       0.1559038
                   103.4                      0.15106043
                   103.6                      0.14626001
                   103.8                       0.1415133
                     104                      0.13683076
                   104.2                      0.13258906
                   104.4                      0.12846086
                   104.6                      0.12445697
                   104.8                       0.1205891
                     105                      0.11686963
                   105.2                      0.11219168
                   105.4                      0.10776563
                   105.6                       0.1036283
                   105.8                     0.099820975
                     106                     0.096386977
                   106.2                     0.094447841
                   106.4                     0.092706144
                   106.6                     0.091170349
                   106.8                     0.089849051
                     107                     0.088749816
                   107.2                      0.08739804
                   107.4                     0.086571441
                   107.6                     0.086292199
                   107.8                       0.0865733
                     108                     0.087417459
                   108.2                      0.08817908
                   108.4                     0.089254797
                   108.6                     0.090639844
                   108.8                     0.092326764
                     109                     0.094306284
                   109.2                     0.097531279
                   109.4                      0.10106431
                   109.6                      0.10487625
                   109.8                      0.10893862
                     110                      0.11322499
                   110.2                      0.11724981
                   110.4                      0.12143791
                   110.6                      0.12577183
                   110.8                      0.13023477
                     111                      0.13481085
                   111.2                      0.13960636
                   111.4                      0.14457028
                   111.6                      0.14968587
                   111.8                      0.15493628
                     112                      0.16030527
                   112.2                      0.16644112
                   112.4                      0.17259596
                   112.6                      0.17875249
                   112.8                      0.18489334
                     113                      0.19100232
                   113.2                      0.19576002
                   113.4                      0.20041392
                   113.6                      0.20495658
                   113.8                      0.20938036
                     114                      0.21367865
                   114.2                      0.21947541
                   114.4                      0.22519275
                   114.6                      0.23081642
                   114.8                      0.23633263
                     115                      0.24172871
                   115.2                      0.24662713
                   115.4                      0.25141151
                   115.6                       0.2560742
                   115.8                      0.26060755
                     116                      0.26500534
                   116.2                      0.26813671
                   116.4                      0.27112723
                   116.6                      0.27397402
                   116.8                      0.27667418
                     117                      0.27922568
                   117.2                      0.28177613
                   117.4                      0.28408177
                   117.6                      0.28614355
                   117.8                       0.2879625
                     118                       0.2895404
                   118.2                      0.29217497
                   118.4                      0.29463798
                   118.6                      0.29692822
                   118.8                      0.29904447
                     119                      0.30098683
                   119.2                      0.30136405
                   119.4                      0.30156431
                   119.6                      0.30159366
                   119.8                      0.30145846
                     120                      0.30116526
                   120.2                      0.30122563
                   120.4                      0.30114357
                   120.6                       0.3009247
                   120.8                      0.30057579
                     121                      0.30010341
                   121.2                      0.29959263
                   121.4                      0.29894261
                   121.6                      0.29816072
                   121.8                      0.29725391
                     122                       0.2962293
                   122.2                       0.2955119
                   122.4                      0.29473176
                   122.6                      0.29389436
                   122.8                      0.29300525
                     123                      0.29206952
                   123.2                      0.29051573
                   123.4                      0.28885816
                   123.6                      0.28710196
                   123.8                      0.28525192
                     124                      0.28331219
                   124.2                       0.2815189
                   124.4                       0.2796957
                   124.6                      0.27784429
                   124.8                      0.27596616
                     125                      0.27406201
                   125.2                      0.27258707
                   125.4                      0.27107481
                   125.6                      0.26952445
                   125.8                      0.26793516
                     126                       0.2663056
                   126.2                      0.26394884
                   126.4                      0.26157004
                   126.6                      0.25916783
                   126.8                      0.25674092
                     127                      0.25428786
                   127.2                       0.2517735
                   127.4                       0.2491991
                   127.6                       0.2465635
                   127.8                      0.24386594
                     128                      0.24110574
                   128.2                       0.2381539
                   128.4                      0.23514727
                   128.6                       0.2320866
                   128.8                      0.22897263
                     129                      0.22580693
                   129.2                       0.2228819
                   129.4                      0.21993652
                   129.6                      0.21697326
                   129.8                      0.21399459
                     130                      0.21100406
                   130.2                      0.20784426
                   130.4                      0.20465489
                   130.6                      0.20144227
                   130.8                      0.19821288
                     131                      0.19497462
                   131.2                      0.19181176
                   131.4                      0.18866248
                   131.6                      0.18553655
                   131.8                      0.18244392
                     132                      0.17939573
                   132.2                      0.17649653
                   132.4                      0.17366262
                   132.6                      0.17090841
                   132.8                      0.16824861
                     133                      0.16569883
                   133.2                       0.1634785
                   133.4                      0.16140074
                   133.6                      0.15948011
                   133.8                      0.15773054
                     134                      0.15616579
                   134.2                      0.15351104
                   134.4                      0.15106289
                   134.6                      0.14883092
                   134.8                      0.14682323
                     135                      0.14504639
                   135.2                      0.14462543
                   135.4                      0.14444898
                   135.6                      0.14451715
                   135.8                       0.1448274
                     136                      0.14537436
                   136.2                      0.14642075
                   136.4                      0.14768349
                   136.6                      0.14915173
                   136.8                      0.15081351
                     137                      0.15265507
                   137.2                      0.15417398
                   137.4                      0.15583185
                   137.6                      0.15760929
                   137.8                       0.1594873
                     138                       0.1614462
                   138.2                      0.16343944
                   138.4                      0.16549594
                   138.6                      0.16760121
                   138.8                      0.16974224
                     139                      0.17190604
                   139.2                      0.17350081
                   139.4                      0.17510319
                   139.6                       0.1767027
                   139.8                        0.178291
                     140                      0.17986046
                   140.2                      0.18152016
                   140.4                       0.1831339
                   140.6                      0.18469835
                   140.8                      0.18621224
                     141                      0.18767486
                   141.2                      0.18974549
                   141.4                      0.19176629
                   141.6                      0.19373893
                   141.8                      0.19566657
                     142                      0.19755266
                   142.2                      0.19951275
                   142.4                      0.20144379
                   142.6                      0.20335077
                   142.8                      0.20523965
                     143                      0.20711591
                   143.2                      0.20768184
                   143.4                      0.20827386
                   143.6                      0.20890048
                   143.8                      0.20957032
                     144                      0.21029143
                   144.2                      0.21181559
                   144.4                      0.21335816
                   144.6                      0.21492255
                   144.8                      0.21651196
                     145                      0.21812879
                   145.2                      0.22054879
                   145.4                      0.22296466
                   145.6                      0.22537506
                   145.8                      0.22777886
                     146                      0.23017389
                   146.2                      0.23230905
                   146.4                       0.2345732
                   146.6                      0.23696441
                   146.8                      0.23948111
                     147                      0.24212053
                   147.2                      0.24352193
                   147.4                       0.2449833
                   147.6                      0.24650575
                   147.8                      0.24809123
                     148                      0.24974118
                   148.2                      0.25206677
                   148.4                      0.25445673
                   148.6                      0.25690992
                   148.8                      0.25942621
                     149                      0.26200435
                   149.2                      0.26600177
                   149.4                      0.27000238
                   149.6                      0.27400016
                   149.8                      0.27799009
                     150                      0.28196602
                   150.2                      0.28382688
                   150.4                       0.2857212
                   150.6                      0.28764998
                   150.8                        0.289615
                     151                      0.29161676
                   151.2                      0.29364833
                   151.4                      0.29566502
                   151.6                      0.29766518
                   151.8                      0.29964808
