        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                      50                      -83.539986
                    50.2                      -84.209285
                    50.4                      -84.844453
                    50.6                      -85.446528
                    50.8                      -86.016442
                      51                       -86.55517
                    51.2                      -87.144631
                    51.4                      -87.718053
                    51.6                      -88.276283
                    51.8                      -88.820048
                      52                       -89.35011
                    52.2                      -89.779069
                    52.4                      -90.172492
                    52.6                      -90.531046
                    52.8                      -90.855364
                      53                      -91.146137
                    53.2                      -91.725959
                    53.4                       -92.30661
                    53.6                        -92.8886
                    53.8                      -93.472382
                      54                      -94.058445
                    54.2                       -94.57359
                    54.4                      -95.078652
                    54.6                       -95.57407
                    54.8                      -96.060258
                      55                      -96.537632
                    55.2                      -96.932018
                    55.4                      -97.308973
                    55.6                       -97.66889
                    55.8                      -98.012151
                      56                      -98.339222
                    56.2                      -98.799508
                    56.4                      -99.251052
                    56.6                      -99.694338
                    56.8                      -100.12988
                      57                      -100.55815
                    57.2                      -101.01261
                    57.4                       -101.4678
                    57.6                      -101.92406
                    57.8                      -102.38165
                      58                      -102.84089
                    58.2                      -103.27619
                    58.4                      -103.70457
                    58.6                      -104.12621
                    58.8                      -104.54134
                      59                      -104.95009
                    59.2                      -105.16366
                    59.4                      -105.38218
                    59.6                      -105.60602
                    59.8                      -105.83545
                      60                       -106.0708
                    60.2                      -106.41874
                    60.4                      -106.76274
                    60.6                      -107.10304
                    60.8                       -107.4397
                      61                      -107.77294
                    61.2                      -108.07076
                    61.4                      -108.36398
                    61.6                      -108.65252
                    61.8                      -108.93627
                      62                      -109.21517
                    62.2                      -109.49019
                    62.4                      -109.76505
                    62.6                      -110.03974
                    62.8                       -110.3142
                      63                      -110.58841
                    63.2                      -110.94376
                    63.4                      -111.29898
                    63.6                      -111.65416
                    63.8                      -112.00933
                      64                      -112.36457
                    64.2                      -112.63035
                    64.4                      -112.88993
                    64.6                      -113.14333
                    64.8                      -113.39048
                      65                      -113.63143
                    65.2                      -113.96229
                    65.4                      -114.29645
                    65.6                      -114.63401
                    65.8                      -114.97499
                      66                      -115.31947
                    66.2                      -115.56335
                    66.4                      -115.80274
                    66.6                      -116.03784
                    66.8                      -116.26879
                      67                      -116.49581
                    67.2                      -116.84797
                    67.4                      -117.19452
                    67.6                       -117.5358
                    67.8                      -117.87211
                      68                      -118.20379
                    68.2                      -118.31993
                    68.4                      -118.44053
                    68.6                      -118.56575
                    68.8                      -118.69571
                      69                      -118.83062
                    69.2                      -119.19286
                    69.4                      -119.56564
                    69.6                      -119.94926
                    69.8                      -120.34393
                      70                      -120.74998
                    70.2                       -121.1111
                    70.4                       -121.4653
                    70.6                      -121.81282
                    70.8                       -122.1538
                      71                      -122.48849
