        Frequency / MHz                S2,2 (Mesh Pass=6)/abs,dB
----------------------------------------------------------------------
                      40                      -3.1560806
               40.259998                      -3.2028469
                   40.52                      -3.2509398
               40.779999                      -3.3004218
               41.040001                       -3.351353
               41.299999                      -3.4037899
               41.560001                       -3.457799
                   41.82                      -3.5134507
               42.079998                      -3.5708277
                   42.34                      -3.6300134
               42.599998                      -3.6910865
               42.860001                      -3.7541193
               43.119999                      -3.8191731
               43.380001                      -3.8862989
               43.639999                      -3.9555443
               43.900002                      -4.0269596
                   44.16                      -4.1005996
               44.419998                       -4.176524
                   44.68                      -4.2547959
               44.939999                      -4.3354711
               45.200001                      -4.4185934
               45.459999                      -4.5041939
               45.720001                      -4.5922865
                   45.98                      -4.6828752
               46.240002                      -4.7759582
                    46.5                      -4.8715345
               46.759998                      -4.9696029
                   47.02                      -5.0701603
               47.279999                       -5.173194
               47.540001                      -5.2786759
               47.799999                      -5.3865576
               48.060001                      -5.4967647
                   48.32                      -5.6092061
               48.579998                      -5.7237741
                   48.84                      -5.8403563
               49.099998                      -5.9588369
               49.360001                      -6.0790892
               49.619999                      -6.2009817
               49.880001                      -6.3243604
               50.139999                      -6.4490479
               50.400002                      -6.5748387
                   50.66                      -6.7015033
               50.919998                      -6.8287926
                   51.18                      -6.9564515
               51.439999                      -7.0842214
               51.700001                      -7.2118442
               51.959999                      -7.3390607
               52.220001                      -7.4656046
                   52.48                      -7.5911928
               52.740002                      -7.7155258
                      53                      -7.8382897
               53.259998                      -7.9591641
                   53.52                      -8.0778352
               53.779999                      -8.1940085
               54.040001                      -8.3074191
               54.299999                       -8.417826
               54.560001                      -8.5250139
                   54.82                       -8.628781
               55.079998                       -8.728931
                   55.34                       -8.825271
               55.599998                      -8.9176181
               55.860001                      -9.0058108
               56.119999                      -9.0897231
               56.380001                      -9.1692814
               56.639999                      -9.2444711
               56.900002                       -9.315323
                   57.16                      -9.3819175
               57.419998                      -9.4443588
                   57.68                      -9.5027635
               57.939999                      -9.5572574
               58.200001                      -9.6079672
               58.459999                      -9.6550378
               58.720001                      -9.6986374
                   58.98                      -9.7389668
               59.240002                      -9.7762588
                    59.5                      -9.8107702
               59.759998                      -9.8427731
                   60.02                      -9.8725356
               60.279999                      -9.9003174
               60.540001                      -9.9263667
               60.799999                      -9.9509241
               61.060001                      -9.9742341
                   61.32                      -9.9965517
               61.579998                      -10.018152
                   61.84                      -10.039318
               62.099998                      -10.060336
               62.360001                      -10.081482
               62.619999                      -10.103012
               62.880001                      -10.125165
               63.139999                      -10.148168
               63.400002                      -10.172247
                   63.66                      -10.197642
               63.919998                      -10.224621
                   64.18                      -10.253468
               64.440002                      -10.284491
               64.699997                      -10.317998
               64.959999                      -10.354294
               65.220001                      -10.393681
               65.480003                      -10.436468
               65.739998                      -10.482985
                      66                      -10.533608
               66.260002                      -10.588771
               66.519997                       -10.64898
               66.779999                      -10.714806
               67.040001                      -10.786886
               67.300003                      -10.865911
               67.559998                      -10.952636
                   67.82                      -11.047899
               68.080002                      -11.152647
               68.339996                      -11.267976
               68.599998                      -11.395166
               68.860001                      -11.535712
               69.120003                       -11.69134
               69.379997                      -11.864011
               69.639999                      -12.055928
               69.900002                      -12.269538
               70.159996                      -12.507542
               70.419998                      -12.772904
                   70.68                      -13.068845
               70.940002                      -13.398799
               71.199997                       -13.76631
               71.459999                      -14.174811
               71.720001                      -14.627286
               71.980003                      -15.125737
               72.239998                      -15.670417
                    72.5                      -16.258792
               72.760002                      -16.884157
               73.019997                      -17.533987
               73.279999                      -18.188259
               73.540001                      -18.818485
               73.800003                      -19.388768
               74.059998                      -19.860423
                   74.32                      -20.200536
               74.580002                      -20.391741
               74.839996                      -20.437867
               75.099998                      -20.361702
               75.360001                      -20.196512
               75.620003                      -19.976667
               75.879997                      -19.731439
               76.139999                      -19.482703
               76.400002                      -19.245263
               76.659996                      -19.028272
               76.919998                      -18.836808
                   77.18                      -18.673193
               77.440002                       -18.53798
               77.699997                      -18.430634
               77.959999                      -18.350005
               78.220001                      -18.294639
               78.480003                      -18.262989
               78.739998                      -18.253539
                      79                      -18.264882
               79.260002                      -18.295741
               79.519997                      -18.344979
               79.779999                      -18.411584
               80.040001                       -18.49466
               80.300003                      -18.593421
               80.559998                      -18.707193
                   80.82                      -18.835418
               81.080002                      -18.977652
               81.339996                      -19.133557
               81.599998                      -19.302889
               81.860001                      -19.485471
               82.120003                       -19.68118
               82.379997                      -19.889934
               82.639999                      -20.111693
               82.900002                      -20.346476
               83.159996                      -20.594375
               83.419998                      -20.855564
                   83.68                      -21.130301
               83.940002                      -21.418915
               84.199997                      -21.721779
               84.459999                      -22.039281
               84.720001                      -22.371807
               84.980003                      -22.719722
               85.239998                      -23.083376
                    85.5                        -23.4631
               85.760002                      -23.859209
               86.019997                       -24.27196
               86.279999                      -24.701494
               86.540001                      -25.147727
               86.800003                      -25.610205
               87.059998                      -26.087913
                   87.32                      -26.579056
               87.580002                      -27.080787
               87.839996                      -27.588871
               88.099998                      -28.097294
               88.360001                      -28.597803
               88.620003                       -29.07947
               88.879997                      -29.528435
               89.139999                      -29.928119
               89.400002                      -30.260222
               89.659996                      -30.506776
               89.919998                      -30.653038
                   90.18                       -30.69051
               90.440002                      -30.618911
               90.699997                        -30.4462
               90.959999                      -30.186681
               91.220001                      -29.858041
               91.480003                      -29.478477
               91.739998                       -29.06464
                      92                       -28.63057
               92.260002                      -28.187427
               92.519997                      -27.743666
               92.779999                      -27.305432
               93.040001                      -26.876997
               93.300003                      -26.461177
               93.559998                      -26.059698
                   93.82                      -25.673498
               94.080002                      -25.302976
               94.339996                      -24.948177
               94.599998                       -24.60893
               94.860001                      -24.284921
               95.120003                      -23.975745
               95.379997                      -23.680929
               95.639999                      -23.399947
               95.900002                      -23.132231
               96.159996                        -22.8772
               96.419998                      -22.634283
                   96.68                      -22.402938
               96.940002                      -22.182668
               97.199997                      -21.973025
               97.459999                       -21.77359
               97.720001                      -21.583972
               97.980003                      -21.403785
               98.239998                      -21.232648
                    98.5                      -21.070182
               98.760002                      -20.916031
               99.019997                      -20.769864
               99.279999                      -20.631395
               99.540001                      -20.500371
               99.800003                       -20.37657
                  100.06                      -20.259784
                  100.32                      -20.149803
                  100.58                      -20.046413
                  100.84                      -19.949395
                   101.1                      -19.858538
                  101.36                      -19.773653
                  101.62                      -19.694579
                  101.88                      -19.621189
                  102.14                      -19.553374
                   102.4                      -19.491036
                  102.66                      -19.434066
                  102.92                      -19.382345
                  103.18                       -19.33574
                  103.44                      -19.294122
                   103.7                      -19.257377
                  103.96                      -19.225424
                  104.22                      -19.198205
                  104.48                      -19.175686
                  104.74                      -19.157837
                     105                       -19.14461
                  105.26                      -19.135942
                  105.52                      -19.131749
                  105.78                      -19.131949
                  106.04                      -19.136478
                   106.3                      -19.145302
                  106.56                       -19.15842
                  106.82                      -19.175852
                  107.08                       -19.19762
                  107.34                      -19.223722
                   107.6                      -19.254129
                  107.86                      -19.288792
                  108.12                      -19.327654
                  108.38                      -19.370686
                  108.64                      -19.417896
                   108.9                      -19.469335
                  109.16                      -19.525081
                  109.42                      -19.585203
                  109.68                      -19.649747
                  109.94                      -19.718707
                   110.2                       -19.79205
                  110.46                      -19.869737
                  110.72                      -19.951761
                  110.98                      -20.038179
                  111.24                      -20.129106
                   111.5                      -20.224698
                  111.76                      -20.325096
                  112.02                      -20.430389
                  112.28                      -20.540592
                  112.54                       -20.65566
                   112.8                      -20.775538
                  113.06                      -20.900231
                  113.32                      -21.029851
                  113.58                      -21.164628
                  113.84                      -21.304864
                   114.1                      -21.450847
                  114.36                      -21.602754
                  114.62                      -21.760587
                  114.88                       -21.92417
                  115.14                      -22.093241
                   115.4                      -22.267575
                  115.66                      -22.447137
                  115.92                      -22.632173
                  116.18                      -22.823208
                  116.44                      -23.020942
                   116.7                      -23.226061
                  116.96                      -23.439045
                  117.22                       -23.66003
                  117.48                      -23.888776
                  117.74                      -24.124768
                     118                      -24.367396
                  118.26                      -24.616168
                  118.52                      -24.870836
                  118.78                      -25.131426
                  119.04                      -25.398109
                   119.3                      -25.670994
                  119.56                      -25.949894
                  119.82                      -26.234179
                  120.08                      -26.522726
                  120.34                      -26.814009
                   120.6                       -27.10623
                  120.86                      -27.397438
                  121.12                      -27.685537
                  121.38                      -27.968166
                  121.64                      -28.242493
                   121.9                      -28.505022
                  122.16                      -28.751508
                  122.42                      -28.977088
                  122.68                       -29.17658
                  122.94                       -29.34491
                   123.2                       -29.47751
                  123.46                      -29.570604
                  123.72                      -29.621372
                  123.98                      -29.628034
                  124.24                      -29.589942
                   124.5                        -29.5077
                  124.76                      -29.383255
                  125.02                      -29.219869
                  125.28                      -29.021865
                  125.54                      -28.794239
                   125.8                      -28.542166
                  126.06                      -28.270613
                  126.32                      -27.984087
                  126.58                      -27.686563
                  126.84                      -27.381537
                   127.1                      -27.072099
                  127.36                      -26.760992
                  127.62                      -26.450614
                  127.88                      -26.142994
                  128.14                      -25.839767
               128.39999                      -25.542192
                  128.66                      -25.251212
                  128.92                      -24.967544
               129.17999                      -24.691773
                  129.44                      -24.424416
                   129.7                      -24.165946
               129.96001                      -23.916777
                  130.22                      -23.677225
                  130.48                      -23.447484
               130.74001                      -23.227621
                     131                      -23.017585
               131.25999                      -22.817248
                  131.52                       -22.62644
                  131.78                      -22.444959
               132.03999                      -22.272576
                   132.3                      -22.109009
                  132.56                      -21.953892
               132.81999                       -21.80677
                  133.08                      -21.667096
                  133.34                      -21.534267
               133.60001                      -21.407654
                  133.86                      -21.286653
                  134.12                      -21.170701
                  134.38                      -21.059284
                  134.64                      -20.951933
               134.89999                      -20.848197
                  135.16                      -20.747647
                  135.42                      -20.649872
               135.67999                      -20.554505
                  135.94                      -20.461236
                   136.2                      -20.369838
               136.46001                      -20.280159
                  136.72                      -20.192116
                  136.98                      -20.105659
               137.24001                      -20.020753
                   137.5                      -19.937363
               137.75999                      -19.855445
                  138.02                      -19.774971
                  138.28                      -19.695933
               138.53999                      -19.618363
                   138.8                      -19.542319
                  139.06                      -19.467882
               139.31999                      -19.395123
                  139.58                      -19.324095
                  139.84                      -19.254822
               140.10001                      -19.187307
                  140.36                      -19.121549
                  140.62                       -19.05756
                  140.88                      -18.995373
                  141.14                      -18.935039
               141.39999                      -18.876611
                  141.66                      -18.820131
                  141.92                      -18.765611
               142.17999                      -18.713041
                  142.44                      -18.662392
                   142.7                      -18.613637
               142.96001                      -18.566766
                  143.22                      -18.521789
                  143.48                       -18.47873
               143.74001                      -18.437615
                     144                      -18.398453
               144.25999                      -18.361229
                  144.52                      -18.325908
                  144.78                      -18.292443
               145.03999                      -18.260797
                   145.3                      -18.230951
                  145.56                      -18.202906
               145.81999                      -18.176679
                  146.08                      -18.152281
                  146.34                      -18.129706
               146.60001                      -18.108926
                  146.86                      -18.089893
                  147.12                      -18.072557
                  147.38                      -18.056877
                  147.64                      -18.042841
               147.89999                       -18.03045
                  148.16                      -18.019719
                  148.42                      -18.010654
               148.67999                       -18.00324
                  148.94                      -17.997441
                   149.2                      -17.993203
               149.46001                      -17.990476
                  149.72                      -17.989225
                  149.98                       -17.98944
               150.24001                      -17.991132
                   150.5                      -17.994315
               150.75999                      -17.998992
                  151.02                       -18.00514
                  151.28                      -18.012714
               151.53999                      -18.021657
                   151.8                       -18.03192
                  152.06                      -18.043472
               152.31999                      -18.056314
                  152.58                      -18.070462
                  152.84                      -18.085931
               153.10001                      -18.102718
                  153.36                       -18.12079
                  153.62                      -18.140094
                  153.88                      -18.160564
                  154.14                      -18.182153
               154.39999                       -18.20484
                  154.66                      -18.228632
                  154.92                       -18.25355
