        Frequency / MHz                S1,1 (21)/abs,dB
----------------------------------------------------------------------
                      40                      -3.8188456
               40.259998                      -4.0236629
                   40.52                      -4.2249156
               40.779999                       -4.417403
               41.040001                      -4.5974237
               41.299999                      -4.7637776
               41.560001                      -4.9183408
                   41.82                      -5.0660529
               42.079998                      -5.2144195
                   42.34                      -5.3727166
               42.599998                      -5.5512153
               42.860001                      -5.7606251
               43.119999                      -6.0118573
               43.380001                       -6.316091
               43.639999                      -6.6850523
               43.900002                      -7.1313896
                   44.16                      -7.6690193
               44.419998                      -8.3133265
                   44.68                      -9.0811093
               44.939999                        -9.99007
               45.200001                       -11.05739
               45.459999                      -12.296319
               45.720001                       -13.70812
                   45.98                      -15.263927
               46.240002                      -16.869044
                    46.5                      -18.317604
               46.759998                      -19.315958
                   47.02                       -19.68841
               47.279999                      -19.570779
               47.540001                      -19.267304
               47.799999                      -19.021082
               48.060001                      -18.965221
                   48.32                      -19.166317
               48.579998                      -19.664444
                   48.84                      -20.492056
               49.099998                      -21.671166
               49.360001                      -23.166961
               49.619999                      -24.721081
               49.880001                      -25.564775
               50.139999                      -24.906522
               50.400002                      -23.217971
                   50.66                      -21.397387
               50.919998                      -19.827763
                   51.18                      -18.579655
               51.439999                      -17.635173
               51.700001                      -16.962724
               51.959999                        -16.5355
               52.220001                      -16.334209
                   52.48                      -16.345414
               52.740002                      -16.558035
                      53                      -16.957763
               53.259998                      -17.517559
                   53.52                      -18.181584
               53.779999                       -18.84277
               54.040001                      -19.330756
               54.299999                      -19.456817
               54.560001                      -19.134015
                   54.82                      -18.451042
               55.079998                       -17.59225
                   55.34                      -16.719629
               55.599998                      -15.931736
               55.860001                       -15.27677
               56.119999                      -14.774259
               56.380001                      -14.429975
               56.639999                       -14.24424
               56.900002                      -14.216407
                   57.16                      -14.347433
               57.419998                       -14.64156
                   57.68                      -15.107424
               57.939999                       -15.75865
               58.200001                      -16.613512
               58.459999                      -17.692319
               58.720001                      -19.008198
                   58.98                      -20.538258
               59.240002                      -22.143945
                    59.5                      -23.425044
               59.759998                      -23.769774
                   60.02                      -23.025593
               60.279999                      -21.726907
               60.540001                      -20.380019
               60.799999                      -19.196943
               61.060001                      -18.228702
                   61.32                      -17.472006
               61.579998                      -16.910524
                   61.84                      -16.527348
               62.099998                      -16.307771
               62.360001                      -16.239293
               62.619999                      -16.311262
               62.880001                      -16.514895
               63.139999                      -16.843683
               63.400002                      -17.293866
                   63.66                      -17.864425
               63.919998                      -18.555975
                   64.18                      -19.368028
               64.440002                      -20.294166
               64.699997                      -21.314687
               64.959999                      -22.386907
               65.220001                      -23.435862
               65.480003                      -24.354948
               65.739998                      -25.032396
                      66                      -25.405012
               66.260002                      -25.499184
               66.519997                      -25.415422
               66.779999                      -25.276445
               67.040001                       -25.18856
               67.300003                      -25.230685
               67.559998                      -25.458391
                   67.82                      -25.911952
               68.080002                       -26.62596
               68.339996                      -27.643642
               68.599998                      -29.043078
               68.860001                      -30.989139
               69.120003                      -33.837892
               69.379997                        -38.1693
               69.639999                      -40.386423
               69.900002                      -34.857419
               70.159996                      -30.234894
               70.419998                      -27.008216
                   70.68                      -24.679746
               70.940002                       -22.99329
               71.199997                       -21.81568
               71.459999                      -21.071089
               71.720001                      -20.712359
               71.980003                      -20.707255
               72.239998                      -21.030861
                    72.5                      -21.660753
               72.760002                      -22.574164
               73.019997                      -23.748002
               73.279999                      -25.163906
               73.540001                      -26.818843
               73.800003                      -28.730489
               74.059998                      -30.884923
                   74.32                      -32.943747
               74.580002                      -33.663405
               74.839996                      -32.203189
               75.099998                      -29.879802
               75.360001                      -27.734259
               75.620003                      -25.981672
               75.879997                      -24.588676
               76.139999                      -23.484008
               76.400002                      -22.604296
               76.659996                      -21.903016
               76.919998                      -21.351125
                   77.18                      -20.934343
               77.440002                       -20.64843
               77.699997                      -20.493988
               77.959999                       -20.47239
               78.220001                      -20.583805
               78.480003                      -20.827518
               78.739998                      -21.204195
                      79                        -21.7194
               79.260002                      -22.387548
               79.519997                      -23.235798
               79.779999                      -24.308355
               80.040001                      -25.673479
               80.300003                      -27.438507
               80.559998                      -29.783745
                   80.82                      -33.028076
               81.080002                      -37.497749
               81.339996                      -39.653836
               81.599998                      -35.351859
               81.860001                      -31.437125
               82.120003                       -28.63898
               82.379997                      -26.556469
               82.639999                      -24.947934
               82.900002                      -23.679954
               83.159996                      -22.673397
               83.419998                      -21.876955
                   83.68                      -21.254587
               83.940002                      -20.779727
               84.199997                      -20.432834
               84.459999                      -20.200381
               84.720001                       -20.07414
               84.980003                      -20.050224
               85.239998                      -20.127775
                    85.5                       -20.30759
               85.760002                      -20.591059
               86.019997                      -20.979721
               86.279999                      -21.475471
               86.540001                      -22.081242
               86.800003                      -22.801559
               87.059998                      -23.642169
                   87.32                      -24.607421
               87.580002                      -25.693194
               87.839996                      -26.871376
               88.099998                      -28.060605
               88.360001                      -29.088145
               88.620003                      -29.695815
               88.879997                      -29.685277
               89.139999                      -29.107371
               89.400002                      -28.206925
               89.659996                      -27.217597
               89.919998                      -26.276497
                   90.18                       -25.44528
               90.440002                      -24.745772
               90.699997                      -24.181742
               90.959999                      -23.749402
               91.220001                      -23.442311
               91.480003                      -23.253975
               91.739998                      -23.179516
                      92                      -23.216836
               92.260002                      -23.367268
               92.519997                      -23.635762
               92.779999                      -24.030754
               93.040001                      -24.564084
               93.300003                      -25.251395
               93.559998                      -26.113395
                   93.82                        -27.1781
               94.080002                      -28.483367
               94.339996                      -30.075801
               94.599998                      -31.988233
               94.860001                      -34.120239
               95.120003                      -35.828485
               95.379997                      -35.774851
               95.639999                      -33.973722
               95.900002                      -31.764458
               96.159996                      -29.780405
               96.419998                      -28.116864
                   96.68                      -26.736953
               96.940002                      -25.589845
               97.199997                       -24.63382
               97.459999                      -23.838082
               97.720001                      -23.180482
               97.980003                      -22.644891
               98.239998                      -22.219099
                    98.5                      -21.893404
               98.760002                        -21.6599
               99.019997                      -21.512312
               99.279999                      -21.446146
               99.540001                      -21.458853
               99.800003                      -21.549832
                  100.06                      -21.720193
                  100.32                      -21.972361
                  100.58                      -22.309719
                  100.84                      -22.736472
                   101.1                      -23.257843
                  101.36                      -23.880559
                  101.62                        -24.6134
                  101.88                      -25.467413
                  102.14                      -26.455061
                   102.4                      -27.586747
                  102.66                      -28.860913
                  102.92                      -30.238758
                  103.18                      -31.588708
                  103.44                      -32.612021
                   103.7                      -32.904277
                  103.96                      -32.325459
                  104.22                      -31.178864
                  104.48                        -29.8519
                  104.74                      -28.566372
                     105                       -27.40614
                  105.26                      -26.390213
                  105.52                      -25.513301
                  105.78                      -24.762721
                  106.04                      -24.124901
                   106.3                      -23.587845
                  106.56                      -23.141964
                  106.82                      -22.780118
                  107.08                      -22.497215
                  107.34                      -22.289606
                   107.6                      -22.154519
                  107.86                      -22.089726
                  108.12                      -22.093551
                  108.38                      -22.165124
                  108.64                      -22.304748
                   108.9                      -22.514153
                  109.16                      -22.796521
                  109.42                      -23.156313
                  109.68                      -23.599078
                  109.94                      -24.131521
                   110.2                      -24.762107
                  110.46                      -25.502301
                  110.72                      -26.368475
                  110.98                       -27.38428
                  111.24                      -28.583229
                   111.5                      -30.010653
                  111.76                      -31.721295
                  112.02                       -33.75381
                  112.28                      -35.998744
                  112.54                      -37.746392
                   112.8                      -37.591334
                  113.06                      -35.694563
                  113.32                      -33.448257
                  113.58                      -31.437309
                  113.84                       -29.73382
                   114.1                      -28.296265
                  114.36                       -27.07486
                  114.62                      -26.029426
                  114.88                      -25.129288
                  115.14                      -24.350739
                   115.4                      -23.675108
                  115.66                      -23.087686
                  115.92                      -22.577134
                  116.18                         -22.135
                  116.44                      -21.755114
                   116.7                       -21.43286
                  116.96                      -21.164497
                  117.22                      -20.946702
                  117.48                      -20.776439
                  117.74                      -20.651108
                     118                        -20.5688
                  118.26                      -20.528472
                  118.52                      -20.529897
                  118.78                        -20.5734
                  119.04                      -20.659531
                   119.3                      -20.788855
                  119.56                      -20.961939
                  119.82                       -21.17961
                  120.08                      -21.443288
                  120.34                      -21.755265
                   120.6                       -22.11877
                  120.86                      -22.537834
                  121.12                      -23.017062
                  121.38                      -23.561508
                  121.64                      -24.176818
                   121.9                      -24.869605
                  122.16                      -25.647832
                  122.42                      -26.520729
                  122.68                      -27.497378
                  122.94                      -28.582507
                   123.2                      -29.766434
                  123.46                      -31.003523
                  123.72                       -32.17351
                  123.98                      -33.044222
                  124.24                      -33.329527
                   124.5                      -32.913371
                  124.76                      -31.974549
                  125.02                      -30.798698
                  125.28                      -29.588289
                  125.54                      -28.441738
                   125.8                       -27.39537
                  126.06                       -26.45655
                  126.32                      -25.620637
                  126.58                      -24.878664
                  126.84                      -24.220839
                   127.1                      -23.638187
                  127.36                      -23.123215
                  127.62                      -22.669981
                  127.88                      -22.273793
                  128.14                      -21.930757
               128.39999                      -21.637411
                  128.66                      -21.390569
                  128.92                      -21.187388
               129.17999                      -21.025531
                  129.44                      -20.903306
                   129.7                       -20.81963
               129.96001                      -20.773833
                  130.22                       -20.76538
                  130.48                      -20.793649
               130.74001                      -20.857867
                     131                      -20.957226
               131.25999                      -21.091088
                  131.52                      -21.259141
                  131.78                      -21.461405
               132.03999                      -21.698047
                   132.3                      -21.969096
                  132.56                      -22.274168
               132.81999                      -22.612327
                  133.08                       -22.98206
                  133.34                      -23.381274
               133.60001                      -23.807119
                  133.86                      -24.255489
                  134.12                      -24.720187
                  134.38                      -25.191889
                  134.64                      -25.657284
               134.89999                      -26.098754
                  135.16                      -26.494997
                  135.42                      -26.822808
               135.67999                      -27.060001
                  135.94                      -27.189097
                   136.2                      -27.200965
               136.46001                      -27.097181
                  136.72                       -26.88995
                  136.98                      -26.599394
               137.24001                      -26.249213
                   137.5                      -25.862438
               137.75999                      -25.458595
                  138.02                      -25.052653
                  138.28                      -24.655323
               138.53999                      -24.274016
                   138.8                      -23.913839
                  139.06                      -23.578303
               139.31999                      -23.269686
                  139.58                      -22.989207
                  139.84                      -22.737159
               140.10001                      -22.513142
                  140.36                      -22.316366
                  140.62                      -22.145972
                  140.88                       -22.00124
                  141.14                      -21.881643
               141.39999                      -21.786773
                  141.66                       -21.71618
                  141.92                       -21.66927
               142.17999                      -21.645272
                  142.44                      -21.643304
                   142.7                      -21.662497
               142.96001                      -21.702083
                  143.22                      -21.761432
                  143.48                      -21.839999
               143.74001                      -21.937191
                     144                      -22.052201
               144.25999                      -22.183836
                  144.52                      -22.330408
                  144.78                        -22.4897
               145.03999                      -22.659088
                   145.3                      -22.835756
                  145.56                      -23.016966
               145.81999                      -23.200243
                  146.08                      -23.383341
                  146.34                      -23.563963
               146.60001                      -23.739343
                  146.86                       -23.90591
                  147.12                      -24.059303
                  147.38                      -24.194848
                  147.64                       -24.30835
               147.89999                      -24.396836
                  148.16                      -24.458866
                  148.42                      -24.494298
               148.67999                       -24.50371
                  148.94                      -24.487936
                   149.2                       -24.44802
               149.46001                      -24.385577
                  149.72                      -24.303201
                  149.98                      -24.204546
               150.24001                      -24.093915
                   150.5                      -23.975563
               150.75999                      -23.853119
                  151.02                      -23.729411
                  151.28                      -23.606744
               151.53999                      -23.487335
                   151.8                      -23.373621
                  152.06                      -23.268199
               152.31999                       -23.17348
                  152.58                      -23.091312
                  152.84                      -23.022818
               153.10001                      -22.968606
                  153.36                       -22.92919
                  153.62                      -22.905383
                  153.88                      -22.898428
                  154.14                      -22.909783
               154.39999                      -22.940712
                  154.66                      -22.991976
                  154.92                      -23.063825
               155.17999                      -23.156344
                  155.44                       -23.26996
                   155.7                      -23.405792
               155.96001                      -23.565626
                  156.22                      -23.751473
                  156.48                      -23.964943
               156.74001                      -24.206793
                     157                      -24.476964
               157.25999                       -24.77513
                  157.52                      -25.101525
                  157.78                      -25.457597
               158.03999                      -25.846083
                   158.3                       -26.27036
                  158.56                      -26.733281
               158.81999                      -27.235991
                  159.08                      -27.777141
                  159.34                      -28.352679
               159.60001                      -28.955933
                  159.86                      -29.577338
                  160.12                      -30.203013
                  160.38                      -30.811925
                  160.64                      -31.372571
               160.89999                      -31.841883
                  161.16                      -32.170271
                  161.42                      -32.314659
               161.67999                      -32.254635
                  161.94                      -32.000807
                   162.2                      -31.588996
               162.46001                      -31.065812
                  162.72                      -30.475891
                  162.98                      -29.855563
               163.24001                      -29.231615
                   163.5                      -28.622332
               163.75999                      -28.039114
                  164.02                      -27.488116
                  164.28                      -26.971864
               164.53999                      -26.490712
                   164.8                      -26.043998
                  165.06                       -25.63075
               165.31999                      -25.249939
                  165.58                      -24.900444
                  165.84                      -24.580936
