        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                      50                     -0.29085418
               50.200001                      -0.2598567
               50.400002                     -0.22243671
               50.599998                     -0.18542364
               50.799999                     -0.15359342
                      51                     -0.12884925
               51.200001                     -0.11056742
               51.400002                    -0.096717498
               51.599998                    -0.085166412
               51.799999                    -0.074613593
                      52                    -0.064836153
               52.200001                    -0.056321664
               52.400002                    -0.049622427
               52.599998                    -0.044843197
               52.799999                    -0.041509053
                      53                    -0.038823472
               53.200001                    -0.036091701
               53.400002                    -0.033050846
               53.599998                    -0.029917404
               53.799999                    -0.027157799
                      54                    -0.025150073
               54.200001                    -0.023942808
               54.400002                    -0.023239228
               54.599998                    -0.022588293
               54.799999                     -0.02165178
                      55                    -0.020380903
               55.200001                    -0.019011214
               55.400002                    -0.017883332
               55.599998                    -0.017225046
               55.799999                    -0.017017895
                      56                    -0.017022688
               56.200001                    -0.016933821
               56.400002                    -0.016560232
               56.599998                    -0.015933056
               56.799999                    -0.015261213
                      57                    -0.014791501
               57.200001                    -0.014658987
               57.400002                    -0.014806365
               57.599998                    -0.015032039
               57.799999                    -0.015117239
                      58                       -0.014957
               58.200001                    -0.014615574
               58.400002                    -0.014273707
               58.599998                    -0.014113507
               58.799999                    -0.014207155
                      59                    -0.014479584
               59.200001                     -0.01476009
               59.400002                    -0.014891929
               59.599998                    -0.014823553
               59.799999                    -0.014633424
                      60                    -0.014478159
               60.200001                    -0.014489581
               60.400002                     -0.01469925
               60.599998                    -0.015022057
               60.799999                    -0.015317926
                      61                    -0.015472522
               61.200001                    -0.015470613
               61.400002                    -0.015398085
               61.599998                    -0.015384516
               61.799999                    -0.015525998
                      62                    -0.015822861
               62.200001                    -0.016193019
               62.400002                    -0.016515933
               62.599998                    -0.016714691
               62.799999                     -0.01679717
                      63                    -0.016848969
               63.200001                    -0.016977724
               63.400002                    -0.017248038
               63.599998                    -0.017644571
               63.799999                    -0.018084584
                      64                      -0.0184713
               64.199997                    -0.018755207
               64.400002                    -0.018957623
               64.599998                    -0.019163328
               64.800003                    -0.019458175
                      65                    -0.019884571
               65.199997                    -0.020414227
               65.400002                    -0.020971055
               65.599998                    -0.021475755
               65.800003                    -0.021902313
                      66                    -0.022282379
               66.199997                    -0.022693099
               66.400002                    -0.023205073
               66.599998                    -0.023842747
               66.800003                    -0.024569326
                      67                    -0.025317356
               67.199997                    -0.026025736
               67.400002                    -0.026683369
               67.599998                     -0.02733056
               67.800003                     -0.02803734
                      68                    -0.028860164
               68.199997                    -0.029808437
               68.400002                    -0.030845429
               68.599998                    -0.031910664
               68.800003                    -0.032958847
                      69                     -0.03399301
               69.199997                    -0.035059094
               69.400002                    -0.036220252
