        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                      50                      -53.815158
               50.200001                      -53.800441
               50.400002                      -53.883593
               50.599998                      -54.059614
               50.799999                      -54.304891
                      51                      -54.588947
               51.200001                      -54.885616
               51.400002                      -55.179759
               51.599998                      -55.467954
               51.799999                      -55.754321
                      52                      -56.044474
               52.200001                      -56.340797
               52.400002                      -56.641075
               52.599998                      -56.940288
               52.799999                      -57.233897
                      53                      -57.520435
               53.200001                      -57.801986
               53.400002                      -58.082563
               53.599998                      -58.365598
               53.799999                      -58.652071
                      54                      -58.940307
               54.200001                      -59.227322
               54.400002                      -59.510853
               54.599998                      -59.790626
               54.799999                      -60.068434
                      55                      -60.346936
               55.200001                       -60.62803
               55.400002                       -60.91183
               55.599998                      -61.196848
               55.799999                      -61.480971
                      56                      -61.762895
               56.200001                      -62.042801
               56.400002                      -62.322281
               56.599998                      -62.603103
               56.799999                      -62.886365
                      57                      -63.171887
               57.200001                      -63.458271
               57.400002                      -63.744094
               57.599998                      -64.028516
               57.799999                      -64.312029
                      58                      -64.595899
               58.200001                      -64.881483
               58.400002                       -65.16939
               58.599998                       -65.45918
               58.799999                       -65.74971
                      59                      -66.039932
               59.200001                      -66.329423
               59.400002                      -66.618729
               59.599998                      -66.909011
               59.799999                      -67.201125
                      60                        -67.4955
               60.200001                      -67.791521
               60.400002                      -68.088272
               60.599998                      -68.384969
               60.799999                      -68.681473
                      61                      -68.978346
               61.200001                      -69.276568
               61.400002                      -69.576857
               61.599998                      -69.879167
               61.799999                      -70.183061
                      62                       -70.48775
               62.200001                      -70.792677
               62.400002                      -71.097795
               62.599998                      -71.403821
               62.799999                      -71.711441
                      63                      -72.021196
               63.200001                       -72.33296
               63.400002                      -72.646315
               63.599998                      -72.960526
               63.799999                      -73.275226
                      64                      -73.590651
               64.199997                      -73.907244
               64.400002                      -74.225783
               64.599998                      -74.546522
               64.800003                      -74.869275
                      65                      -75.193683
               65.199997                       -75.51906
               65.400002                       -75.84535
               65.599998                      -76.172681
               65.800003                       -76.50165
                      66                      -76.832743
               66.199997                      -77.166173
               66.400002                      -77.501754
               66.599998                      -77.839035
               66.800003                      -78.177608
                      67                      -78.517395
               67.199997                      -78.858687
               67.400002                      -79.201979
               67.599998                      -79.547683
               67.800003                      -79.895913
                      68                      -80.246451
               68.199997                      -80.598903
               68.400002                      -80.952973
               68.599998                      -81.308696
               68.800003                      -81.666359
                      69                      -82.026447
               69.199997                      -82.389273
               69.400002                      -82.754893
               69.599998                      -83.123067
               69.800003                      -83.493476
                      70                      -83.865939
               70.199997                      -84.240528
               70.400002                      -84.617575
               70.599998                      -84.997511
               70.800003                      -85.380595
                      71                      -85.766808
               71.199997                      -86.155952
               71.400002                      -86.547745
               71.599998                      -86.942093
               71.800003                      -87.339145
                      72                      -87.739217
               72.199997                       -88.14271
               72.400002                      -88.549796
               72.599998                      -88.960455
               72.800003                      -89.374473
                      73                      -89.791648
               73.199997                      -90.211923
               73.400002                       -90.63549
               73.599998                      -91.062671
               73.800003                      -91.493765
                      74                      -91.928916
               74.199997                      -92.368049
               74.400002                       -92.81096
               74.599998                      -93.257456
               74.800003                      -93.707525
                      75                      -94.161336
               75.199997                      -94.619163
               75.400002                      -95.081219
               75.599998                      -95.547557
               75.800003                      -96.018014
                      76                      -96.492343
               76.199997                       -96.97032
               76.400002                      -97.451889
               76.599998                      -97.937113
               76.800003                      -98.426133
                      77                      -98.918993
               77.199997                      -99.415513
               77.400002                      -99.915368
               77.599998                      -100.41808
               77.800003                      -100.92324
                      78                      -101.43051
               78.199997                      -101.93965
               78.400002                      -102.45041
               78.599998                      -102.96236
               78.800003                      -103.47486
                      79                      -103.98703
               79.199997                      -104.49792
               79.400002                      -105.00651
               79.599998                      -105.51191
               79.800003                      -106.01325
                      80                      -106.50964
               80.199997                      -107.00002
               80.400002                      -107.48318
               80.599998                      -107.95782
               80.800003                      -108.42263
                      81                      -108.87653
               81.199997                      -109.31867
               81.400002                       -109.7485
               81.599998                      -110.16571
               81.800003                      -110.57013
                      82                      -110.96179
               82.199997                      -111.34092
               82.400002                      -111.70816
               82.599998                      -112.06459
               82.800003                      -112.41175
                      83                      -112.75155
               83.199997                      -113.08616
               83.400002                      -113.41778
               83.599998                      -113.74862
               83.800003                      -114.08084
                      84                      -114.41661
               84.199997                      -114.75811
               84.400002                       -115.1075
               84.599998                      -115.46679
               84.800003                      -115.83774
                      85                      -116.22173
               85.199997                      -116.61981
               85.400002                      -117.03274
               85.599998                      -117.46108
               85.800003                      -117.90536
                      86                      -118.36595
               86.199997                      -118.84317
               86.400002                      -119.33711
               86.599998                      -119.84766
               86.800003                      -120.37452
                      87                      -120.91728
               87.199997                      -121.47564
               87.400002                      -122.04924
               87.599998                      -122.63786
               87.800003                      -123.24131
                      88                      -123.85927
               88.199997                      -124.49136
               88.400002                      -125.13714
               88.599998                      -125.79613
               88.800003                      -126.46797
                      89                      -127.15241
               89.199997                      -127.84928
               89.400002                      -128.55841
               89.599998                      -129.27958
               89.800003                      -130.01252
                      90                      -130.75689
               90.199997                      -131.51236
               90.400002                      -132.27868
               90.599998                      -133.05569
               90.800003                      -133.84332
                      91                       -134.6415
               91.199997                      -135.45008
               91.400002                      -136.26888
               91.599998                       -137.0976
               91.800003                      -137.93604
                      92                      -138.78405
               92.199997                      -139.64156
               92.400002                      -140.50869
               92.599998                      -141.38543
               92.800003                      -142.27186
                      93                      -143.16791
               93.199997                      -144.07366
               93.400002                      -144.98912
               93.599998                      -145.91459
               93.800003                      -146.85042
                      94                      -147.79714
               94.199997                      -148.75536
               94.400002                      -149.72571
               94.599998                      -150.70885
               94.800003                      -151.70552
                      95                      -152.71658
               95.199997                      -153.74308
               95.400002                      -154.78623
               95.599998                      -155.84736
               95.800003                      -156.92787
                      96                      -158.02913
               96.199997                      -159.15247
               96.400002                      -160.29924
               96.599998                      -161.47081
               96.800003                      -162.66862
                      97                      -163.89421
               97.199997                      -165.14903
               97.400002                       -166.4345
               97.599998                      -167.75193
               97.800003                      -169.10252
                      98                      -170.48741
               98.199997                      -171.90764
               98.400002                      -173.36442
               98.599998                      -174.85887
               98.800003                      -176.39214
                      99                      -177.96544
               99.199997                      -179.57976
               99.400002                       178.76387
               99.599998                       177.06441
               99.800003                       175.32076
                     100                       173.53178
                   100.2                        171.6961
                   100.4                       169.81224
                   100.6                        167.8787
                   100.8                       165.89396
                     101                       163.85636
                   101.2                       161.76421
                   101.4                       159.61561
                   101.6                       157.40844
                   101.8                       155.14028
                     102                       152.80855
                   102.2                       150.41038
                   102.4                       147.94279
                   102.6                       145.40257
                   102.8                       142.78624
                     103                       140.09001
                   103.2                       137.30977
                   103.4                       134.44082
                   103.6                       131.47817
                   103.8                       128.41634
                     104                       125.24962
                   104.2                       121.97198
                   104.4                       118.57705
                   104.6                       115.05824
                   104.8                       111.40876
                     105                        107.6217
                   105.2                       103.69013
                   105.4                       99.607562
                   105.6                       95.368556
                   105.8                       90.968848
                     106                       86.405954
                   106.2                       81.679982
                   106.4                        76.79402
                   106.6                       71.754596
                   106.8                       66.572477
                     107                        61.26291
                   107.2                       55.845775
                   107.4                       50.345342
                   107.6                       44.789694
                   107.8                       39.209563
                     108                       33.636758
                   108.2                        28.10264
                   108.4                       22.636686
                   108.6                       17.265096
                   108.8                       12.009894
                     109                       6.8885916
                   109.2                       1.9140277
                   109.4                      -2.9054086
                   109.6                      -7.5652371
                   109.8                      -12.064665
                     110                       -16.40566
                   110.2                      -20.592539
                   110.4                      -24.631203
                   110.6                      -28.528752
                   110.8                      -32.292788
                     111                      -35.931286
                   111.2                      -39.452139
                   111.4                      -42.863247
                   111.6                      -46.172306
                   111.8                      -49.386757
                     112                      -52.513838
                   112.2                      -55.560377
                   112.4                      -58.532735
                   112.6                      -61.436934
                   112.8                      -64.278483
                     113                      -67.062413
                   113.2                       -69.79356
                   113.4                      -72.476405
                   113.6                      -75.115453
                   113.8                      -77.714695
                     114                      -80.277928
                   114.2                       -82.80876
                   114.4                      -85.310467
                   114.6                      -87.786055
                   114.8                      -90.238366
                     115                      -92.670377
                   115.2                      -95.084685
                   115.4                      -97.484103
                   115.6                      -99.871118
                   115.8                      -102.24819
                     116                      -104.61761
                   116.2                      -106.98162
                   116.4                      -109.34219
                   116.6                      -111.70161
                   116.8                      -114.06218
                     117                      -116.42591
                   117.2                      -118.79533
                   117.4                      -121.17246
                   117.6                      -123.55963
                   117.8                        -125.959
                     118                      -128.37284
                   118.2                      -130.80362
                   118.4                      -133.25386
                   118.6                      -135.72639
                   118.8                      -138.22438
                     119                      -140.75095
                   119.2                      -143.30954
                   119.4                      -145.90392
                   119.6                      -148.53807
                   119.8                      -151.21676
                     120                      -153.94529
                   120.2                      -156.72971
                   120.4                      -159.57702
                   120.6                      -162.49505
                   120.8                      -165.49301
                     121                      -168.58118
                   121.2                      -171.77159
                   121.4                       -175.0785
                   121.6                      -178.51807
                   121.8                       177.89024
                     122                       174.12401
                   122.2                       170.15715
                   122.4                       165.96008
                   122.6                       161.49893
                   122.8                       156.73643
                     123                       151.63253
                   123.2                       146.14587
                   123.4                       140.23797
                   123.6                       133.87874
                   123.8                       127.05461
                     124                       119.77926
                   124.2                       112.10289
                   124.4                       104.11878
                   124.6                       95.960259
                   124.8                       87.787254
                     125                       79.763694
                   125.2                       72.033997
                   125.4                       64.705803
                   125.6                       57.843651
                   125.8                       51.472559
                     126                       45.586684
                   126.2                       40.160507
                   126.4                       35.156984
                   126.6                        30.53464
                   126.8                       26.251619
                     127                       22.268311
                   127.2                       18.548424
                   127.4                       15.059617
                   127.6                       11.773696
                   127.8                       8.6660148
                     128                       5.7153728
                   128.2                       2.9036848
               128.39999                      0.21488504
               128.60001                      -2.3645767
                   128.8                      -4.8467219
                     129                      -7.2421507
                   129.2                      -9.5597173
               129.39999                      -11.807286
               129.60001                       -13.99169
                   129.8                      -16.118774
                     130                      -18.193731
                   130.2                       -20.22126
               130.39999                      -22.205511
               130.60001                      -24.150202
                   130.8                      -26.058722
                     131                      -27.933852
                   131.2                      -29.778279
               131.39999                      -31.594125
               131.60001                       -33.38347
                   131.8                       -35.14823
                     132                      -36.890201
                   132.2                      -38.610971
               132.39999                      -40.312016
               132.60001                       -41.99465
                   132.8                       -43.66001
                     133                      -45.309256
                   133.2                      -46.943311
               133.39999                      -48.563049
               133.60001                      -50.169508
                   133.8                      -51.763512
                     134                      -53.345929
                   134.2                      -54.917526
               134.39999                      -56.478964
               134.60001                      -58.030836
                   134.8                      -59.573804
                     135                      -61.108358
                   135.2                      -62.635148
               135.39999                      -64.154728
               135.60001                      -65.667808
                   135.8                      -67.174821
                     136                      -68.676208
                   136.2                        -70.1724
               136.39999                      -71.663841
               136.60001                      -73.150745
                   136.8                      -74.633716
                     137                       -76.11308
                   137.2                      -77.589331
               137.39999                      -79.062738
               137.60001                      -80.533633
                   137.8                      -82.002179
                     138                      -83.468702
                   138.2                      -84.933367
               138.39999                      -86.396504
               138.60001                      -87.858383
                   138.8                      -89.319278
                     139                      -90.779463
                   139.2                      -92.239211
               139.39999                      -93.698631
