        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     100                      -13.615119
                   100.1                      -13.809063
                   100.2                      -14.006058
                   100.3                      -14.206183
                   100.4                      -14.409523
                   100.5                      -14.616163
                   100.6                       -14.82619
                   100.7                      -15.039697
                   100.8                      -15.256776
                   100.9                      -15.477527
                     101                      -15.702052
                   101.1                      -15.930456
                   101.2                       -16.16285
                   101.3                      -16.399349
                   101.4                       -16.64007
                   101.5                      -16.885135
                   101.6                      -17.134663
                   101.7                       -17.38878
                   101.8                      -17.647603
                   101.9                      -17.911253
                     102                      -18.179841
                   102.1                      -18.453469
                   102.2                      -18.732229
                   102.3                      -19.016194
                   102.4                       -19.30542
                   102.5                      -19.599934
                   102.6                       -19.89973
                   102.7                      -20.204763
                   102.8                      -20.514936
                   102.9                      -20.830088
                     103                      -21.149985
                   103.1                      -21.474295
                   103.2                      -21.802573
                   103.3                      -22.134234
                   103.4                      -22.468524
                   103.5                      -22.804487
                   103.6                      -23.140929
                   103.7                      -23.476376
                   103.8                      -23.809037
                   103.9                       -24.13676
                     104                      -24.457008
                   104.1                      -24.766838
                   104.2                      -25.062908
                   104.3                       -25.34152
                   104.4                      -25.598701
                   104.5                      -25.830335
                   104.6                      -26.032353
                   104.7                      -26.200963
                   104.8                      -26.332898
                   104.9                      -26.425678
                     105                      -26.477814
                   105.1                       -26.48894
                   105.2                      -26.459849
                   105.3                      -26.392417
                   105.4                      -26.289435
                   105.5                      -26.154383
                   105.6                      -25.991167
                   105.7                      -25.803877
                   105.8                      -25.596573
                   105.9                      -25.373119
                     106                      -25.137072
                   106.1                      -24.891617
                   106.2                       -24.63954
                   106.3                      -24.383231
                   106.4                      -24.124707
                   106.5                      -23.865646
                   106.6                      -23.607421
                   106.7                      -23.351145
                   106.8                      -23.097705
                   106.9                      -22.847793
                     107                       -22.60195
                   107.1                      -22.360576
                   107.2                      -22.123965
                   107.3                      -21.892319
                   107.4                      -21.665767
                   107.5                      -21.444376
                   107.6                      -21.228167
                   107.7                       -21.01712
                   107.8                      -20.811185
                   107.9                      -20.610289
                     108                      -20.414339
                   108.1                      -20.223231
                   108.2                      -20.036853
                   108.3                      -19.855084
                   108.4                      -19.677802
                   108.5                      -19.504883
                   108.6                      -19.336204
                   108.7                      -19.171643
                   108.8                      -19.011081
                   108.9                      -18.854403
                     109                      -18.701492
                   109.1                       -18.55224
                   109.2                      -18.406538
                   109.3                      -18.264282
                   109.4                      -18.125367
                   109.5                      -17.989695
                   109.6                      -17.857167
                   109.7                      -17.727687
                   109.8                      -17.601161
                   109.9                      -17.477498
                     110                      -17.356609
                   110.1                      -17.238406
                   110.2                      -17.122808
                   110.3                      -17.009734
                   110.4                      -16.899106
                   110.5                      -16.790851
                   110.6                      -16.684899
                   110.7                      -16.581183
                   110.8                      -16.479641
                   110.9                      -16.380211
                     111                      -16.282839
                   111.1                      -16.187467
                   111.2                      -16.094045
                   111.3                      -16.002521
                   111.4                      -15.912849
                   111.5                      -15.824979
                   111.6                      -15.738867
                   111.7                      -15.654467
                   111.8                      -15.571734
                   111.9                      -15.490625
                     112                      -15.411097
                   112.1                      -15.333109
                   112.2                      -15.256619
                   112.3                      -15.181591
                   112.4                      -15.107982
                   112.5                       -15.03576
                   112.6                      -14.964887
                   112.7                      -14.895331
                   112.8                      -14.827063
                   112.9                      -14.760051
                     113                      -14.694266
                   113.1                      -14.629685
                   113.2                       -14.56628
                   113.3                      -14.504028
                   113.4                      -14.442905
                   113.5                      -14.382887
                   113.6                      -14.323954
                   113.7                       -14.26608
                   113.8                      -14.209246
                   113.9                      -14.153428
                     114                      -14.098603
                   114.1                      -14.044751
                   114.2                      -13.991849
                   114.3                      -13.939877
                   114.4                      -13.888813
                   114.5                      -13.838638
                   114.6                      -13.789332
                   114.7                      -13.740876
                   114.8                      -13.693254
                   114.9                      -13.646449
                     115                      -13.600447
                   115.1                      -13.555233
