        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                     100                      -164.66181
                   100.1                      -164.75616
                   100.2                      -164.83663
                   100.3                      -164.90249
                   100.4                      -164.95295
                   100.5                      -164.98724
                   100.6                      -165.00445
                   100.7                      -165.00369
                   100.8                      -164.98396
                   100.9                      -164.94421
                     101                      -164.88328
                   101.1                      -164.79997
                   101.2                      -164.69293
                   101.3                      -164.56073
                   101.4                      -164.40178
                   101.5                      -164.21437
                   101.6                      -163.99663
                   101.7                      -163.74648
                   101.8                      -163.46165
                   101.9                      -163.13971
                     102                      -162.77791
                   102.1                      -162.37329
                   102.2                       -161.9226
                   102.3                       -161.4223
                   102.4                      -160.86847
                   102.5                       -160.2569
                   102.6                      -159.58293
                   102.7                      -158.84154
                   102.8                      -158.02724
                   102.9                      -157.13405
                     103                      -156.15553
                   103.1                      -155.08467
                   103.2                      -153.91398
                   103.3                      -152.63542
                   103.4                      -151.24047
                   103.5                      -149.72025
                   103.6                      -148.06553
                   103.7                      -146.26704
                   103.8                       -144.3157
                   103.9                      -142.20305
                     104                      -139.92169
                   104.1                      -137.46599
                   104.2                      -134.83284
                   104.3                       -132.0225
                   104.4                       -129.0395
                   104.5                      -125.89346
                   104.6                      -122.59973
                   104.7                      -119.17958
                   104.8                      -115.66004
                   104.9                      -112.07312
                     105                      -108.45424
                   105.1                      -104.84058
                   105.2                      -101.26886
                   105.3                      -97.773384
                   105.4                      -94.384297
                   105.5                      -91.126625
                   105.6                      -88.019326
                   105.7                       -85.07557
                   105.8                      -82.303032
                   105.9                      -79.704664
                     106                      -77.279401
                   106.1                      -75.023252
                   106.2                      -72.929989
                   106.3                      -70.991882
                   106.4                      -69.200244
                   106.5                         -67.546
                   106.6                      -66.019887
                   106.7                      -64.612924
                   106.8                      -63.316199
                   106.9                      -62.121463
                     107                      -61.020763
                   107.1                      -60.006753
                   107.2                      -59.072605
                   107.3                      -58.211941
                   107.4                      -57.418959
                   107.5                      -56.688267
                   107.6                      -56.014944
                   107.7                      -55.394572
                   107.8                      -54.822916
                   107.9                      -54.296306
                     108                      -53.811307
                   108.1                      -53.364833
                   108.2                      -52.954035
                   108.3                      -52.576328
                   108.4                      -52.229407
                   108.5                      -51.911065
                   108.6                      -51.619387
                   108.7                      -51.352577
                   108.8                      -51.108956
                   108.9                      -50.887005
                     109                      -50.685324
                   109.1                      -50.502603
                   109.2                      -50.337636
                   109.3                      -50.189311
                   109.4                      -50.056561
                   109.5                      -49.938372
                   109.6                      -49.833897
                   109.7                      -49.742291
                   109.8                      -49.662678
                   109.9                      -49.594461
                     110                      -49.536867
                   110.1                      -49.489327
                   110.2                      -49.451241
                   110.3                      -49.422092
                   110.4                      -49.401409
                   110.5                      -49.388735
                   110.6                      -49.383596
                   110.7                      -49.385699
                   110.8                       -49.39466
                   110.9                      -49.410067
                     111                      -49.431683
                   111.1                      -49.459137
                   111.2                       -49.49217
                   111.3                      -49.530502
                   111.4                      -49.573832
                   111.5                      -49.621914
                   111.6                      -49.674534
                   111.7                      -49.731417
                   111.8                      -49.792368
                   111.9                      -49.857118
                     112                      -49.925531
                   112.1                      -49.997384
                   112.2                      -50.072544
                   112.3                      -50.150817
