        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.046591833                               0
             0.093183666                               0
               0.1397755                               0
              0.18636733                               0
              0.23295918                               0
                0.279551                               0
              0.32614285                               0
              0.37273467                               0
              0.41932651                               0
              0.46591836                               0
              0.51251018                               0
                0.559102                               0
              0.60569382                               0
               0.6522857                               0
              0.69887751                               0
              0.74546933                               0
              0.79206121                               0
              0.83865303                               0
              0.88524491                               0
              0.93183672                               0
              0.97842854                               0
               1.0250204                               0
               1.0716122                               0
                1.118204                               0
               1.1647958                               0
               1.2113876                               0
               1.2579795                               0
               1.3045714                               0
               1.3511631                               0
                1.397755                               0
               1.4443469                               0
               1.4909387                               0
               1.5375305                               0
               1.5841224                               0
               1.6307142                               0
               1.6773061                               0
               1.7238979                               0
               1.7704898                               0
               1.8170816                               0
               1.8636734                               0
               1.9102653                               0
               1.9568571                               0
                2.003449                               0
               2.0500407                               0
               2.0966327                               0
               2.1432245                               0
               2.1898162                               0
                2.236408                               0
               2.2829998                               0
               2.3295915                               0
               2.3761835                               0
               2.4227753                               0
               2.4693673                               0
                2.515959                               0
               2.5625508                               0
               2.6091428                               0
               2.6557345                               0
               2.7023263                               0
               2.7489183                               0
               2.7955101                               0
               2.8421018                               0
               2.8886938                               0
               2.9352856                               0
               2.9818773                               0
               3.0284693                               0
               3.0750611                               0
               3.1216528                               0
               3.1682448                               0
               3.2148366                               0
               3.2614284                               0
               3.3080204                               0
               3.3546121                               0
               3.4012039                  -4.4902564e-36
               3.4477959                  -5.6586588e-35
               3.4943876                  -4.4966061e-34
               3.5409796                  -3.1679187e-33
               3.5875714                  -2.1045041e-32
               3.6341631                  -1.3332223e-31
               3.6807551                  -8.0720501e-31
               3.7273469                  -4.6766119e-30
               3.7739384                  -2.5954337e-29
               3.8205307                  -1.3812034e-28
               3.8671222                  -7.0548576e-28
               3.9137142                  -3.4617339e-27
               3.9603059                  -1.6332246e-26
               4.0068979                  -7.4147896e-26
               4.0534897                  -3.2418278e-25
               4.1000814                  -1.3659713e-24
               4.1466732                  -5.5508813e-24
               4.1932654                  -2.1769391e-23
               4.2398567                  -8.2447469e-23
                4.286449                  -3.0173526e-22
               4.3330407                   -1.067707e-21
               4.3796325                  -3.6551415e-21
               4.4262242                  -1.2112125e-20
                4.472816                  -3.8871233e-20
               4.5194077                  -1.2087749e-19
               4.5659995                  -3.6440033e-19
               4.6125917                  -1.0654305e-18
                4.659183                  -3.0225341e-18
               4.7057753                  -8.3232518e-18
                4.752367                  -2.2256464e-17
               4.7989588                  -5.7811613e-17
               4.8455505                  -1.4591941e-16
               4.8921428                  -3.5799877e-16
               4.9387345                  -8.5396374e-16
               4.9853263                  -1.9810373e-15
                5.031918                  -4.4702608e-15
               5.0785103                  -9.8137839e-15
               5.1251016                  -2.0963466e-14
               5.1716938                   -4.357663e-14
               5.2182856                  -8.8151173e-14
               5.2648773                  -1.7353317e-13
               5.3114691                  -3.3241831e-13
               5.3580613                  -6.1954207e-13
               5.4046526                  -1.1231448e-12
               5.4512448                  -1.9798258e-12
               5.4978366                  -3.3918044e-12
               5.5444283                  -5.6435867e-12
               5.5910201                  -9.1118163e-12
               5.6376123                   -1.425754e-11
               5.6842036                  -2.1584482e-11
               5.7307959                  -3.1541027e-11
               5.7773876                  -4.4339071e-11
               5.8239794                  -5.9662317e-11
               5.8705711                  -7.6243123e-11
               5.9171634                  -9.1303992e-11
               5.9637547                  -9.9889604e-11
               6.0103464                  -9.4157571e-11
               6.0569386                  -6.2746232e-11
               6.1035299                   9.6138522e-12
               6.1501222                    1.420464e-10
               6.1967139                   3.5683995e-10
               6.2433057                   6.7798428e-10
               6.2898974                   1.1289125e-09
               6.3364897                   1.7296021e-09
                6.383081                   2.4933924e-09
               6.4296732                   3.4240608e-09
                6.476265                   4.5138164e-09
               6.5228567                   5.7428324e-09
               6.5694485                   7.0807507e-09
               6.6160407                   8.4902059e-09
                6.662632                   9.9319433e-09
               6.7092242                   1.1370613e-08
                6.755816                   1.2780016e-08
               6.8024077                   1.4146511e-08
               6.8489995                    1.546965e-08
               6.8955917                   1.6759758e-08
               6.9421835                   1.8033044e-08
               6.9887753                   1.9305642e-08
                7.035367                   2.0588432e-08
               7.0819592                   2.1884432e-08
               7.1285505                     2.31898e-08
               7.1751428                   2.4498396e-08
