        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.12735891                               0
              0.25471783                               0
              0.38207674                               0
              0.50943565                               0
              0.63679457                               0
              0.76415348                               0
              0.89151239                               0
               1.0188713                               0
               1.1462302                               0
               1.2735891                               0
                1.400948                               0
                1.528307                               0
               1.6556659                               0
               1.7830248                               0
               1.9103837                               0
               2.0377426                               0
               2.1651015                               0
               2.2924604                               0
               2.4198194                               0
               2.5471783                               0
               2.6745372                               0
               2.8018961                               0
                2.929255                               0
               3.0566139                               0
               3.1839728                               0
               3.3113317                               0
               3.4386907                               0
               3.5660496                               0
               3.6934085                               0
               3.8207674                               0
               3.9481263                               0
               4.0754852                               0
               4.2028441                               0
               4.3302031                   4.3160686e-34
                4.457562                   3.1399385e-32
               4.5849209                   1.8276216e-30
               4.7122798                   8.6554855e-29
               4.8396387                   3.3637148e-27
               4.9669976                   1.0812211e-25
               5.0943565                   2.8951637e-24
               5.2217155                   6.4984967e-23
               5.3490744                   1.2292457e-21
               5.4764333                   1.9679805e-20
               5.6037922                   2.6754862e-19
               5.7311511                    3.096331e-18
                 5.85851                   3.0557157e-17
               5.9858689                   2.5747867e-16
               6.1132278                   1.8541115e-15
               6.2405868                   1.1418579e-14
               6.3679457                   6.0173993e-14
               6.4953046                   2.7143188e-13
               6.6226635                   1.0479386e-12
               6.7500224                   3.4605628e-12
               6.8773813                    9.760236e-12
               7.0047402                   2.3456407e-11
               7.1320992                   4.7901044e-11
               7.2594581                   8.3036272e-11
                7.386817                   1.2320775e-10
               7.5141759                   1.6270432e-10
               7.6415348                   2.1265323e-10
               7.7688937                   3.1812752e-10
               7.8962526                   5.5052679e-10
                8.023612                   9.6540975e-10
               8.1509705                   1.5629514e-09
               8.2783298                   2.3100895e-09
               8.4056883                   3.2177376e-09
               8.5330477                   4.3651793e-09
               8.6604061                   5.7882228e-09
               8.7877655                   7.3403932e-09
               8.9151239                   8.7555385e-09
               9.0424833                   9.9277226e-09
               9.1698418                   1.1070213e-08
               9.2972012                   1.2455149e-08
               9.4245596                     1.39738e-08
                9.551919                    1.510773e-08
               9.6792774                   1.5450095e-08
               9.8066368                   1.5154384e-08
               9.9339952                   1.4705733e-08
               10.061355                   1.4296603e-08
               10.188713                   1.3627983e-08
               10.316072                   1.2348034e-08
               10.443431                   1.0458916e-08
                10.57079                   8.1602707e-09
               10.698149                   5.4834191e-09
               10.825508                   2.3022177e-09
               10.952867                  -1.4102834e-09
               11.080226                    -5.61637e-09
               11.207584                  -1.0486207e-08
               11.334944                  -1.6343488e-08
               11.462302                  -2.3270939e-08
               11.589662                  -3.1056143e-08
                11.71702                  -3.9664826e-08
               11.844379                  -4.9461132e-08
               11.971738                   -6.070173e-08
               12.099097                  -7.3086717e-08
               12.226456                  -8.6196451e-08
               12.353815                   -1.001904e-07
               12.481174                  -1.1559833e-07
               12.608533                  -1.3249036e-07
               12.735891                  -1.5039294e-07
               12.863251                  -1.6908299e-07
               12.990609                  -1.8887398e-07
               13.117969                  -2.0988097e-07
               13.245327                  -2.3155698e-07
               13.372686                  -2.5334072e-07
               13.500045                  -2.7528631e-07
               13.627404                  -2.9755878e-07
               13.754763                  -3.1967994e-07
               13.882122                  -3.4083519e-07
                14.00948                  -3.6065177e-07
                14.13684                   -3.790617e-07
               14.264198                  -3.9554524e-07
               14.391558                  -4.0910859e-07
               14.518916                   -4.189524e-07
               14.646276                  -4.2459442e-07
               14.773634                  -4.2534899e-07
               14.900993                  -4.2022043e-07
               15.028352                  -4.0833979e-07
               15.155711                  -3.8899142e-07
                15.28307                  -3.6114577e-07
               15.410429                   -3.234515e-07
               15.537787                  -2.7475747e-07
               15.665147                  -2.1418678e-07
               15.792505                  -1.4063247e-07
               15.919865                  -5.2680452e-08
               16.047224                   5.0845465e-08
               16.174582                   1.7070742e-07
               16.301941                   3.0773438e-07
                 16.4293                   4.6304243e-07
                16.55666                   6.3761388e-07
               16.684017                   8.3202087e-07
               16.811377                   1.0466784e-06
               16.938736                   1.2819781e-06
               17.066095                   1.5380122e-06
               17.193455                   1.8144633e-06
               17.320812                   2.1108401e-06
               17.448172                   2.4264857e-06
               17.575531                   2.7602759e-06
                17.70289                   3.1106167e-06
               17.830248                   3.4757093e-06
               17.957607                    3.853409e-06
               18.084967                   4.2407119e-06
