        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.13390055                               0
              0.26780111                               0
              0.40170166                               0
              0.53560221                               0
              0.66950279                               0
              0.80340332                               0
               0.9373039                               0
               1.0712044                               0
               1.2051049                               0
               1.3390056                               0
               1.4729061                               0
               1.6068066                               0
               1.7407072                               0
               1.8746078                               0
               2.0085082                               0
               2.1424088                               0
               2.2763095                               0
               2.4102099                               0
               2.5441105                               0
               2.6780112                               0
               2.8119116                               0
               2.9458122                               0
               3.0797126                               0
               3.2136133                               0
               3.3475139                               0
               3.4814143                               0
                3.615315                               0
               3.7492156                               0
                3.883116                               0
               4.0170164                               0
               4.1509171                               0
               4.2848177                     7.84553e-35
               4.4187183                   8.7193895e-33
                4.552619                    6.650475e-31
               4.6865196                   4.0313743e-29
               4.8204198                   1.9602502e-27
               4.9543204                   7.7178835e-26
               5.0882211                   2.4812048e-24
               5.2221217                   6.5613992e-23
               5.3560224                   1.4361153e-21
               5.4899225                   2.6145683e-20
               5.6238232                   3.9743769e-19
               5.7577238                   5.0580204e-18
               5.8916245                   5.3996239e-17
               6.0255251                   4.8417653e-16
               6.1594253                   3.6503749e-15
               6.2933259                    2.315805e-14
               6.4272265                   1.2368973e-13
               6.5611272                   5.5630571e-13
               6.6950278                    2.106061e-12
               6.8289285                   6.7029273e-12
               6.9628286                   1.7893312e-11
               7.0967293                   3.9936991e-11
               7.2306299                   7.4360795e-11
               7.3645306                   1.1616148e-10
               7.4984312                   1.5775872e-10
               7.6323314                   2.0793714e-10
                7.766232                   3.1488168e-10
               7.9001327                   5.6030552e-10
               8.0340328                   1.0078275e-09
               8.1679335                   1.6543079e-09
               8.3018341                   2.4635403e-09
               8.4357347                   3.4625489e-09
               8.5696354                   4.7451314e-09
                8.703536                   6.3035444e-09
               8.8374367                   7.8980014e-09
               8.9713373                   9.2419032e-09
                9.105238                   1.0356572e-08
               9.2391386                   1.1565277e-08
               9.3730392                    1.298644e-08
               9.5069389                   1.4180567e-08
               9.6408396                    1.455637e-08
               9.7747402                    1.407779e-08
               9.9086409                   1.3270592e-08
               10.042542                   1.2488049e-08
               10.176442                   1.1495458e-08
               10.310343                   9.9268691e-09
               10.444243                   7.8186213e-09
               10.578144                   5.3977369e-09
               10.712045                   2.5898672e-09
               10.845945                  -8.8538771e-10
               10.979845                  -5.0718487e-09
               11.113746                  -9.8296562e-09
               11.247646                  -1.5262115e-08
               11.381547                  -2.1678177e-08
               11.515448                  -2.9149723e-08
               11.649348                  -3.7543405e-08
               11.783249                  -4.7008214e-08
                11.91715                  -5.7933978e-08
                12.05105                   -7.033902e-08
               12.184951                  -8.3838877e-08
               12.318851                  -9.8374926e-08
               12.452751                  -1.1437803e-07
               12.586652                  -1.3196383e-07
               12.720552                  -1.5059543e-07
               12.854453                  -1.6988075e-07
               12.988354                  -1.9004891e-07
               13.122254                  -2.1119686e-07
               13.256155                  -2.3270599e-07
               13.390056                  -2.5392083e-07
               13.523956                  -2.7479484e-07
               13.657857                   -2.953112e-07
               13.791757                  -3.1484592e-07
               13.925657                   -3.326663e-07
               14.059558                  -3.4849091e-07
               14.193459                  -3.6198298e-07
               14.327359                  -3.7219866e-07
                14.46126                  -3.7804443e-07
                14.59516                  -3.7878914e-07
               14.729061                  -3.7370748e-07
               14.862962                  -3.6173458e-07
               14.996862                   -3.418119e-07
               15.130763                  -3.1304819e-07
               15.264663                  -2.7428172e-07
               15.398563                  -2.2404042e-07
               15.532464                    -1.61085e-07
               15.666365                  -8.4427775e-08
               15.800265                   7.2237034e-09
               15.934166                   1.1538827e-07
               16.068066                   2.4116807e-07
               16.201967                   3.8528611e-07
               16.335867                   5.4865529e-07
               16.469769                   7.3227142e-07
               16.603668                   9.3667478e-07
                16.73757                   1.1620878e-06
               16.871469                   1.4088245e-06
               17.005371                   1.6769555e-06
               17.139271                   1.9657975e-06
               17.273172                   2.2741983e-06
               17.407072                   2.6009575e-06
               17.540972                   2.9445071e-06
               17.674873                   3.3025481e-06
               17.808773                   3.6722925e-06
               17.942675                   4.0505438e-06
               18.076574                   4.4331687e-06
               18.210476                   4.8149673e-06
               18.344376                   5.1902862e-06
               18.478277                   5.5532146e-06
               18.612177                   5.8969504e-06
               18.746078                   6.2134309e-06
               18.879978                   6.4937481e-06
               19.013878                   6.7284991e-06
