        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.085418366                               0
              0.17083673                               0
              0.25625509                               0
              0.34167346                               0
              0.42709181                               0
              0.51251018                               0
              0.59792852                               0
              0.68334693                               0
              0.76876527                               0
              0.85418361                               0
              0.93960196                               0
               1.0250204                               0
               1.1104387                               0
                1.195857                               0
               1.2812754                               0
               1.3666939                               0
               1.4521122                               0
               1.5375305                               0
               1.6229489                               0
               1.7083672                               0
               1.7937857                               0
               1.8792039                               0
               1.9646225                               0
               2.0500407                               0
               2.1354592                               0
               2.2208774                               0
               2.3062959                               0
               2.3917141                               0
               2.4771326                               0
               2.5625508                               0
               2.6479692                               0
               2.7333877                               0
               2.8188062                               0
               2.9042244                               0
               2.9896429                               0
               3.0750611                               0
               3.1604795                               0
               3.2458978                               0
                3.331316                               0
               3.4167345                               0
               3.5021527                               0
               3.5875714                               0
               3.6729896                               0
               3.7584078                               0
               3.8438261                               0
                3.929245                               0
               4.0146632                               0
               4.1000814                               0
               4.1855001                               0
               4.2709184                               0
               4.3563366                               0
               4.4417548                               0
               4.5271735                   3.8749503e-36
               4.6125917                   2.8157877e-34
                 4.69801                   7.2142858e-33
               4.7834282                   1.6083073e-31
               4.8688469                   3.2148717e-30
               4.9542651                    5.783289e-29
               5.0396833                   9.3892542e-28
               5.1251016                     1.37937e-26
               5.2105198                   1.8382341e-25
               5.2959385                   2.2273655e-24
               5.3813567                   2.4590519e-23
               5.4667754                    2.478266e-22
               5.5521936                   2.2837215e-21
               5.6376123                   1.9268457e-20
               5.7230306                   1.4901511e-19
               5.8084488                   1.0571619e-18
                5.893867                   6.8835439e-18
               5.9792857                   4.1149883e-17
               6.0647039                   2.2586414e-16
               6.1501222                    1.138176e-15
               6.2355404                   5.2644745e-15
               6.3209591                   2.2342513e-14
               6.4063773                   8.6964134e-14
               6.4917955                   3.1026161e-13
               6.5772138                   1.0138725e-12
                6.662632                   3.0319059e-12
               6.7480507                   8.2876692e-12
               6.8334689                   2.0677824e-11
               6.9188871                   4.7002884e-11
               7.0043054                   9.7105761e-11
               7.0897245                   1.8176161e-10
               7.1751428                   3.0697397e-10
                7.260561                   4.6520951e-10
               7.3459792                   6.2787608e-10
               7.4313979                   7.4669548e-10
               7.5168157                   7.6996209e-10
               7.6022344                   6.7015787e-10
               7.6876521                   4.6675647e-10
               7.7730713                   2.2501818e-10
                 7.85849                   2.7308832e-11
               7.9439077                  -6.1995735e-11
               8.0293264                   -1.065852e-11
               8.1147442                   1.8975721e-10
               8.2001629                   5.2616522e-10
               8.2855806                   9.4445096e-10
               8.3710003                   1.3456731e-09
                8.456418                   1.6516348e-09
               8.5418367                   1.9120829e-09
               8.6272545                   2.3235058e-09
               8.7126732                    3.071754e-09
               8.7980909                   4.1185721e-09
               8.8835096                   5.1854894e-09
               8.9689274                    6.009953e-09
                9.054347                    6.607197e-09
               9.1397648                   7.2174666e-09
               9.2251835                   8.0001827e-09
               9.3106012                   8.8802485e-09
               9.3960199                    9.741469e-09
               9.4814386                   1.0642525e-08
               9.5668564                   1.1676213e-08
               9.6522751                   1.2661788e-08
               9.7376938                   1.3214172e-08
               9.8231125                   1.3225097e-08
               9.9085302                   1.3085037e-08
               9.9939489                    1.321098e-08
               10.079367                   1.3444627e-08
               10.164785                   1.3194551e-08
               10.250203                   1.2216426e-08
               10.335622                   1.0985901e-08
                10.42104                   1.0123528e-08
               10.506459                   9.6228083e-09
               10.591877                   8.8859471e-09
               10.677296                   7.4662303e-09
               10.762713                   5.5432485e-09
               10.848132                   3.6280097e-09
               10.933551                   1.9749515e-09
               11.018969                   3.6622844e-10
               11.104387                  -1.6311094e-09
               11.189806                  -4.2691588e-09
               11.275225                  -7.4179045e-09
               11.360642                  -1.0718029e-08
               11.446061                   -1.397257e-08
               11.531479                  -1.7365133e-08
               11.616898                   -2.122081e-08
               11.702315                  -2.5629445e-08
               11.787734                  -3.0469813e-08
               11.873152                   -3.573405e-08
               11.958571                  -4.1545139e-08
               12.043989                  -4.7827037e-08
               12.129408                  -5.4302358e-08
               12.214826                  -6.0982806e-08
               12.300244                  -6.8335538e-08
               12.385662                  -7.6682717e-08
               12.471081                   -8.570575e-08
               12.556499                  -9.4905467e-08
               12.641918                  -1.0433674e-07
               12.727337                  -1.1443375e-07
               12.812755                   -1.252331e-07
