        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.038826529                               0
             0.077653058                               0
              0.11647959                               0
              0.15530612                               0
              0.19413264                               0
              0.23295918                               0
              0.27178571                               0
              0.31061223                               0
              0.34943876                               0
              0.38826528                               0
              0.42709181                               0
              0.46591836                               0
              0.50474483                               0
              0.54357141                               0
              0.58239788                               0
              0.62122446                               0
              0.66005099                               0
              0.69887751                               0
              0.73770404                               0
              0.77653056                               0
              0.81535709                               0
              0.85418361                               0
              0.89301014                               0
              0.93183672                               0
              0.97066319                               0
               1.0094897                               0
               1.0483164                               0
               1.0871428                               0
               1.1259693                               0
               1.1647958                               0
               1.2036225                               0
               1.2424489                               0
               1.2812754                               0
                1.320102                               0
               1.3589286                               0
                1.397755                               0
               1.4365815                               0
               1.4754081                               0
               1.5142347                               0
               1.5530611                               0
               1.5918877                               0
               1.6307142                               0
               1.6695408                               0
               1.7083672                               0
               1.7471938                               0
               1.7860203                               0
               1.8248469                               0
               1.8636734                               0
               1.9024999                               0
               1.9413264                               0
                1.980153                               0
               2.0189793                               0
                2.057806                               0
               2.0966327                               0
               2.1354592                               0
               2.1742857                               0
               2.2131121                               0
               2.2519386                               0
                2.290765                               0
               2.3295915                               0
               2.3684185                               0
               2.4072449                               0
               2.4460714                               0
               2.4848979                               0
               2.5237243                               0
               2.5625508                               0
               2.6013772                               0
                2.640204                   -1.580945e-36
               2.6790307                   -2.598921e-35
               2.7178571                  -2.1006426e-34
               2.7566836                  -1.4679674e-33
               2.7955101                   -9.589151e-33
               2.8343365                  -5.9436568e-32
                2.873163                  -3.5089348e-31
               2.9119897                  -1.9774403e-30
               2.9508162                  -1.0656299e-29
               2.9896429                  -5.4998312e-29
               3.0284693                  -2.7222276e-28
               3.0672958                  -1.2937967e-27
               3.1061223                  -5.9110072e-27
               3.1449487                  -2.5987164e-26
               3.1837754                  -1.1004574e-25
               3.2226019                  -4.4925362e-25
               3.2614284                  -1.7696069e-24
               3.3002551                  -6.7308681e-24
               3.3390815                  -2.4739912e-23
                3.377908                   -8.793577e-23
               3.4167345                  -3.0245899e-22
               3.4555612                  -1.0073515e-21
               3.4943876                  -3.2507021e-21
               3.5332141                  -1.0169791e-20
               3.5720406                  -3.0862584e-20
               3.6108673                   -9.090229e-20
               3.6496937                  -2.5999633e-19
               3.6885202                  -7.2248364e-19
               3.7273469                  -1.9514924e-18
               3.7661731                  -5.1260713e-18
               3.8049998                  -1.3100076e-17
               3.8438261                  -3.2585017e-17
               3.8826528                  -7.8920872e-17
               3.9214797                  -1.8619225e-16
               3.9603059                  -4.2803958e-16
               3.9991326                  -9.5919334e-16
               4.0379586                  -2.0958771e-15
               4.0767856                  -4.4667338e-15
                4.115612                  -9.2874223e-15
               4.1544385                  -1.8844554e-14
               4.1932654                  -3.7321081e-14
               4.2320914                  -7.2157056e-14
               4.2709184                  -1.3621443e-13
               4.3097444                  -2.5109279e-13
               4.3485713                  -4.5200204e-13
               4.3873978                  -7.9459968e-13
               4.4262242                  -1.3640818e-12
               4.4650512                  -2.2864896e-12
               4.5038772                    -3.74156e-12
               4.5427041                  -5.9753838e-12
               4.5815301                  -9.3095783e-12
                4.620357                  -1.4141597e-11
                4.659183                  -2.0928355e-11
                 4.69801                  -3.0142812e-11
               4.7368369                  -4.2191157e-11
               4.7756629                  -5.7277717e-11
               4.8144898                  -7.5206341e-11
               4.8533158                  -9.5112515e-11
               4.8921428                  -1.1513022e-10
               4.9309688                  -1.3201144e-10
               4.9697957                  -1.4073524e-10
               5.0086222                  -1.3416206e-10
               5.0474486                  -1.0280778e-10
               5.0862756                  -3.4822249e-11
               5.1251016                   8.3744484e-11
               5.1639285                   2.6832389e-10
               5.2027545                   5.3483434e-10
               5.2415814                   8.9834395e-10
               5.2804079                   1.3714969e-09
               5.3192344                   1.9628827e-09
               5.3580613                   2.6755882e-09
               5.3968873                   3.5061973e-09
               5.4357142                   4.4444843e-09
               5.4745402                   5.4739742e-09
               5.5133672                   6.5734116e-09
               5.5521936                   7.7190094e-09
               5.5910201                   8.8871932e-09
               5.6298466                   1.0057398e-08
                5.668673                   1.1214414e-08
                  5.7075                   1.2349829e-08
                5.746326                   1.3462217e-08
               5.7851529                   1.4556005e-08
               5.8239794                   1.5639213e-08
               5.8628058                   1.6720559e-08
