        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.046591833                               0
             0.093183666                               0
               0.1397755                               0
              0.18636733                               0
              0.23295918                               0
                0.279551                               0
              0.32614285                               0
              0.37273467                               0
              0.41932651                               0
              0.46591836                               0
              0.51251018                               0
                0.559102                               0
              0.60569382                               0
               0.6522857                               0
              0.69887751                               0
              0.74546933                               0
              0.79206121                               0
              0.83865303                               0
              0.88524491                               0
              0.93183672                               0
              0.97842854                               0
               1.0250204                               0
               1.0716122                               0
                1.118204                               0
               1.1647958                               0
               1.2113876                               0
               1.2579795                               0
               1.3045714                               0
               1.3511631                               0
                1.397755                               0
               1.4443469                               0
               1.4909387                               0
               1.5375305                               0
               1.5841224                               0
               1.6307142                               0
               1.6773061                               0
               1.7238979                               0
               1.7704898                               0
               1.8170816                               0
               1.8636734                               0
               1.9102653                               0
               1.9568571                               0
                2.003449                               0
               2.0500407                               0
               2.0966327                               0
               2.1432245                               0
               2.1898162                               0
                2.236408                               0
               2.2829998                               0
               2.3295915                               0
               2.3761835                               0
               2.4227753                               0
               2.4693673                               0
                2.515959                               0
               2.5625508                               0
               2.6091428                               0
               2.6557345                               0
               2.7023263                               0
               2.7489183                               0
               2.7955101                               0
               2.8421018                               0
               2.8886938                               0
               2.9352856                               0
               2.9818773                               0
               3.0284693                               0
               3.0750611                               0
               3.1216528                               0
               3.1682448                               0
               3.2148366                               0
               3.2614284                               0
               3.3080204                               0
               3.3546121                               0
               3.4012039                               0
               3.4477959                               0
               3.4943876                               0
               3.5409796                               0
               3.5875714                               0
               3.6341631                               0
               3.6807551                               0
               3.7273469                               0
               3.7739384                               0
               3.8205307                               0
               3.8671222                               0
               3.9137142                               0
               3.9603059                               0
               4.0068979                               0
               4.0534897                               0
               4.1000814                               0
               4.1466732                               0
               4.1932654                               0
               4.2398567                               0
                4.286449                               0
               4.3330407                               0
               4.3796325                               0
               4.4262242                               0
                4.472816                               0
               4.5194077                               0
               4.5659995                               0
               4.6125917                               0
                4.659183                               0
               4.7057753                               0
                4.752367                               0
               4.7989588                               0
               4.8455505                               0
               4.8921428                               0
               4.9387345                               0
               4.9853263                               0
                5.031918                               0
               5.0785103                               0
               5.1251016                               0
               5.1716938                               0
               5.2182856                               0
               5.2648773                               0
               5.3114691                               0
               5.3580613                               0
               5.4046526                               0
               5.4512448                               0
               5.4978366                               0
               5.5444283                               0
               5.5910201                               0
               5.6376123                               0
               5.6842036                               0
               5.7307959                               0
               5.7773876                               0
               5.8239794                               0
               5.8705711                               0
               5.9171634                               0
               5.9637547                               0
               6.0103464                               0
               6.0569386                   6.4238808e-36
               6.1035299                   4.9661732e-35
               6.1501222                   2.5857411e-34
               6.1967139                   1.1603299e-33
               6.2433057                   4.9307481e-33
               6.2898974                   2.0409785e-32
               6.3364897                   8.2606461e-32
                6.383081                   3.2726522e-31
               6.4296732                     1.26951e-30
                6.476265                   4.8230537e-30
               6.5228567                   1.7949511e-29
               6.5694485                   6.5451568e-29
               6.6160407                   2.3389066e-28
                6.662632                   8.1924881e-28
               6.7092242                   2.8132619e-27
                6.755816                    9.472698e-27
               6.8024077                   3.1280976e-26
               6.8489995                   1.0132115e-25
               6.8955917                   3.2195812e-25
               6.9421835                    1.003784e-24
               6.9887753                   3.0710073e-24
                7.035367                   9.2209407e-24
               7.0819592                   2.7175233e-23
               7.1285505                   7.8617783e-23
               7.1751428                   2.2328492e-22
               7.2217345                   6.2262527e-22
               7.2683263                   1.7047336e-21
                7.314918                   4.5833032e-21
               7.3615103                   1.2100936e-20
               7.4081016                   3.1376185e-20
               7.4546938                   7.9898972e-20
               7.5012851                   1.9982865e-19
               7.5478768                   4.9086552e-19
               7.5944691                    1.184309e-18
               7.6410613                   2.8065456e-18
               7.6876521                   6.5326258e-18
               7.7342443                   1.4935285e-17
               7.7808366                   3.3538862e-17
               7.8274283                   7.3975642e-17
               7.8740196                   1.6026143e-16
               7.9206119                   3.4100519e-16
               7.9672036                   7.1264667e-16
               8.0137959                   1.4627021e-15
               8.0603867                   2.9484283e-15
               8.1069794                    5.836608e-15
               8.1535711                   1.1346063e-14
               8.2001629                   2.1658138e-14
               8.2467546                   4.0594013e-14
               8.2933464                   7.4703014e-14
               8.3399382                   1.3496351e-13
               8.3865309                   2.3936446e-13
               8.4331217                   4.1670351e-13
