        Time / ns                i1 (8)/real
----------------------------------------------------------------------
                       0                  -3.5768153e-09
             0.063840255                   1.4920225e-06
              0.12768051                   1.6798292e-06
              0.19152075                   1.8812176e-06
              0.25536102                   2.0953089e-06
              0.31920126                   2.3207124e-06
               0.3830415                   2.5554182e-06
              0.44688177                   2.7966892e-06
              0.51072204                   3.0409312e-06
              0.57456225                   3.2835574e-06
              0.63840252                   3.5188343e-06
              0.70224279                   3.7397149e-06
                0.766083                   3.9376614e-06
              0.82992327                   4.1024559e-06
              0.89376354                   4.2219963e-06
              0.95760375                   4.2820834e-06
               1.0214441                   4.2662027e-06
               1.0852842                   4.1552971e-06
               1.1491245                   3.9275378e-06
               1.2129648                   3.5580974e-06
                1.276805                   3.0189271e-06
               1.3406453                   2.2785471e-06
               1.4044856                   1.3018522e-06
               1.4683257                   4.9944958e-08
                1.532166                  -1.5200002e-06
               1.5960063                  -3.4548286e-06
               1.6598465                  -5.8054447e-06
               1.7236868                  -8.6267828e-06
               1.7875271                  -1.1977702e-05
               1.8513672                  -1.5920788e-05
               1.9152075                  -2.0522049e-05
               1.9790478                  -2.5850472e-05
               2.0428882                  -3.1977459e-05
               2.1067283                  -3.8976079e-05
               2.1705685                  -4.6920166e-05
               2.2344089                  -5.5883182e-05
                2.298249                  -6.5936882e-05
               2.3620894                  -7.7149736e-05
               2.4259295                   -8.958509e-05
               2.4897697                  -0.00010329903
               2.5536101                  -0.00011833796
               2.6174502                  -0.00013473586
               2.6812906                  -0.00015251127
               2.7451308                  -0.00017166379
               2.8089712                  -0.00019217041
               2.8728113                  -0.00021398137
               2.9366515                  -0.00023701572
               3.0004919                  -0.00026115647
                3.064332                  -0.00028624563
               3.1281724                  -0.00031207866
               3.1920125                  -0.00033839876
               3.2558529                  -0.00036489117
               3.3196931                  -0.00039117684
               3.3835332                  -0.00041680649
               3.4473736                  -0.00044125417
               3.5112138                  -0.00046391136
               3.5750542                  -0.00048408069
               3.6388943                  -0.00050097058
               3.7027345                  -0.00051368971
               3.7665749                  -0.00052124239
                3.830415                  -0.00052252458
               3.8942554                  -0.00051632087
               3.9580956                  -0.00050130254
               4.0219359                  -0.00047602679
               4.0857763                  -0.00043893768
               4.1496162                  -0.00038836879
               4.2134566                  -0.00032254777
                4.277297                  -0.00023960335
               4.3411369                  -0.00013757451
               4.4049773                  -1.4422571e-05
               4.4688177                   0.00013195367
               4.5326576                   0.00030369987
                4.596498                   0.00050298439
               4.6603384                   0.00073197309
               4.7241788                   0.00099280046
               4.7880187                    0.0012875363
               4.8518591                    0.0016181493
               4.9156995                    0.0019864652
               4.9795394                    0.0023941223
               5.0433798                    0.0028425218
               5.1072202                    0.0033327742
               5.1710606                    0.0038656432
               5.2349005                    0.0044414843
               5.2987409                     0.005060182
               5.3625813                     0.005721081
               5.4264212                    0.0064229211
               5.4902616                     0.007163763
               5.5541019                    0.0079409201
               5.6179423                    0.0087508839
               5.6817822                    0.0095892577
               5.7456226                     0.010450684
                5.809463                      0.01132878
               5.8733029                     0.012216079
               5.9371433                     0.013103969
               6.0009837                     0.013982651
               6.0648241                     0.014841092
                6.128664                     0.015666997
               6.1925044                     0.016446795
               6.2563448                     0.017165625
               6.3201847                     0.017807353
               6.3840251                     0.018354589
               6.4478655                     0.018788738
               6.5117059                     0.019090064
               6.5755458                     0.019237762
               6.6393862                     0.019210082
               6.7032266                     0.018984437
