        Time / ns                i1 (Mesh Pass=5)/real
----------------------------------------------------------------------
                       0                  -4.1753765e-09
             0.069092698                    1.506944e-06
               0.1381854                   1.7120489e-06
               0.2072781                   1.9329218e-06
              0.27637079                   2.1683236e-06
              0.34546351                   2.4162748e-06
              0.41455621                   2.6739012e-06
               0.4836489                     2.93726e-06
              0.55274159                   3.2011392e-06
              0.62183428                   3.4588472e-06
              0.69092703                   3.7019697e-06
              0.76001972                   3.9201109e-06
              0.82911241                   4.1006178e-06
               0.8982051                   4.2282772e-06
              0.96729779                   4.2850043e-06
               1.0363905                   4.2495153e-06
               1.1054832                    4.096989e-06
               1.1745759                   3.7987295e-06
               1.2436686                   3.3218298e-06
               1.3127613                   2.6288456e-06
               1.3818541                   1.6774952e-06
               1.4509467                   4.2038968e-07
               1.5200394                  -1.1951877e-06
               1.5891321                  -3.2274399e-06
               1.6582248                  -5.7401303e-06
               1.7273176                   -8.802559e-06
               1.7964102                  -1.2489414e-05
                1.865503                  -1.6880469e-05
               1.9345956                  -2.2060116e-05
               2.0036883                  -2.8116674e-05
               2.0727811                  -3.5141486e-05
               2.1418738                  -4.3227719e-05
               2.2109663                  -5.2468895e-05
               2.2800591                   -6.295705e-05
               2.3491518                  -7.4780524e-05
               2.4182446                  -8.8021385e-05
               2.4873371                  -0.00010275235
               2.5564299                  -0.00011903327
               2.6255226                   -0.0001369071
               2.6946154                  -0.00015639534
               2.7637081                  -0.00017749296
               2.8328006                  -0.00020016269
               2.9018934                  -0.00022432882
               2.9709861                  -0.00024987047
               3.0400789                  -0.00027661418
               3.1091716                  -0.00030432618
               3.1782641                  -0.00033270413
               3.2473569                  -0.00036136832
               3.3164496                  -0.00038985291
               3.3855424                  -0.00041759663
               3.4546351                  -0.00044393362
               3.5237277                   -0.0004680843
               3.5928204                  -0.00048914651
               3.6619132                  -0.00050608715
               3.7310059                  -0.00051773456
               3.8000984                  -0.00052277185
               3.8691912                  -0.00051973143
               3.9382839                  -0.00050699129
               4.0073767                  -0.00048277323
               4.0764694                  -0.00044514332
               4.1455622                  -0.00039201492
               4.2146549                  -0.00032115521
               4.2837477                  -0.00023019481
               4.3528399                  -0.00011664179
               4.4219327                   2.2100337e-05
               4.4910254                   0.00018870957
               4.5601182                   0.00038591726
               4.6292109                   0.00061647437
               4.6983037                   0.00088311173
               4.7673965                    0.0011884945
               4.8364892                    0.0015351695
                4.905582                     0.001925507
               4.9746742                    0.0023616345
                5.043767                    0.0028453653
               5.1128597                    0.0033781205
               5.1819525                    0.0039608437
               5.2510452                    0.0045939106
                5.320138                    0.0052770358
               5.3892307                    0.0060091699
               5.4583235                    0.0067884005
               5.5274162                    0.0076118438
                5.596509                    0.0084755402
               5.6656013                    0.0093743484
                5.734694                     0.010301841
               5.8037868                     0.011250212
               5.8728795                     0.012210173
               5.9419723                     0.013170879
                6.011065                     0.014119851
               6.0801578                     0.015042919
               6.1492505                     0.015924176
               6.2183433                     0.016745955
               6.2874355                      0.01748883
               6.3565283                     0.018131634
                6.425621                     0.018651508
               6.4947138                     0.019023987
               6.5638065                     0.019223105
               6.6328993                     0.019221544
                6.701992                     0.018990824
               6.7710848                     0.018501511
               6.8401775                     0.017723497
               6.9092703                     0.016626287
               6.9783626                     0.015179354
               7.0474553                     0.013352512
               7.1165481                     0.011116353
               7.1856408                    0.0084426971
               7.2547336                    0.0053050951
               7.3238263                    0.0016793582
               7.3929191                   -0.0024558853
               7.4620118                   -0.0071186083
               7.5311046                    -0.012322786
               7.6001968                    -0.018077787
               7.6692896                    -0.024387756
               7.7383823                     -0.03125101
               7.8074751                    -0.038659438
               7.8765678                    -0.046597932
               7.9456606                    -0.055043846
               8.0147533                    -0.063966498
               8.0838461                    -0.073326729
               8.1529388                    -0.083076537
               8.2220316                    -0.093158774
               8.2911243                     -0.10350694
               8.3602171                     -0.11404504
               8.4293098                     -0.12468765
               8.4984026                     -0.13533998
               8.5674953                      -0.1458981
               8.6365871                     -0.15624943
               8.7056799                     -0.16627315
               8.7747726                     -0.17584087
               8.8438654                     -0.18481752
               8.9129581                     -0.19306229
               8.9820509                     -0.20042966
               9.0511436                     -0.20677082
               9.1202364                     -0.21193491
               9.1893291                     -0.21577066
               9.2584219                     -0.21812798
               9.3275146                     -0.21885976
               9.3966074                      -0.2178237
               9.4657001                     -0.21488425
               9.5347929                     -0.20991464
               9.6038857                     -0.20279878
               9.6729784                     -0.19343345
               9.7420712                     -0.18173015
               9.8111639                     -0.16761722
               9.8802567                     -0.15104158
               9.9493484                      -0.1319707
               10.018441                     -0.11039414
               10.087534                    -0.086325079
               10.156627                     -0.05980166
               10.225719                    -0.030888086
               10.294812                   0.00032452491
               10.363905                     0.033717547
               10.432998                     0.069144547
                10.50209                      0.10643128
               10.571183                      0.14537601
               10.640276                      0.18575023
               10.709369                      0.22729956
               10.778461                      0.26974523
               10.847554                      0.31278574
               10.916647                      0.35609892
                10.98574                      0.39934421
               11.054832                      0.44216558
               11.123925                      0.48419437
               11.193018                      0.52505261
                11.26211                      0.56435645
               11.331203                      0.60172021
               11.400295                      0.63675982
               11.469388                      0.66909719
               11.538481                      0.69836408
               11.607574                      0.72420657
               11.676666                      0.74628884
               11.745759                      0.76429743
