        Time / ns                Plane wave/real
----------------------------------------------------------------------
                       0                  1.3182567e-006
             0.063857456                  1.4500759e-006
              0.12771491                  1.5887294e-006
              0.19157237                  1.7336451e-006
              0.25542982                  1.8840485e-006
              0.31928728                  2.0389335e-006
              0.38314473                  2.1970315e-006
              0.44700219                  2.3567782e-006
              0.51085964                  2.5162774e-006
               0.5747171                  2.6732636e-006
              0.63857456                  2.8250618e-006
              0.70243201                  2.9685458e-006
              0.76628947                  3.1000939e-006
              0.83014692                  3.2155443e-006
              0.89400438                  3.3101482e-006
              0.95786183                  3.3785229e-006
               1.0217193                  3.4146041e-006
               1.0855767                  3.4115982e-006
               1.1494342                  3.3619364e-006
               1.2132917                  3.2572293e-006
               1.2771491                  3.0882245e-006
               1.3410066                  2.8447674e-006
                1.404864                  2.5157666e-006
               1.4687215                  2.0891647e-006
               1.5325789                  1.5519162e-006
               1.5964364                  8.8997374e-007
               1.6602938                  8.8283893e-008
               1.7241513                 -8.6920477e-007
               1.7880088                 -1.9995206e-006
               1.8518662                 -3.3206325e-006
               1.9157237                 -4.8513955e-006
               1.9795811                 -6.6114772e-006
               2.0434386                 -8.6212623e-006
                2.107296                 -1.0901732e-005
               2.1711535                 -1.3474317e-005
               2.2350109                 -1.6360722e-005
               2.2988684                 -1.9582715e-005
               2.3627259                 -2.3161888e-005
               2.4265833                 -2.7119371e-005
               2.4904408                 -3.1475517e-005
               2.5542982                 -3.6249536e-005
               2.6181557                 -4.1459089e-005
               2.6820131                 -4.7119834e-005
               2.7458706                 -5.3244919e-005
                2.809728                 -5.9844432e-005
               2.8735855                 -6.6924793e-005
                2.937443                 -7.4488095e-005
               3.0013004                 -8.2531387e-005
               3.0651579                 -9.1045914e-005
               3.1290153                  -0.00010001629
               3.1928728                  -0.00010941962
               3.2567302                   -0.0001192246
               3.3205877                  -0.00012939052
               3.3844451                  -0.00013986626
               3.4483026                  -0.00015058924
               3.5121601                  -0.00016148435
               3.5760175                   -0.0001724628
                3.639875                  -0.00018342102
               3.7037324                  -0.00019423952
               3.7675899                  -0.00020478176
               3.8314473                  -0.00021489302
               3.8953048                   -0.0002243993
               3.9591622                  -0.00023310633
               4.0230197                  -0.00024079851
               4.0868772                  -0.00024723808
               4.1507346                  -0.00025216431
               4.2145921                  -0.00025529278
               4.2784495                   -0.0002563149
                4.342307                  -0.00025489757
               4.4061644                  -0.00025068297
               4.4700219                  -0.00024328868
               4.5338793                    -0.000232308
               4.5977368                  -0.00021731057
               4.6615943                  -0.00019784329
               4.7254517                  -0.00017343163
               4.7893092                  -0.00014358128
               4.8531666                  -0.00010778025
               4.9170241                  -6.550138e-005
               4.9808815                 -1.6205353e-005
                5.044739                  4.0655792e-005
               5.1085964                   0.00010563461
               5.1724539                   0.00017928365
               5.2363114                   0.00026215025
               5.3001688                   0.00035477074
               5.3640263                   0.00045766398
               5.4278837                   0.00057132435
               5.4917412                     0.000696214
               5.5555986                   0.00083275448
               5.6194561                   0.00098131775
               5.6833135                    0.0011422165
                5.747171                     0.001315694
               5.8110285                     0.001501913
               5.8748859                    0.0017009446
               5.9387434                    0.0019127561
               6.0026008                    0.0021371987
               6.0664583                    0.0023739947
               6.1303157                    0.0026227243
               6.1941732                    0.0028828126
               6.2580306                    0.0031535153
               6.3218881                    0.0034339063
               6.3857456                    0.0037228633
                6.449603                    0.0040190551
               6.5134605                    0.0043209287
               6.5773179                     0.004626697
               6.6411754                    0.0049343271
               6.7050328                    0.0052415297
               6.7688903                    0.0055457497
               6.8327477                    0.0058441575
               6.8966052                    0.0061336421
               6.9604627                    0.0064108064
               7.0243201                    0.0066719635
               7.0881776                    0.0069131362
                7.152035                    0.0071300575
               7.2158925                    0.0073181752
               7.2797499                    0.0074726585
               7.3436074                    0.0075884077
               7.4074648                    0.0076600675
               7.4713223                    0.0076820435
               7.5351798                    0.0076485226
               7.5990372                     0.007553497
               7.6628947                    0.0073907928
               7.7267521                     0.007154102
               7.7906096                    0.0068370192
                7.854467                    0.0064330832
               7.9183245                    0.0059358216
               7.9821819                    0.0053388016
               8.0460394                    0.0046356839
               8.1098969                    0.0038202816
               8.1737543                    0.0028866233
               8.2376118                    0.0018290202
               8.3014692                   0.00064213717
               8.3653267                  -0.00067893258
               8.4291841                   -0.0021385892
               8.4930416                   -0.0037406453
                8.556899                   -0.0054882422
               8.6207565                   -0.0073837643
                8.684614                   -0.0094287517
               8.7484714                    -0.011623812
               8.8123289                    -0.013968532
               8.8761863                     -0.01646139
               8.9400438                    -0.019099668
               9.0039012                    -0.021879368
               9.0677587                    -0.024795129
               9.1316161                    -0.027840149
               9.1954736                    -0.031006115
               9.2593311                     -0.03428313
               9.3231885                    -0.037659656
                9.387046                    -0.041122461
               9.4509034                    -0.044656573
               9.5147609                    -0.048245248
               9.5786183                    -0.051869944
               9.6424758                    -0.055510313
               9.7063332                      -0.0591442
               9.7701907                    -0.062747661
               9.8340482                    -0.066294992
               9.8979056                    -0.069758775
               9.9617631                    -0.073109941
               10.025621                     -0.07631785
               10.089478                    -0.079350388
               10.153335                    -0.082174084
               10.217193                    -0.084754242
                10.28105                    -0.087055097
               10.344908                    -0.089039985
               10.408765                    -0.090671533
               10.472623                    -0.091911871
                10.53648                     -0.09272286
               10.600338                    -0.093066334
               10.664195                    -0.092904363
               10.728053                    -0.092199535
                10.79191                    -0.090915243
               10.855767                    -0.089015995
               10.919625                    -0.086467731
               10.983482                     -0.08323815
                11.04734                    -0.079297048
               11.111197                    -0.074616658
               11.175055                       -0.069172
               11.238912                    -0.062941222
                11.30277                    -0.055905953
               11.366627                     -0.04805164
               11.430485                    -0.039367885
               11.494342                    -0.029848769
               11.558199                    -0.019493164
               11.622057                   -0.0083050309
               11.685914                    0.0037063075
               11.749772                      0.01652591
               11.813629                     0.030132992
               11.877487                     0.044500721
               11.941344                     0.059596057
               12.005202                     0.075379614
               12.069059                      0.09180557
               12.132917                      0.10882161
               12.196774                      0.12636892
               12.260631                      0.14438221
               12.324489                      0.16278981
               12.388346                      0.18151381
               12.452204                      0.20047021
               12.516061                      0.21956917
               12.579919                       0.2387153
               12.643776                      0.25780801
               12.707634                      0.27674187
               12.771491                      0.29540707
               12.835349                      0.31368991
               12.899206                      0.33147336
               12.963063                      0.34863763
               13.026921                      0.36506082
               13.090778                      0.38061959
               13.154636                       0.3951899
               13.218493                      0.40864774
               13.282351                      0.42086993
               13.346208                      0.43173495
               13.410066                      0.44112375
               13.473923                      0.44892062
               13.537781                      0.45501405
               13.601638                      0.45929761
               13.665495                      0.46167081
               13.729353                      0.46203997
                13.79321                      0.46031905
               13.857068                      0.45643052
               13.920925                      0.45030612
               13.984783                      0.44188764
                14.04864                      0.43112765
               14.112498                      0.41799019
               14.176355                      0.40245135
               14.240213                      0.38449988
                14.30407                      0.36413766
               14.367928                      0.34138015
               14.431785                      0.31625667
               14.495642                      0.28881077
                 14.5595                      0.25910028
               14.623357                       0.2271975
               14.687215                      0.19318914
               14.751072                       0.1571762
                14.81493                      0.11927381
               14.878787                      0.07961089
               14.942645                     0.038329746
               15.006502                   -0.0044144215
                15.07036                    -0.048454134
               15.134217                    -0.093610332
               15.198074                     -0.13969318
               15.261932                     -0.18650293
               15.325789                     -0.23383094
               15.389647                     -0.28146069
               15.453504                     -0.32916894
               15.517362                     -0.37672689
               15.581219                      -0.4239015
               15.645077                     -0.47045678
               15.708934                     -0.51615513
               15.772792                      -0.5607588
               15.836649                     -0.60403126
               15.900506                     -0.64573866
               15.964364                     -0.68565132
               16.028221                     -0.72354514
               16.092079                     -0.75920305
               16.155936                     -0.79241645
               16.219794                     -0.82298657
               16.283651                     -0.85072579
               16.347509                     -0.87545898
               16.411366                     -0.89702467
               16.475224                     -0.91527623
               16.539081                     -0.93008289
               16.602938                     -0.94133079
               16.666796                     -0.94892377
               16.730653                      -0.9527842
               16.794511                     -0.95285358
               16.858368                     -0.94909313
               16.922226                     -0.94148419
               16.986083                     -0.93002846
               17.049941                     -0.91474821
               17.113798                     -0.89568627
               17.177656                     -0.87290592
               17.241513                     -0.84649067
                17.30537                     -0.81654384
               17.369228                     -0.78318806
               17.433085                     -0.74656467
               17.496943                      -0.7068329
                 17.5608                     -0.66416902
               17.624658                     -0.61876535
               17.688515                     -0.57082913
               17.752373                     -0.52058135
                17.81623                     -0.46825544
               17.880088                      -0.4140959
               17.943945                     -0.35835686
               18.007802                     -0.30130055
                18.07166                     -0.24319577
               18.135517                      -0.1843163
               18.199375                     -0.12493922
               18.263232                    -0.065343315
                18.32709                   -0.0058074068
               18.390947                     0.053391295
               18.454805                      0.11197881
               18.518662                      0.16968601
                18.58252                      0.22625012
               18.646377                      0.28141631
               18.710234                      0.33493906
               18.774092                      0.38658359
               18.837949                      0.43612713
               18.901807                      0.48336015
               18.965664                      0.52808744
               19.029522                      0.57012915
               19.093379                      0.60932166
               19.157237                      0.64551839
               19.221094                      0.67859045
               19.284952                      0.70842719
               19.348809                      0.73493661
               19.412666                      0.75804569
               19.476524                      0.77770048
               19.540381                      0.79386624
               19.604239                      0.80652726
               19.668096                      0.81568673
               19.731954                      0.82136636
               19.795811                      0.82360598
               19.859669                      0.82246296
               19.923526                      0.81801159
               19.987384                      0.81034227
               20.051241                      0.79956076
               20.115099                      0.78578714
               20.178956                      0.76915491
               20.242813                      0.74980985
               20.306671                      0.72790896
               20.370528                      0.70361922
               20.434386                      0.67711641
               20.498243                      0.64858385
               20.562101                      0.61821117
               20.625958                      0.58619299
               20.689816                      0.55272766
               20.753673                      0.51801598
               20.817531                      0.48225997
               20.881388                      0.44566159
               20.945245                      0.40842159
               21.009103                      0.37073832
                21.07296                      0.33280661
               21.136818                      0.29481676
               21.200675                      0.25695346
               21.264533                      0.21939493
                21.32839                      0.18231201
               21.392248                       0.1458674
               21.456105                      0.11021491
               21.519963                     0.075498855
                21.58382                      0.04185349
