Time (ns)	Input signal	Output signal
0	1.32E-06	0
0.1	1.53E-06	-3.47E-25
0.2	1.75E-06	-6.36E-25
0.3	1.99E-06	-8.71E-25
0.4	2.24E-06	-1.05E-24
0.5	2.49E-06	-1.19E-24
0.6	2.73E-06	-1.29E-24
0.7	2.96E-06	-1.34E-24
0.8	3.16E-06	-1.36E-24
0.9	3.32E-06	-1.35E-24
1	3.41E-06	-1.31E-24
1.1	3.40E-06	-1.24E-24
1.2	3.28E-06	-1.16E-24
1.3	3.01E-06	-1.06E-24
1.4	2.54E-06	-9.41E-25
1.5	1.84E-06	-8.16E-25
1.6	8.49E-07	-6.86E-25
1.7	-4.88E-07	-5.54E-25
1.8	-2.23E-06	-4.24E-25
1.9	-4.45E-06	-3.00E-25
2	-7.23E-06	-1.85E-25
2.1	-1.06E-05	-8.35E-26
2.2	-1.47E-05	1.30E-27
2.3	-1.96E-05	6.54E-26
2.4	-2.54E-05	1.05E-25
2.5	-3.22E-05	1.17E-25
2.6	-3.99E-05	9.65E-26
2.7	-4.88E-05	4.05E-26
2.8	-5.88E-05	-5.12E-26
2.9	-7.00E-05	-1.04E-25
3	-8.24E-05	3.02E-26
3.1	-9.59E-05	1.01E-24
3.2	-0.000110495	1.48E-23
3.3	-0.000126077	1.86E-22
3.4	-0.000142459	2.26E-21
3.5	-0.000159401	2.13E-20
3.6	-0.000176587	1.97E-19
3.7	-0.000193614	1.57E-18
3.8	-0.000209979	1.05E-17
3.9	-0.00022507	7.23E-17
4	-0.000238157	4.02E-16
4.1	-0.000248383	2.12E-15
4.2	-0.000254753	1.03E-14
4.3	-0.000256128	4.17E-14
4.4	-0.000251223	1.75E-13
4.5	-0.000238606	6.23E-13
4.6	-0.0002167	2.00E-12
4.7	-0.000183786	6.30E-12
4.8	-0.000138017	1.66E-11
4.9	-7.74E-05	4.42E-11
5	-1.94E-10	1.07E-10
5.1	9.64E-05	2.21E-10
5.2	0.000213868	4.60E-10
5.3	0.000354513	8.14E-10
5.4	0.000520339	1.36E-09
5.5	0.00071321	2.12E-09
5.6	0.000934763	2.57E-09
5.7	0.001186328	2.65E-09
5.8	0.001468838	1.53E-09
5.9	0.001782729	-2.10E-09
6	0.002127819	-9.28E-09
6.1	0.002503193	-1.96E-08
6.2	0.002907088	-3.57E-08
6.3	0.003336773	-5.32E-08
6.4	0.003788411	-7.06E-08
6.5	0.00425692	-8.70E-08
6.6	0.004735873	-8.67E-08
6.7	0.005217391	-7.51E-08
6.8	0.005692044	-4.52E-08
6.9	0.00614873	3.10E-09
7	0.006574646	6.53E-08
7.1	0.00695526	1.26E-07
7.2	0.00727431	1.82E-07
7.3	0.007513817	2.17E-07
7.4	0.007654155	2.17E-07
7.5	0.007674213	1.85E-07
7.6	0.007551562	1.15E-07
7.7	0.007262677	2.13E-08
7.8	0.006783222	-8.04E-08
7.9	0.006088437	-1.67E-07
8	0.00515355	-2.24E-07
8.1	0.003954251	-2.29E-07
8.2	0.002467247	-1.67E-07
8.3	0.000670913	-4.82E-08
8.4	-0.001454059	1.30E-07
8.5	-0.003923961	3.68E-07
8.6	-0.006751313	5.81E-07
8.7	-0.009943955	8.25E-07
8.8	-0.013504279	1.02E-06
8.9	-0.017428447	1.17E-06
9	-0.021705594	1.31E-06
9.1	-0.026316926	1.30E-06
9.2	-0.031234937	1.33E-06
9.3	-0.036422865	1.28E-06
9.4	-0.04183414	1.22E-06
9.5	-0.047411848	1.23E-06
9.6	-0.053088255	1.09E-06
9.7	-0.058784806	1.08E-06
9.8	-0.064412212	1.01E-06
9.9	-0.069870656	9.46E-07
10	-0.075050063	9.67E-07
10.1	-0.079830969	7.59E-07
10.2	-0.084085539	6.76E-07
10.3	-0.087678756	4.57E-07
10.4	-0.090469911	2.13E-07
10.5	-0.092314371	-5.62E-08
