Time (ns)	Input signal	Output signal
0	1.32E-06	0
0.1	1.53E-06	1.09E-26
0.2	1.75E-06	1.97E-26
0.3	1.99E-06	2.65E-26
0.4	2.24E-06	3.16E-26
0.5	2.49E-06	3.51E-26
0.6	2.73E-06	3.70E-26
0.7	2.96E-06	3.75E-26
0.8	3.16E-06	3.67E-26
0.9	3.32E-06	3.49E-26
1	3.41E-06	3.20E-26
1.1	3.40E-06	2.83E-26
1.2	3.28E-06	2.39E-26
1.3	3.01E-06	1.88E-26
1.4	2.54E-06	1.34E-26
1.5	1.84E-06	7.54E-27
1.6	8.49E-07	1.54E-27
1.7	-4.88E-07	-4.53E-27
1.8	-2.23E-06	-1.05E-26
1.9	-4.45E-06	-1.63E-26
2	-7.23E-06	-2.17E-26
2.1	-1.06E-05	-2.67E-26
2.2	-1.47E-05	-3.11E-26
2.3	-1.96E-05	-3.47E-26
2.4	-2.54E-05	-3.75E-26
2.5	-3.22E-05	-3.92E-26
2.6	-3.99E-05	-3.98E-26
2.7	-4.88E-05	-3.92E-26
2.8	-5.88E-05	-3.71E-26
2.9	-7.00E-05	-3.35E-26
3	-8.24E-05	-2.83E-26
3.1	-9.59E-05	-2.12E-26
3.2	-0.000110495	-1.22E-26
3.3	-0.000126077	-1.98E-26
3.4	-0.000142459	-6.31E-25
3.5	-0.000159401	-9.51E-24
3.6	-0.000176587	-1.46E-22
3.7	-0.000193614	-1.80E-21
3.8	-0.000209979	-1.91E-20
3.9	-0.00022507	-2.02E-19
4	-0.000238157	-1.68E-18
4.1	-0.000248383	-1.39E-17
4.2	-0.000254753	-9.96E-17
4.3	-0.000256128	-6.08E-16
4.4	-0.000251223	-3.83E-15
4.5	-0.000238606	-1.97E-14
4.6	-0.0002167	-9.67E-14
4.7	-0.000183786	-4.41E-13
4.8	-0.000138017	-1.69E-12
4.9	-7.74E-05	-6.70E-12
5	-1.94E-10	-2.28E-11
5.1	9.64E-05	-7.06E-11
5.2	0.000213868	-2.14E-10
5.3	0.000354513	-5.46E-10
5.4	0.000520339	-1.42E-09
5.5	0.00071321	-3.36E-09
5.6	0.000934763	-6.92E-09
5.7	0.001186328	-1.44E-08
5.8	0.001468838	-2.61E-08
5.9	0.001782729	-4.60E-08
6	0.002127819	-7.77E-08
6.1	0.002503193	-1.12E-07
6.2	0.002907088	-1.62E-07
6.3	0.003336773	-2.09E-07
6.4	0.003788411	-2.49E-07
6.5	0.00425692	-2.82E-07
6.6	0.004735873	-2.57E-07
6.7	0.005217391	-1.97E-07
6.8	0.005692044	-7.89E-08
6.9	0.00614873	9.53E-08
7	0.006574646	3.16E-07
7.1	0.00695526	5.35E-07
7.2	0.00727431	7.51E-07
7.3	0.007513817	9.07E-07
7.4	0.007654155	9.76E-07
7.5	0.007674213	9.77E-07
7.6	0.007551562	8.43E-07
7.7	0.007262677	6.83E-07
7.8	0.006783222	4.82E-07
7.9	0.006088437	3.27E-07
8	0.00515355	2.94E-07
8.1	0.003954251	2.85E-07
8.2	0.002467247	5.01E-07
8.3	0.000670913	7.75E-07
8.4	-0.001454059	1.15E-06
8.5	-0.003923961	1.67E-06
8.6	-0.006751313	1.94E-06
8.7	-0.009943955	2.32E-06
8.8	-0.013504279	2.48E-06
8.9	-0.017428447	2.57E-06
9	-0.021705594	2.70E-06
9.1	-0.026316926	2.44E-06
9.2	-0.031234937	2.42E-06
9.3	-0.036422865	2.20E-06
9.4	-0.04183414	2.05E-06
9.5	-0.047411848	2.04E-06
9.6	-0.053088255	1.60E-06
9.7	-0.058784806	1.34E-06
9.8	-0.064412212	7.14E-07
9.9	-0.069870656	-9.77E-08
10	-0.075050063	-1.24E-06
10.1	-0.079830969	-2.77E-06
10.2	-0.084085539	-4.70E-06
10.3	-0.087678756	-6.95E-06
10.4	-0.090469911	-9.47E-06
10.5	-0.092314371	-1.28E-05
10.6	-0.093065795	-1.53E-05
10.7	-0.092578386	-1.90E-05
10.8	-0.090709365	-2.21E-05
10.9	-0.087321862	-2.55E-05
11	-0.082287983	-3.05E-05
11.1	-0.075491871	-3.24E-05
11.2	-0.066832703	-3.71E-05
11.3	-0.05622792	-4.00E-05
11.4	-0.04361713	-4.34E-05
11.5	-0.028964813	-4.95E-05
11.6	-0.012263095	-4.89E-05
11.7	0.006465379	-5.32E-05
11.8	0.027164175	-5.34E-05
11.9	0.04974169	-5.38E-05
12	0.07406932	-5.72E-05
