        Time / ns                Port1/real
----------------------------------------------------------------------
                       0                               0
               1.6253828                               0
               3.2507656                 -6.8415455e-027
               3.3524513                 -1.5912751e-025
               3.4032942                 -6.9257017e-025
               3.4287156                 -1.4063794e-024
               3.4414263                 -1.9931557e-024
                3.454137                 -2.8154267e-024
               3.4668478                 -3.9646423e-024
               3.4795585                 -5.5667289e-024
               3.4922692                 -7.7947347e-024
               3.5049799                 -1.0794244e-023
               3.5113353                 -1.2712241e-023
               3.5176906                 -1.5070107e-023
                3.524046                 -1.7945153e-023
               3.5304013                  -2.142739e-023
               3.5367567                  -2.562303e-023
               3.5399344                 -2.8026342e-023
               3.5431121                 -3.0655954e-023
               3.5462897                 -3.3530684e-023
               3.5494674                 -3.6670895e-023
               3.5526451                 -4.0098627e-023
               3.5558228                 -4.3837754e-023
               3.5590004                  -4.791395e-023
               3.5621781                 -5.2354919e-023
               3.5653558                 -5.7190535e-023
               3.5685335                 -6.2452988e-023
               3.5717112                 -6.8176948e-023
               3.5748888                 -7.4399744e-023
               3.5780665                 -8.1161721e-023
               3.5812442                 -8.8506226e-023
               3.5844219                 -9.6480023e-023
               3.5875996                 -1.0513355e-022
               3.5907772                 -1.1452113e-022
               3.5939549                 -1.2470134e-022
               3.5971326                 -1.3573724e-022
               3.6003103                 -1.4769683e-022
                3.603488                 -1.6065332e-022
               3.6066656                 -1.7468546e-022
               3.6098433                 -1.8987795e-022
                3.613021                 -2.0632201e-022
               3.6161987                 -2.2411587e-022
               3.6193763                 -2.4336517e-022
                3.622554                  -2.641835e-022
               3.6257317                 -2.8669322e-022
               3.6289094                 -3.1102588e-022
               3.6320871                   -3.37323e-022
               3.6352647                 -3.6573657e-022
               3.6384424                 -3.9643007e-022
               3.6416201                 -4.2957925e-022
               3.6447978                 -4.6537278e-022
               3.6479755                 -5.0401373e-022
               3.6511531                  -5.457202e-022
               3.6543308                 -5.9072638e-022
               3.6575085                 -6.3928404e-022
               3.6606862                 -6.9166356e-022
               3.6638639                 -7.4815535e-022
               3.6670415                  -8.090712e-022
               3.6702192                 -8.7474591e-022
               3.6733969                 -9.4553879e-022
               3.6765746                 -1.0218357e-021
               3.6797522                 -1.1040508e-021
               3.6829299                 -1.1926284e-021
               3.6861076                 -1.2880455e-021
               3.6892853                 -1.3908137e-021
                3.692463                 -1.5014815e-021
               3.6956406                 -1.6206381e-021
               3.6988183                 -1.7489146e-021
                3.701996                 -1.8869883e-021
               3.7051737                 -2.0355854e-021
               3.7083514                 -2.1954847e-021
                3.711529                 -2.3675201e-021
               3.7147067                 -2.5525875e-021
               3.7178844                 -2.7516449e-021
               3.7210621                 -2.9657208e-021
               3.7242398                 -3.1959167e-021
               3.7274174                 -3.4434125e-021
               3.7305951                 -3.7094732e-021
               3.7337728                 -3.9954529e-021
               3.7369505                 -4.3028032e-021
               3.7401281                 -4.6330781e-021
               3.7433058                 -4.9879419e-021
               3.7464835                 -5.3691778e-021
               3.7528389                 -6.1786574e-021
               3.7560165                 -6.6197289e-021
               3.7591942                 -7.1026426e-021
               3.7623719                 -7.6344117e-021
               3.7655496                  -8.217979e-021
               3.7687273                 -8.8571375e-021
               3.7719049                 -9.5560277e-021
               3.7750826                  -1.031883e-020
               3.7782603                 -1.1150148e-020
                3.781438                 -1.2055031e-020
               3.7846157                 -1.3038733e-020
               3.7877933                 -1.4106984e-020
                3.790971                 -1.5265792e-020
               3.7941487                 -1.6521622e-020
               3.7973264                 -1.7881488e-020
                3.800504                 -1.9352845e-020
               3.8036817                 -2.0943744e-020
               3.8068594                 -2.2662803e-020
               3.8100371                 -2.4519156e-020
               3.8132148                 -2.6522587e-020
               3.8163924                 -2.8683528e-020
               3.8195701                 -3.1013109e-020
               3.8227478                 -3.3523133e-020
               3.8259255                 -3.6226241e-020
               3.8291032                 -3.9135953e-020
               3.8322808                 -4.2266569e-020
               3.8354585                 -4.5633431e-020
               3.8386362                 -4.9252935e-020
               3.8418139                 -5.3142519e-020
               3.8449916                 -5.7320818e-020
               3.8481692                 -6.1807724e-020
               3.8513469                 -6.6624455e-020
               3.8545246                  -7.179366e-020
               3.8577023                 -7.7339379e-020
               3.8608799                 -8.3287234e-020
               3.8640576                 -8.9664593e-020
               3.8672353                  -9.650064e-020
                3.870413                 -1.0382638e-019
               3.8735907                 -1.1167488e-019
