Time (ns)	Input signal	Output signal
0	1.32E-06	0
0.1	1.53E-06	-2.87E-26
0.2	1.75E-06	-5.02E-26
0.3	1.99E-06	-6.50E-26
0.4	2.24E-06	-7.40E-26
0.5	2.49E-06	-7.79E-26
0.6	2.73E-06	-7.73E-26
0.7	2.96E-06	-7.29E-26
0.8	3.16E-06	-6.55E-26
0.9	3.32E-06	-5.57E-26
1	3.41E-06	-4.42E-26
1.1	3.40E-06	-3.19E-26
1.2	3.28E-06	-1.92E-26
1.3	3.01E-06	-7.04E-27
1.4	2.54E-06	3.97E-27
1.5	1.84E-06	1.31E-26
1.6	8.49E-07	1.97E-26
1.7	-4.88E-07	2.31E-26
1.8	-2.23E-06	2.24E-26
1.9	-4.45E-06	1.71E-26
2	-7.23E-06	6.44E-27
2.1	-1.06E-05	-9.07E-27
2.2	-1.47E-05	-7.48E-27
2.3	-1.96E-05	4.33E-27
2.4	-2.54E-05	-2.66E-25
2.5	-3.22E-05	-2.04E-24
2.6	-3.99E-05	-1.58E-23
2.7	-4.88E-05	-1.07E-22
2.8	-5.88E-05	-6.24E-22
2.9	-7.00E-05	-3.81E-21
3	-8.24E-05	-1.94E-20
3.1	-9.59E-05	-9.55E-20
3.2	-0.000110495	-4.47E-19
3.3	-0.000126077	-1.79E-18
3.4	-0.000142459	-7.70E-18
3.5	-0.000159401	-2.89E-17
3.6	-0.000176587	-1.02E-16
3.7	-0.000193614	-3.60E-16
3.8	-0.000209979	-1.10E-15
3.9	-0.00022507	-3.56E-15
4	-0.000238157	-1.06E-14
4.1	-0.000248383	-2.88E-14
4.2	-0.000254753	-8.11E-14
4.3	-0.000256128	-2.00E-13
4.4	-0.000251223	-5.17E-13
4.5	-0.000238606	-1.27E-12
4.6	-0.0002167	-2.80E-12
4.7	-0.000183786	-6.52E-12
4.8	-0.000138017	-1.34E-11
4.9	-7.74E-05	-2.87E-11
5	-1.94E-10	-5.96E-11
5.1	9.64E-05	-1.11E-10
5.2	0.000213868	-2.18E-10
5.3	0.000354513	-3.86E-10
5.4	0.000520339	-6.96E-10
5.5	0.00071321	-1.24E-09
5.6	0.000934763	-1.98E-09
5.7	0.001186328	-3.32E-09
5.8	0.001468838	-5.10E-09
5.9	0.001782729	-7.85E-09
6	0.002127819	-1.21E-08
6.1	0.002503193	-1.65E-08
6.2	0.002907088	-2.37E-08
6.3	0.003336773	-3.13E-08
6.4	0.003788411	-4.05E-08
6.5	0.00425692	-5.26E-08
6.6	0.004735873	-5.99E-08
6.7	0.005217391	-6.95E-08
6.8	0.005692044	-7.29E-08
6.9	0.00614873	-7.07E-08
7	0.006574646	-6.29E-08
7.1	0.00695526	-3.72E-08
7.2	0.00727431	-9.52E-10
7.3	0.007513817	5.05E-08
7.4	0.007654155	1.17E-07
7.5	0.007674213	2.02E-07
7.6	0.007551562	2.82E-07
7.7	0.007262677	3.77E-07
7.8	0.006783222	4.56E-07
7.9	0.006088437	5.19E-07
8	0.00515355	5.79E-07
8.1	0.003954251	5.66E-07
8.2	0.002467247	5.52E-07
8.3	0.000670913	4.88E-07
8.4	-0.001454059	4.05E-07
8.5	-0.003923961	3.39E-07
8.6	-0.006751313	2.18E-07
8.7	-0.009943955	1.74E-07
8.8	-0.013504279	1.38E-07
8.9	-0.017428447	1.71E-07
9	-0.021705594	3.04E-07
9.1	-0.026316926	3.97E-07
9.2	-0.031234937	6.17E-07
9.3	-0.036422865	7.97E-07
9.4	-0.04183414	9.82E-07
9.5	-0.047411848	1.18E-06
9.6	-0.053088255	1.16E-06
9.7	-0.058784806	1.15E-06
9.8	-0.064412212	9.57E-07
9.9	-0.069870656	6.47E-07
10	-0.075050063	2.34E-07
10.1	-0.079830969	-3.31E-07
10.2	-0.084085539	-9.69E-07
10.3	-0.087678756	-1.69E-06
10.4	-0.090469911	-2.46E-06
10.5	-0.092314371	-3.43E-06
10.6	-0.093065795	-4.20E-06
10.7	-0.092578386	-5.28E-06
10.8	-0.090709365	-6.28E-06
10.9	-0.087321862	-7.39E-06
11	-0.082287983	-9.03E-06
11.1	-0.075491871	-9.82E-06
11.2	-0.066832703	-1.15E-05
11.3	-0.05622792	-1.27E-05
11.4	-0.04361713	-1.40E-05
11.5	-0.028964813	-1.62E-05
11.6	-0.012263095	-1.63E-05
11.7	0.006465379	-1.79E-05
11.8	0.027164175	-1.83E-05
11.9	0.04974169	-1.87E-05
12	0.07406932	-2.02E-05
12.1	0.099980212	-1.82E-05
12.2	0.127268628	-1.84E-05
12.3	0.1556891	-1.64E-05
12.4	0.184958502	-1.43E-05
12.5	0.214757116	-1.29E-05
12.6	0.244730123	-7.56E-06
12.7	0.274490675	-3.88E-06
12.8	0.303623623	2.37E-06
12.9	0.331690688	8.89E-06
13	0.358235338	1.62E-05
13.1	0.382787667	2.56E-05
13.2	0.40487194	3.53E-05
13.3	0.424013651	4.63E-05
13.4	0.439746638	5.76E-05
13.5	0.45162079	7.23E-05
13.6	0.459210896	8.31E-05
13.7	0.462124517	9.84E-05
13.8	0.460009747	1.12E-04
13.9	0.452563015	1.25E-04
14	0.439537285	1.46E-04
14.1	0.420749326	1.52E-04
14.2	0.396085541	1.69E-04
14.3	0.365507181	0.000177318
14.4	0.329054884	0.000185323
14.5	0.286853786	0.000203386
14.6	0.239115196	0.000192731
14.7	0.186135907	0.000199737
14.8	0.128297947	0.00018984
14.9	0.066069335	0.000178889
15	-7.06E-07	0.000177545
15.1	-0.069286903	0.000136972
15.2	-0.14109477	0.000116934
15.3	-0.214668419	7.25E-05
15.4	-0.289196458	2.72E-05
15.5	-0.363824966	-1.57E-05
15.6	-0.437668778	-9.50E-05
15.7	-0.509822447	-0.000160373
15.8	-0.5793727	-0.000250235
15.9	-0.645414203	-0.000339126
16	-0.707061069	-0.000439569
16.1	-0.763460034	-0.000551481
16.2	-0.81380501	-0.000667636
16.3	-0.857350376	-0.000796237
16.4	-0.893423898	-9.17E-04
16.5	-0.921436656	-1.07E-03
16.6	-0.940892637	-0.001178921
16.7	-0.951400399	-0.001322583
16.8	-0.952680316	-0.001445171
16.9	-0.944569041	-0.001556531
17	-0.92702317	-0.001714126
17.1	-0.90012207	-0.001753165
17.2	-0.864070612	-0.001856569
17.3	-0.819194773	-0.00189351
17.4	-0.765937971	-0.001910699
17.5	-0.704855757	-0.001967283
17.6	-0.63660887	-0.001841643
17.7	-0.561955469	-0.001790272
17.8	-0.481738079	-0.001622957
17.9	-0.396872038	-0.0014268
18	-0.308333797	-0.001230788
18.1	-0.21714445	-0.000835586
18.2	-0.12435657	-0.000484894
18.3	-0.031038739	1.19E-05
18.4	0.061740577	0.000542857
18.5	0.152928077	0.001145794
18.6	0.241500594	0.001884829
18.7	0.326480796	0.002649374
18.8	0.406949566	0.003544516
18.9	0.482056903	0.004467926
19	0.55103704	0.005535824
19.1	0.61321568	0.006588554
19.2	0.668018216	0.007755747
19.3	0.714976617	0.008966942
19.4	0.753734302	0.010176506
19.5	0.784049616	0.011559212
19.6	0.805795268	0.012696158
19.7	0.818957231	0.013993952
19.8	0.82363347	0.015184276
19.9	0.8200304	0.016282464
20	0.808454903	0.017474374
20.1	0.789306954	0.018183131
20.2	0.763071723	0.019020701
20.3	0.73031122	0.019490537
20.4	0.691651557	0.019759713
20.5	0.647772054	0.019891395
20.6	0.599394251	0.019394209
20.7	0.547269792	0.018766291
20.8	0.492168116	0.017598208
20.9	0.434864843	0.01607256
21	0.376129936	0.014060462
21.1	0.316716696	0.011451255
21.2	0.257352807	0.008390443
21.3	0.1987294	0.004669784
21.4	0.141493863	0.000490163
21.5	0.086242763	-0.004461535
21.6	0.033514031	-0.009757156
21.7	-0.016216439	-0.015767535
21.8	-0.062538605	-0.022286835
21.9	-0.105110437	-0.029224233
22	-0.143659014	-0.036917059
22.1	-0.177982733	-0.044476759
