        Time / ns                Port1/real
----------------------------------------------------------------------
                       0                               0
               1.3622924                               0
               2.0434386                 -5.0581868e-029
               2.2137251                 -3.7185605e-027
               2.3840117                 -1.8595113e-025
               2.4265833                 -4.6293134e-025
               2.4691549                 -1.1107963e-024
               2.4904408                 -1.7016719e-024
               2.5117266                 -2.5440387e-024
               2.5330124                 -3.8921047e-024
               2.5436553                 -4.8607247e-024
               2.5542982                  -6.083354e-024
               2.5649411                 -7.6144308e-024
                2.575584                 -9.5201052e-024
                2.586227                 -1.1878513e-023
               2.5968699                 -1.4783789e-023
               2.6075128                 -1.8348874e-023
               2.6128342                 -2.0419889e-023
               2.6181557                 -2.2708405e-023
               2.6234771                 -2.5235547e-023
               2.6287986                 -2.8024192e-023
                 2.63412                 -3.1099583e-023
               2.6394415                 -3.4489277e-023
                2.644763                 -3.8223278e-023
               2.6500844                 -4.2334529e-023
               2.6554059                 -4.6858783e-023
               2.6607273                 -5.1835127e-023
               2.6660488                 -5.7306465e-023
               2.6713702                 -6.3319215e-023
               2.6766917                 -6.9924161e-023
               2.6820131                 -7.7177083e-023
               2.6873346                 -8.5138302e-023
                2.692656                  -9.387377e-023
               2.6979775                 -1.0345574e-022
                2.703299                 -1.1396244e-022
               2.7086204                 -1.2547935e-022
               2.7139419                  -1.380997e-022
               2.7192633                 -1.5192471e-022
               2.7245848                 -1.6706504e-022
               2.7299062                 -1.8364096e-022
               2.7352277                 -2.0178336e-022
               2.7405491                 -2.2163521e-022
               2.7458706                 -2.4335168e-022
               2.7565135                 -2.8914935e-022
                2.761835                 -3.1535453e-022
               2.7671564                 -3.4483093e-022
               2.7724779                 -3.7807331e-022
               2.7777993                 -4.1542222e-022
               2.7831208                 -4.5719034e-022
               2.7884422                 -5.0383642e-022
               2.7937637                   -5.55769e-022
               2.7990851                 -6.1344937e-022
               2.8044066                 -6.7742813e-022
                2.809728                 -7.4821362e-022
               2.8150495                 -8.2642573e-022
                2.820371                 -9.1275472e-022
               2.8256924                 -1.0078466e-021
               2.8310139                 -1.1124763e-021
               2.8363353                 -1.2274958e-021
               2.8416568                 -1.3537553e-021
               2.8469782                 -1.4922235e-021
               2.8522997                  -1.643958e-021
               2.8576211                 -1.8100683e-021
               2.8629426                 -1.9917601e-021
                2.868264                 -2.1903611e-021
               2.8735855                 -2.4073031e-021
                2.878907                 -2.6441057e-021
               2.8842284                 -2.9024428e-021
               2.8895499                 -3.1841183e-021
               2.8948713                 -3.4910689e-021
               2.9001928                 -3.8254103e-021
               2.9055142                 -4.1893967e-021
               2.9108357                 -4.5854738e-021
               2.9161571                 -5.0163085e-021
               2.9214786                  -5.484731e-021
                  2.9268                 -5.9938156e-021
               2.9321215                 -6.5469248e-021
                2.937443                 -7.1476247e-021
               2.9427644                 -7.7997834e-021
               2.9480859                 -8.5076204e-021
               2.9534073                 -9.2756185e-021
               2.9587288                 -1.0108646e-020
               2.9640502                 -1.1011954e-020
               2.9693717                 -1.1991173e-020
               2.9746931                 -1.3052419e-020
               2.9800146                 -1.4202249e-020
                2.985336                  -1.544773e-020
               2.9906575                 -1.6796536e-020
                2.995979                  -1.825687e-020
               3.0013004                  -1.978458e-020
               3.0066219                 -2.1254535e-020
               3.0119433                 -2.2934341e-020
               3.0172648                 -2.4803069e-020
               3.0225862                 -2.6889242e-020
               3.0279077                 -2.9209784e-020
               3.0332291                 -3.1778836e-020
               3.0385506                 -3.4620352e-020
                3.043872                 -3.7753442e-020
               3.0491935                 -4.1200033e-020
                3.054515                 -4.4987287e-020
               3.0598364                 -4.9137851e-020
               3.0651579                 -5.3681212e-020
               3.0704793                 -5.8650188e-020
               3.0758008                 -6.4072613e-020
               3.0811222                 -6.9983956e-020
               3.0864437                  -7.642311e-020
               3.0917651                 -8.3426436e-020
               3.0970866                 -9.1036581e-020
                3.102408                 -9.9299856e-020
               3.1077295                 -1.0826338e-019
                3.113051                 -1.1797796e-019
               3.1183724                 -1.2849988e-019
               3.1236939                 -1.3988903e-019
               3.1290153                 -1.5220748e-019
               3.1343368                 -1.6552401e-019
               3.1396582                 -1.7991191e-019
               3.1449797                 -1.9544867e-019
               3.1503011                  -2.122189e-019
               3.1556226                 -2.3031112e-019
               3.1609441                 -2.4982056e-019
               3.1662655                 -2.7085127e-019
                3.171587                 -2.9351084e-019
               3.1769084                  -3.179158e-019
