        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -7.3183969e-08
             0.038826529                    1.363929e-06
             0.077653058                   1.3966236e-06
              0.11647959                    1.434444e-06
              0.15530612                   1.4747084e-06
              0.19413266                   1.5120665e-06
              0.23295918                   1.5580777e-06
              0.27178571                   1.5916615e-06
              0.31061223                   1.6406776e-06
              0.34943879                   1.6760636e-06
              0.38826531                   1.7153988e-06
              0.42709184                   1.7577174e-06
              0.46591836                   1.7996097e-06
              0.50474489                   1.8333205e-06
              0.54357141                   1.8747349e-06
              0.58239794                    1.910289e-06
              0.62122446                   1.9474599e-06
              0.66005099                   1.9851275e-06
              0.69887757                   2.0194786e-06
               0.7377041                   2.0561788e-06
              0.77653062                   2.0911075e-06
              0.81535715                   2.1234787e-06
              0.85418367                   2.1560452e-06
               0.8930102                   2.1862397e-06
              0.93183672                   2.2146171e-06
              0.97066325                   2.2406705e-06
               1.0094898                   2.2662259e-06
               1.0483164                   2.2891427e-06
               1.0871428                   2.3105108e-06
               1.1259694                   2.3305051e-06
               1.1647959                   2.3477385e-06
               1.2036225                   2.3623406e-06
               1.2424489                   2.3733503e-06
               1.2812755                   2.3825553e-06
                1.320102                    2.388663e-06
               1.3589286                   2.3916664e-06
               1.3977551                   2.3923646e-06
               1.4365816                   2.3870007e-06
               1.4754082                   2.3786743e-06
               1.5142347                   2.3662276e-06
               1.5530612                   2.3494188e-06
               1.5918877                   2.3304463e-06
               1.6307143                    2.305741e-06
               1.6695408                   2.2759652e-06
               1.7083673                     2.24056e-06
               1.7471938                   2.1998019e-06
               1.7860204                   2.1543235e-06
                1.824847                   2.1026328e-06
               1.8636734                   2.0455625e-06
                  1.9025                    1.981746e-06
               1.9413265                   1.9116897e-06
               1.9801531                   1.8329382e-06
               2.0189795                   1.7483695e-06
                2.057806                    1.657168e-06
               2.0966327                   1.5574337e-06
               2.1354592                   1.4505497e-06
               2.1742857                   1.3358693e-06
               2.2131121                   1.2116548e-06
               2.2519388                   1.0791068e-06
               2.2907653                   9.3626795e-07
               2.3295918                   7.8462944e-07
               2.3684185                    6.229775e-07
               2.4072449                   4.5162685e-07
               2.4460714                   2.7091289e-07
               2.4848979                   7.9069963e-08
               2.5237246                  -1.2299066e-07
                2.562551                  -3.3915828e-07
               2.6013775                  -5.6477563e-07
                2.640204                  -8.0327095e-07
               2.6790307                  -1.0526725e-06
               2.7178571                  -1.3158461e-06
               2.7566836                  -1.5919744e-06
               2.7955103                  -1.8795843e-06
               2.8343368                  -2.1821841e-06
               2.8731632                  -2.4989581e-06
               2.9119897                  -2.8299605e-06
               2.9508164                  -3.1753041e-06
               2.9896429                  -3.5345206e-06
               3.0284693                  -3.9096612e-06
               3.0672958                  -4.2986439e-06
               3.1061225                  -4.7049539e-06
                3.144949                  -5.1276811e-06
               3.1837754                  -5.5655287e-06
               3.2226021                  -6.0204666e-06
               3.2614286                  -6.4913415e-06
               3.3002551                  -6.9800867e-06
               3.3390815                  -7.4854734e-06
               3.3779082                  -8.0089203e-06
               3.4167347                  -8.5500997e-06
               3.4555612                  -9.1085503e-06
               3.4943876                  -9.6860695e-06
               3.5332143                  -1.0281187e-05
               3.5720408                  -1.0895198e-05
               3.6108673                  -1.1526879e-05
                3.649694                  -1.2178102e-05
               3.6885204                  -1.2848667e-05
               3.7273469                  -1.3536624e-05
               3.7661734                  -1.4245174e-05
               3.8050001                  -1.4972038e-05
               3.8438265                  -1.5717547e-05
                3.882653                  -1.6483087e-05
               3.9214795                  -1.7266599e-05
               3.9603062                  -1.8070159e-05
               3.9991326                  -1.8891329e-05
               4.0379591                  -1.9732381e-05
               4.0767856                  -2.0591902e-05
                4.115612                  -2.1469503e-05
                4.154439                  -2.2365499e-05
               4.1932654                  -2.3279124e-05
               4.2320919                   -2.421124e-05
               4.2709184                  -2.5159945e-05
               4.3097448                  -2.6126405e-05
               4.3485713                  -2.7109005e-05
               4.3873978                  -2.8106857e-05
               4.4262242                  -2.9121999e-05
               4.4650512                  -3.0151345e-05
               4.5038776                  -3.1195646e-05
               4.5427041                  -3.2253742e-05
               4.5815306                  -3.3325148e-05
                4.620357                  -3.4409146e-05
               4.6591835                  -3.5503683e-05
                 4.69801                  -3.6610334e-05
               4.7368369                  -3.7726597e-05
               4.7756634                  -3.8851816e-05
               4.8144898                  -3.9985352e-05
               4.8533163                  -4.1125189e-05
               4.8921428                  -4.2271309e-05
               4.9309692                  -4.3422006e-05
               4.9697957                  -4.4576165e-05
               5.0086226                  -4.5731394e-05
               5.0474491                  -4.6886969e-05
               5.0862756                  -4.8042624e-05
                5.125102                  -4.9195685e-05
               5.1639285                  -5.0344635e-05
                5.202755                  -5.1487696e-05
               5.2415814                  -5.2622632e-05
               5.2804079                  -5.3748983e-05
               5.3192348                  -5.4862823e-05
               5.3580613                  -5.5963978e-05
               5.3968878                  -5.7049667e-05
               5.4357142                  -5.8117264e-05
               5.4745407                  -5.9165832e-05
               5.5133672                  -6.0191134e-05
               5.5521936                  -6.1192462e-05
               5.5910206                   -6.216632e-05
                5.629847                  -6.3110041e-05
               5.6686735                   -6.402134e-05
                  5.7075                  -6.4897613e-05
               5.7463264                  -6.5735832e-05
               5.7851529                  -6.6532477e-05
               5.8239794                  -6.7285764e-05
               5.8628058                  -6.7990717e-05
               5.9016328                  -6.8645619e-05
               5.9404593                  -6.9247057e-05
               5.9792857                   -6.979084e-05
               6.0181122                   -7.027464e-05
               6.0569386                  -7.0692498e-05
               6.0957651                  -7.1043512e-05
               6.1345916                  -7.1322895e-05
               6.1734185                  -7.1525523e-05
                6.212245                  -7.1649789e-05
               6.2510715                  -7.1689887e-05
               6.2898979                  -7.1642207e-05
               6.3287244                  -7.1503026e-05
               6.3675508                  -7.1267219e-05
               6.4063773                  -7.0931186e-05
               6.4452043                  -7.0488852e-05
               6.4840307                  -6.9938316e-05
               6.5228572                  -6.9273032e-05
               6.5616837                    -6.84896e-05
               6.6005101                  -6.7582296e-05
               6.6393366                  -6.6546629e-05
               6.6781631                    -6.53772e-05
               6.7169895                  -6.4069376e-05
               6.7558165                  -6.2619321e-05
               6.7946429                  -6.1020826e-05
               6.8334694                  -5.9268656e-05
               6.8722959                  -5.7358287e-05
               6.9111223                  -5.5283868e-05
               6.9499488                  -5.3040974e-05
               6.9887753                  -5.0623301e-05
               7.0276022                  -4.8026828e-05
               7.0664287                  -4.5245753e-05
               7.1052551                  -4.2273547e-05
               7.1440816                  -3.9106573e-05
               7.1829081                  -3.5738998e-05
               7.2217345                  -3.2165004e-05
                7.260561                  -2.8379405e-05
               7.2993879                  -2.4377188e-05
               7.3382144                   -2.015314e-05
               7.3770409                  -1.5701229e-05
               7.4158673                  -1.1017425e-05
               7.4546938                  -6.0954412e-06
               7.4935203                   -9.305536e-07
               7.5323467                   4.4822236e-06
               7.5711732                    1.014803e-05
               7.6100001                   1.6071683e-05
               7.6488266                   2.2257867e-05
               7.6876531                   2.8711265e-05
               7.7264795                   3.5437195e-05
                7.765306                   4.2439522e-05
               7.8041325                   4.9722294e-05
               7.8429589                   5.7290563e-05
               7.8817859                   6.5148168e-05
               7.9206123                   7.3298666e-05
               7.9594388                   8.1745544e-05
               7.9982653                   9.0492984e-05
               8.0370922                   9.9544079e-05
               8.0759182                   0.00010890159
               8.1147451                   0.00011856962
               8.1535711                   0.00012854919
               8.1923981                   0.00013884336
               8.2312241                   0.00014945431
                8.270051                   0.00016038411
               8.3088779                   0.00017163377
               8.3477039                   0.00018320479
               8.3865309                    0.0001950982
               8.4253569                   0.00020731427
               8.4641838                   0.00021985339
               8.5030098                    0.0002327151
               8.5418367                   0.00024589893
               8.5806627                   0.00025940448
               8.6194897                   0.00027322932
               8.6583166                   0.00028737276
               8.6971426                   0.00030183102
               8.7359695                   0.00031660325
               8.7747955                   0.00033168489
               8.8136225                   0.00034707272
               8.8524485                   0.00036276196
               8.8912754                   0.00037874797
               8.9301023                   0.00039502626
               8.9689283                   0.00041158995
               9.0077553                   0.00042843312
               9.0465813                    0.0004455485
               9.0854082                   0.00046292751
               9.1242342                   0.00048056355
               9.1630611                   0.00049844623
               9.2018881                   0.00051656656
               9.2407141                   0.00053491391
                9.279541                   0.00055347756
                9.318367                   0.00057224493
               9.3571939                   0.00059120398
               9.3960199                    0.0006103419
               9.4348469                   0.00062964461
               9.4736738                   0.00064909668
               9.5124998                   0.00066868344
               9.5513268                   0.00068838795
               9.5901527                   0.00070819276
               9.6289797                   0.00072807982
               9.6678057                   0.00074803166
               9.7066326                   0.00076802692
               9.7454596                    0.0007880457
               9.7842855                   0.00080806675
               9.8231125                    0.0008280676
               9.8619385                   0.00084802503
               9.9007654                   0.00086791412
               9.9395914                   0.00088771072
               9.9784184                   0.00090738822
               10.017245                   0.00092691981
               10.056071                   0.00094627822
               10.094898                   0.00096543436
               10.133724                   0.00098435802
               10.172551                    0.0010030194
               10.211377                    0.0010213853
               10.250204                    0.0010394242
                10.28903                    0.0010571026
               10.327857                    0.0010743859
               10.366684                    0.0010912385
                10.40551                    0.0011076233
               10.444337                    0.0011235042
               10.483163                    0.0011388423
                10.52199                     0.001153598
               10.560816                    0.0011677316
               10.599643                     0.001181202
                10.63847                    0.0011939672
               10.677296                    0.0012059837
               10.716123                    0.0012172089
               10.754949                    0.0012275971
               10.793776                    0.0012371035
               10.832602                    0.0012456814
               10.871428                     0.001253284
               10.910255                    0.0012598636
               10.949081                    0.0012653713
               10.987908                    0.0012697577
               11.026734                    0.0012729724
               11.065561                    0.0012749652
               11.104387                    0.0012756845
               11.143214                    0.0012750783
               11.182041                    0.0012730944
               11.220867                    0.0012696789
               11.259694                    0.0012647791
                11.29852                    0.0012583398
               11.337347                    0.0012503073
               11.376173                    0.0012406264
                  11.415                    0.0012292416
               11.453827                    0.0012160983
               11.492653                    0.0012011403
                11.53148                    0.0011843113
               11.570306                     0.001165556
               11.609133                    0.0011448173
               11.647959                    0.0011220401
               11.686786                     0.001097168
               11.725612                    0.0010701452
               11.764439                    0.0010409154
               11.803266                    0.0010094241
               11.842092                   0.00097561587
               11.880919                   0.00093943597
               11.919744                   0.00090082968
               11.958571                   0.00085974339
               11.997397                    0.0008161249
               12.036224                   0.00076992094
               12.075051                   0.00072108069
               12.113877                   0.00066955329
               12.152704                   0.00061528862
                12.19153                   0.00055823801
               12.230357                   0.00049835473
               12.269183                   0.00043559226
                12.30801                   0.00036990538
               12.346837                   0.00030125075
               12.385663                   0.00022958651
                12.42449                   0.00015487235
               12.463316                    7.706957e-05
               12.502143                  -3.8582589e-06
               12.540969                   -8.794554e-05
               12.579796                  -0.00017522648
               12.618623                  -0.00026573017
               12.657449                  -0.00035948498
               12.696276                  -0.00045651733
               12.735102                   -0.0005568504
               12.773929                  -0.00066050509
               12.812755                  -0.00076749973
               12.851582                  -0.00087784923
               12.890409                  -0.00099156541
               12.929235                   -0.0011086578
               12.968061                   -0.0012291326
               13.006887                   -0.0013529926
               13.045714                   -0.0014802371
                13.08454                   -0.0016108616
               13.123367                   -0.0017448583
               13.162194                   -0.0018822148
                13.20102                   -0.0020229169
               13.239847                   -0.0021669441
               13.278673                   -0.0023142726
                 13.3175                   -0.0024648746
               13.356326                    -0.002618718
               13.395153                   -0.0027757655
               13.433979                   -0.0029359758
               13.472806                   -0.0030993035
               13.511633                   -0.0032656963
               13.550459                   -0.0034350986
               13.589286                   -0.0036074503
               13.628112                   -0.0037826849
               13.666939                    -0.003960731
               13.705765                   -0.0041415123
               13.744592                   -0.0043249456
               13.783419                   -0.0045109442
               13.822245                   -0.0046994141
               13.861072                   -0.0048902566
               13.899898                   -0.0050833672
               13.938725                   -0.0052786344
               13.977551                   -0.0054759416
               14.016377                   -0.0056751664
               14.055204                   -0.0058761789
                14.09403                   -0.0060788444
               14.132857                    -0.006283022
               14.171683                    -0.006488563
                14.21051                   -0.0066953138
               14.249336                   -0.0069031133
               14.288163                   -0.0071117948
                14.32699                   -0.0073211845
               14.365816                   -0.0075311018
               14.404643                   -0.0077413605
               14.443469                   -0.0079517672
               14.482296                   -0.0081621213
               14.521122                   -0.0083722174
               14.559949                   -0.0085818414
               14.598776                   -0.0087907733
               14.637602                    -0.008998787
               14.676429                   -0.0092056496
               14.715255                   -0.0094111208
               14.754082                   -0.0096149566
               14.792908                   -0.0098169018
               14.831735                    -0.010016698
               14.870561                    -0.010214082
               14.909388                     -0.01040878
               14.948215                    -0.010600514
               14.987041                    -0.010788999
               15.025867                     -0.01097395
               15.064693                    -0.011155066
                15.10352                    -0.011332047
               15.142346                    -0.011504586
               15.181173                    -0.011672369
                   15.22                    -0.011835079
               15.258826                    -0.011992391
               15.297653                    -0.012143978
               15.336479                    -0.012289505
               15.375306                    -0.012428633
               15.414132                     -0.01256102
               15.452959                    -0.012686321
               15.491786                    -0.012804181
               15.530612                    -0.012914249
               15.569439                    -0.013016162
               15.608265                     -0.01310956
               15.647092                    -0.013194079
               15.685918                    -0.013269349
               15.724745                       -0.013335
               15.763572                    -0.013390658
               15.802398                    -0.013435951
               15.841225                    -0.013470501
               15.880051                    -0.013493929
               15.918878                    -0.013505858
               15.957704                    -0.013505909
               15.996531                      -0.0134937
               16.035357                    -0.013468854
               16.074184                    -0.013430991
                16.11301                    -0.013379732
               16.151836                    -0.013314703
               16.190662                    -0.013235526
                16.22949                    -0.013141829
               16.268316                    -0.013033242
               16.307142                    -0.012909397
                16.34597                    -0.012769932
               16.384796                    -0.012614486
               16.423622                    -0.012442701
               16.462448                    -0.012254231
               16.501276                    -0.012048726
               16.540102                     -0.01182585
               16.578928                    -0.011585269
               16.617756                    -0.011326657
               16.656582                    -0.011049695
               16.695408                    -0.010754072
               16.734234                    -0.010439487
               16.773062                    -0.010105646
               16.811888                   -0.0097522652
               16.850714                   -0.0093790721
               16.889542                   -0.0089858025
               16.928368                    -0.008572205
               16.967194                   -0.0081380419
                17.00602                   -0.0076830834
               17.044847                   -0.0072071166
               17.083673                   -0.0067099407
               17.122499                   -0.0061913687
               17.161325                   -0.0056512281
               17.200153                   -0.0050893631
               17.238979                   -0.0045056324
               17.277805                   -0.0038999117
               17.316633                   -0.0032720941
               17.355459                   -0.0026220891
               17.394285                   -0.0019498258
               17.433111                   -0.0012552514
               17.471939                  -0.00053833204
               17.510765                   0.00020094584
               17.549591                   0.00096257502
               17.588419                    0.0017465276
               17.627245                     0.002552754
               17.666071                    0.0033811834
               17.704897                    0.0042317207
               17.743725                    0.0051042489
               17.782551                    0.0059986273
               17.821377                    0.0069146901
               17.860205                     0.007852247
               17.899031                    0.0088110846
               17.937857                    0.0097909607
               17.976683                     0.010791609
               18.015511                     0.011812737
               18.054337                     0.012854024
               18.093163                     0.013915121
                18.13199                     0.014995654
               18.170816                     0.016095219
               18.209642                     0.017213386
               18.248468                     0.018349692
               18.287296                     0.019503646
               18.326122                     0.020674732
               18.364948                     0.021862399
               18.403776                     0.023066066
               18.442602                     0.024285128
               18.481428                     0.025518943
               18.520254                     0.026766839
               18.559082                     0.028028117
               18.597908                     0.029302046
               18.636734                     0.030587861
               18.675562                     0.031884771
               18.714388                     0.033191949
               18.753214                     0.034508538
                18.79204                     0.035833649
               18.830868                     0.037166368
               18.869694                     0.038505748
                18.90852                     0.039850805
               18.947348                     0.041200526
               18.986174                     0.042553876
                  19.025                     0.043909781
               19.063826                     0.045267135
               19.102654                     0.046624813
               19.141479                     0.047981653
               19.180305                     0.049336463
               19.219133                     0.050688028
               19.257959                     0.052035101
               19.296785                     0.053376403
               19.335611                     0.054710638
               19.374439                     0.056036476
               19.413265                     0.057352562
               19.452091                     0.058657516
               19.490919                     0.059949931
               19.529745                     0.061228383
               19.568571                     0.062491421
               19.607397                     0.063737564
               19.646225                     0.064965323
               19.685051                     0.066173173
               19.723877                     0.067359582
               19.762705                     0.068522997
               19.801531                     0.069661833
               19.840357                     0.070774511
               19.879183                     0.071859419
               19.918011                     0.072914943
               19.956837                     0.073939435
               19.995663                     0.074931249
               20.034491                     0.075888738
               20.073317                     0.076810226
               20.112143                     0.077694036
               20.150969                     0.078538485
               20.189796                     0.079341888
               20.228622                     0.080102541
               20.267448                      0.08081875
               20.306274                     0.081488825
               20.345102                     0.082111061
               20.383928                     0.082683757
               20.422754                     0.083205223
               20.461582                     0.083673775
               20.500408                     0.084087729
               20.539234                     0.084445417
                20.57806                     0.084745161
               20.616888                     0.084985323
               20.655714                     0.085164264
                20.69454                     0.085280351
               20.733368                     0.085331991
               20.772194                     0.085317589
                20.81102                     0.085235588
               20.849846                     0.085084446
               20.888674                     0.084862635
                 20.9275                     0.084568679
               20.966326                     0.084201105
               21.005154                     0.083758488
                21.04398                     0.083239421
               21.082806                     0.082642555
               21.121632                     0.081966557
                21.16046                     0.081210129
               21.199286                     0.080372036
               21.238111                     0.079451069
               21.276939                     0.078446068
               21.315765                     0.077355914
               21.354591                     0.076179557
               21.393417                     0.074915968
               21.432245                     0.073564194
               21.471071                     0.072123326
               21.509897                     0.070592523
               21.548725                     0.068970978
               21.587551                     0.067257978
               21.626377                     0.065452844
               21.665203                     0.063554987
               21.704031                     0.061563857
               21.742857                     0.059478991
               21.781683                     0.057299998
               21.820511                     0.055026542
               21.859337                     0.052658383
               21.898163                     0.050195336
               21.936989                      0.04763731
               21.975817                     0.044984281
               22.014643                     0.042236306
               22.053469                     0.039393537
               22.092297                     0.036456198
               22.131123                     0.033424597
               22.169949                     0.030299136
               22.208775                     0.027080305
               22.247602                     0.023768678
               22.286428                     0.020364922
               22.325254                     0.016869796
               22.364082                     0.013284152
               22.402908                    0.0096089374
               22.441734                    0.0058451933
                22.48056                    0.0019940569
               22.519388                   -0.0019432367
               22.558214                   -0.0059653553
                22.59704                    -0.010070868
               22.635868                    -0.014258245
               22.674694                    -0.018525856
                22.71352                    -0.022871971
               22.752346                    -0.027294759
               22.791174                    -0.031792287
                   22.83                    -0.036362525
               22.868826                    -0.041003339
               22.907654                    -0.045712493
                22.94648                    -0.050487649
               22.985306                    -0.055326372
               23.024132                     -0.06022612
                23.06296                    -0.065184258
               23.101786                    -0.070198044
               23.140612                     -0.07526464
                23.17944                    -0.080381103
               23.218266                    -0.085544407
               23.257092                    -0.090751424
               23.295918                    -0.095998913
               23.334745                     -0.10128355
               23.373571                     -0.10660192
               23.412397                     -0.11195052
               23.451223                     -0.11732574
               23.490051                     -0.12272389
               23.528877                     -0.12814119
               23.567703                     -0.13357379
               23.606531                      -0.1390177
               23.645357                     -0.14446892
               23.684183                     -0.14992332
               23.723009                     -0.15537673
               23.761837                     -0.16082487
               23.800663                     -0.16626339
               23.839489                     -0.17168789
               23.878317                     -0.17709388
               23.917143                      -0.1824768
               23.955969                     -0.18783209
               23.994795                     -0.19315502
               24.033623                     -0.19844091
               24.072449                     -0.20368494
               24.111275                     -0.20888232
               24.150103                     -0.21402815
               24.188929                     -0.21911751
               24.227755                     -0.22414544
               24.266581                     -0.22910693
               24.305408                     -0.23399699
               24.344234                     -0.23881051
                24.38306                     -0.24354245
               24.421888                     -0.24818766
               24.460714                     -0.25274107
                24.49954                      -0.2571975
               24.538366                     -0.26155183
               24.577194                      -0.2657989
                24.61602                     -0.26993355
               24.654846                      -0.2739507
               24.693674                     -0.27784517
                 24.7325                     -0.28161183
               24.771326                     -0.28524563
               24.810152                     -0.28874144
                24.84898                     -0.29209423
               24.887806                     -0.29529902
               24.926632                     -0.29835078
                24.96546                     -0.30124462
               25.004286                     -0.30397564
               25.043112                       -0.306539
               25.081938                     -0.30892992
               25.120766                      -0.3111437
               25.159592                     -0.31317568
               25.198418                     -0.31502131
               25.237246                     -0.31667608
               25.276072                     -0.31813559
               25.314898                     -0.31939551
               25.353724                     -0.32045162
               25.392551                     -0.32129979
               25.431377                     -0.32193598
               25.470203                     -0.32235631
               25.509031                     -0.32255691
               25.547857                     -0.32253414
               25.586683                     -0.32228446
               25.625509                     -0.32180437
               25.664337                     -0.32109061
               25.703163                        -0.32014
               25.741989                     -0.31894955
