        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -7.3168394e-08
              0.14754081                   1.4715922e-06
              0.29508162                   1.6143335e-06
              0.44262245                   1.7726622e-06
              0.59016323                   1.9207812e-06
              0.73770404                    2.056182e-06
              0.88524491                   2.1803205e-06
               1.0327857                   2.2816832e-06
               1.1803265                    2.351909e-06
               1.3278673                   2.3891266e-06
               1.4754081                   2.3787857e-06
               1.6229489                   2.3115913e-06
               1.7704898                   2.1740907e-06
               1.9180306                   1.9546349e-06
               2.0655713                   1.6378872e-06
               2.2131121                   1.2114117e-06
               2.3606529                   6.5621259e-07
                2.508194                  -4.0722053e-08
               2.6557345                  -9.0088366e-07
               2.8032753                  -1.9393865e-06
               2.9508162                  -3.1753502e-06
               3.0983572                  -4.6233281e-06
               3.2458978                  -6.3013804e-06
               3.3934386                  -8.2236775e-06
               3.5409796                  -1.0401985e-05
               3.6885204                  -1.2848559e-05
               3.8360612                  -1.5566962e-05
               3.9836018                  -1.8561535e-05
               4.1311426                  -2.1825526e-05
               4.2786837                  -2.5352001e-05
               4.4262242                  -2.9122042e-05
               4.5737648                  -3.3109958e-05
               4.7213058                  -3.7278805e-05
               4.8688469                  -4.1583222e-05
               5.0163879                  -4.5962763e-05
               5.1639285                  -5.0344272e-05
               5.3114691                  -5.4641165e-05
               5.4590101                  -5.8748523e-05
               5.6065507                   -6.254718e-05
               5.7540913                  -6.5898341e-05
               5.9016323                  -6.8645575e-05
               6.0491734                  -7.0614515e-05
               6.1967144                  -7.1609946e-05
                6.344255                  -7.1420589e-05
               6.4917955                  -6.9815069e-05
               6.6393366                  -6.6546658e-05
               6.7868772                  -6.1352788e-05
               6.9344177                  -5.3958469e-05
               7.0819592                   -4.407949e-05
               7.2294998                  -3.1425545e-05
               7.3770409                  -1.5701477e-05
                7.524581                   3.3795425e-06
               7.6721225                   2.6097525e-05
                7.819663                   5.2715426e-05
               7.9672036                   8.3470935e-05
               8.1147442                   0.00011856941
               8.2622852                   0.00015817238
               8.4098263                   0.00020238891
               8.5573673                   0.00025126251
               8.7049084                    0.0003047605
               8.8524485                   0.00036276158
               8.9999895                   0.00042504194
               9.1475296                   0.00049126375
               9.2950716                   0.00056095957
               9.4426117                   0.00063352322
