        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -7.3168394e-08
             0.038826529                   1.3639195e-06
             0.077653058                   1.3967187e-06
              0.11647959                   1.4345324e-06
              0.15530612                   1.4747509e-06
              0.19413266                   1.5117117e-06
              0.23295918                   1.5578331e-06
              0.27178571                   1.5914798e-06
              0.31061223                   1.6407363e-06
              0.34943876                   1.6756758e-06
              0.38826531                   1.7157256e-06
              0.42709184                    1.757742e-06
              0.46591836                    1.799649e-06
              0.50474483                   1.8336053e-06
              0.54357141                   1.8749056e-06
              0.58239794                   1.9105514e-06
              0.62122446                   1.9478209e-06
              0.66005099                    1.984891e-06
              0.69887751                   2.0191603e-06
              0.73770404                    2.056182e-06
              0.77653062                   2.0905802e-06
              0.81535709                   2.1230101e-06
              0.85418367                   2.1562109e-06
              0.89301014                   2.1860851e-06
              0.93183672                   2.2148588e-06
              0.97066319                   2.2408856e-06
               1.0094897                   2.2661391e-06
               1.0483164                   2.2894767e-06
               1.0871428                   2.3107691e-06
               1.1259693                    2.330768e-06
               1.1647959                   2.3478408e-06
               1.2036225                    2.362123e-06
               1.2424489                   2.3731366e-06
               1.2812755                   2.3818761e-06
                1.320102                   2.3883524e-06
               1.3589286                   2.3917887e-06
                1.397755                   2.3925629e-06
               1.4365816                   2.3872415e-06
               1.4754081                   2.3787857e-06
               1.5142347                   2.3665048e-06
               1.5530612                   2.3495661e-06
               1.5918877                   2.3305495e-06
               1.6307142                   2.3053772e-06
               1.6695408                   2.2758238e-06
               1.7083673                   2.2409913e-06
               1.7471938                   2.1996786e-06
               1.7860203                   2.1544893e-06
                1.824847                   2.1025444e-06
               1.8636734                    2.045241e-06
               1.9024999                   1.9815373e-06
               1.9413264                   1.9113259e-06
                1.980153                   1.8332639e-06
               2.0189793                   1.7486464e-06
               2.0578063                   1.6574204e-06
               2.0966327                   1.5574178e-06
               2.1354592                   1.4503501e-06
               2.1742857                   1.3356255e-06
               2.2131121                   1.2114116e-06
               2.2519386                   1.0792039e-06
               2.2907653                   9.3617484e-07
               2.3295918                   7.8473101e-07
               2.3684185                    6.232512e-07
               2.4072449                   4.5148718e-07
               2.4460714                   2.7083823e-07
               2.4848979                   7.8796518e-08
               2.5237243                   -1.229845e-07
