        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.11917853                               0
              0.23835705                               0
              0.35753557                               0
               0.4767141                               0
              0.59589267                               0
              0.71507114                               0
              0.83424973                               0
              0.95342821                               0
               1.0726068                               0
               1.1917853                               0
               1.3109639                               0
               1.4301423                               0
               1.5493209                               0
               1.6684995                               0
                1.787678                               0
               1.9068564                               0
               2.0260351                               0
               2.1452136                               0
               2.2643919                               0
               2.3835707                               0
               2.5027492                               0
               2.6219277                               0
               2.7411063                               0
               2.8602846                               0
               2.9794633                               0
               3.0986419                               0
               3.2178204                               0
               3.3369989                               0
               3.4561772                               0
                3.575356                               0
               3.6945345                               0
               3.8137128                               0
               3.9328914                               0
               4.0520701                               0
               4.1712489                               0
               4.2904272                               0
               4.4096055                               0
               4.5287838                               0
                4.647963                               0
               4.7671413                               0
               4.8863196                               0
               5.0054984                               0
               5.1246767                               0
               5.2438555                               0
               5.3630342                               0
               5.4822125                               0
               5.6013908                  -1.7895981e-36
               5.7205691                  -9.1707742e-35
               5.8397484                   -2.176779e-33
               5.9589267                  -4.3968552e-32
                6.078105                  -7.9417282e-31
               6.1972837                  -1.2922436e-29
                6.316462                  -1.9012513e-28
               6.4356408                  -2.5375618e-27
               6.5548196                  -3.0816848e-26
               6.6739979                  -3.4148558e-25
               6.7931762                  -3.4617666e-24
               6.9123545                  -3.2181612e-23
               7.0315337                  -2.7495627e-22
                7.150712                  -2.1634543e-21
               7.2698903                   -1.570603e-20
               7.3890691                  -1.0537884e-19
               7.5082474                  -6.5444436e-19
               7.6274257                  -3.7672353e-18
               7.7466044                  -2.0125187e-17
               7.8657827                  -9.9885507e-17
                7.984962                  -4.6103532e-16
               8.1041403                  -1.9806491e-15
               8.2233191                  -7.9258457e-15
               8.3424978                  -2.9561314e-14
               8.4616756                  -1.0281798e-13
               8.5808544                   -3.336256e-13
               8.7000322                  -1.0102302e-12
                8.819211                  -2.8550964e-12
               8.9383898                  -7.5312517e-12
               9.0575676                  -1.8539408e-11
               9.1767473                  -4.2575953e-11
               9.2959261                  -9.1167816e-11
               9.4151039                  -1.8188503e-10
               9.5342827                  -3.3774719e-10
               9.6534615                  -5.8300731e-10
               9.7726393                  -9.3408214e-10
                9.891818                  -1.3867332e-09
               10.010997                  -1.9045008e-09
               10.130175                  -2.4168885e-09
               10.249353                  -2.8352691e-09
               10.368532                  -3.0869101e-09
               10.487711                  -3.1542169e-09
                10.60689                  -3.0952017e-09
               10.726068                  -3.0237937e-09
               10.845246                  -3.0504494e-09
               10.964425                  -3.2147915e-09
               11.083603                  -3.4584611e-09
               11.202782                  -3.6668668e-09
                11.32196                  -3.7579899e-09
               11.441138                  -3.7522287e-09
               11.560317                  -3.7627919e-09
               11.679497                  -3.9081089e-09
               11.798675                  -4.2176258e-09
               11.917853                  -4.6133009e-09
               12.037032                  -4.9819535e-09
                12.15621                  -5.2676898e-09
               12.275389                  -5.4956333e-09
               12.394567                  -5.7111764e-09
               12.513745                  -5.9082654e-09
               12.632924                  -6.0273866e-09
               12.752103                  -6.0187175e-09
               12.871282                  -5.8861884e-09
                12.99046                  -5.6512808e-09
               13.109639                  -5.2783302e-09
               13.228817                  -4.6605635e-09
               13.347996                  -3.6999579e-09
               13.467174                  -2.3973736e-09
               13.586352                  -8.4663221e-10
               13.705531                   8.6622121e-10
               13.824709                    2.745979e-09
               13.943888                   4.8644422e-09
               14.063067                   7.2713351e-09
               14.182245                   9.9565893e-09
               14.301424                   1.2906026e-08
               14.420603                   1.6167432e-08
               14.539781                   1.9832159e-08
               14.658959                   2.3952325e-08
               14.778138                   2.8500832e-08
               14.897316                   3.3425057e-08
               15.016495                   3.8722519e-08
               15.135674                   4.4442348e-08
               15.254851                   5.0618898e-08
               15.374031                   5.7230352e-08
               15.493209                   6.4232097e-08
               15.612388                    7.160974e-08
               15.731565                   7.9376647e-08
               15.850744                   8.7526608e-08
               15.969924                   9.6013942e-08
               16.089102                   1.0478584e-07
               16.208281                   1.1381153e-07
               16.327459                   1.2306104e-07
               16.446638                   1.3246654e-07
               16.565815                   1.4192824e-07
               16.684996                   1.5135966e-07
               16.804173                    1.607047e-07
               16.923351                    1.698984e-07
                17.04253                   1.7882624e-07
               17.161709                   1.8734048e-07
               17.280888                   1.9530951e-07
               17.400064                   2.0262695e-07
