        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.049621958                               0
             0.099243917                               0
              0.14886588                               0
              0.19848783                               0
              0.24810982                               0
              0.29773176                               0
               0.3473537                               0
              0.39697567                               0
              0.44659764                               0
              0.49621964                               0
              0.54584152                               0
              0.59546351                               0
              0.64508551                               0
              0.69470739                               0
              0.74432939                               0
              0.79395133                               0
              0.84357333                               0
              0.89319527                               0
              0.94281727                               0
              0.99243927                               0
               1.0420611                               0
                1.091683                               0
               1.1413051                               0
                1.190927                               0
                1.240549                               0
                1.290171                               0
                1.339793                               0
               1.3894148                               0
               1.4390367                               0
               1.4886588                               0
               1.5382807                               0
               1.5879027                               0
               1.6375247                               0
               1.6871467                               0
               1.7367686                   -1.016871e-36
               1.7863905                  -3.1448179e-35
               1.8360125                  -5.2951011e-34
               1.8856345                   -7.489533e-33
               1.9352564                  -9.2813807e-32
               1.9848785                  -1.0214736e-30
               2.0345004                  -1.0079424e-29
               2.0841222                  -8.9900442e-29
               2.1337442                  -7.2993669e-28
               2.1833661                  -5.4289835e-27
               2.2329884                  -3.7193288e-26
               2.2826102                  -2.3586372e-25
               2.3322322                   -1.390652e-24
               2.3818541                  -7.6533321e-24
               2.4314759                  -3.9454919e-23
               2.4810979                  -1.9114651e-22
               2.5307198                  -8.7279904e-22
               2.5803421                  -3.7661804e-21
               2.6299639                  -1.5395229e-20
               2.6795859                  -5.9750784e-20
               2.7292078                  -2.2063435e-19
               2.7788296                  -7.7662116e-19
               2.8284516                  -2.6105262e-18
               2.8780735                  -8.3937218e-18
               2.9276958                  -2.5856347e-17
               2.9773176                  -7.6419246e-17
               3.0269396                  -2.1700018e-16
               3.0765615                  -5.9279304e-16
               3.1261835                  -1.5597809e-15
               3.1758053                  -3.9577055e-15
               3.2254272                  -9.6943022e-15
               3.2750494                  -2.2947239e-14
               3.3246713                  -5.2542145e-14
               3.3742933                  -1.1647902e-13
               3.4239151                  -2.5022278e-13
               3.4735372                   -5.213152e-13
                3.523159                  -1.0541516e-12
               3.5727811                  -2.0703792e-12
               3.6224031                  -3.9521854e-12
                3.672025                  -7.3374223e-12
                3.721647                  -1.3256517e-11
               3.7712691                  -2.3320594e-11
               3.8208907                  -3.9967099e-11
               3.8705127                  -6.6762429e-11
               3.9201348                  -1.0874956e-10
               3.9697571                  -1.7281238e-10
               4.0193787                  -2.6800806e-10
               4.0690007                  -4.0579723e-10
               4.1186228                  -6.0008293e-10
               4.1682444                  -8.6695939e-10
               4.2178664                  -1.2240803e-09
               4.2674885                   -1.689582e-09
               4.3171105                   -2.280556e-09
               4.3667321                  -3.0111453e-09
               4.4163542                  -3.8904329e-09
               4.4659767                  -4.9203943e-09
               4.5155983                  -6.0942598e-09
               4.5652204                   -7.395665e-09
               4.6148424                  -8.7989296e-09
               4.6644645                  -1.0270687e-08
               4.7140861                  -1.1772901e-08
               4.7637081                  -1.3267035e-08
               4.8133302                  -1.4718902e-08
               4.8629518                  -1.6103479e-08
               4.9125738                  -1.7408912e-08
               4.9621959                  -1.8638861e-08
               5.0118179                  -1.9812685e-08
               5.0614395                   -2.096319e-08
               5.1110616                  -2.2132204e-08
               5.1606841                  -2.3364583e-08
               5.2103057                   -2.470173e-08
               5.2599277                  -2.6175725e-08
               5.3095498                  -2.7805164e-08
               5.3591719                  -2.9593378e-08
               5.4087934                  -3.1529318e-08
               5.4584155                  -3.3590641e-08
               5.5080376                  -3.5748265e-08
               5.5576591                  -3.7971152e-08
               5.6072812                  -4.0230304e-08
               5.6569033                  -4.2501139e-08
               5.7065253                  -4.4763901e-08
               5.7561469                  -4.7002469e-08
                5.805769                  -4.9202207e-08
               5.8553915                  -5.1347914e-08
               5.9050136                  -5.3422724e-08
               5.9546351                  -5.5408499e-08
               6.0042572                  -5.7287654e-08
               6.0538793                  -5.9045913e-08
               6.1035008                  -6.0674964e-08
               6.1531229                   -6.217401e-08
                6.202745                  -6.3549535e-08
                6.252367                  -6.4812895e-08
               6.3019886                  -6.5976366e-08
               6.3516107                   -6.704839e-08
               6.4012327                  -6.8029479e-08
               6.4508543                  -6.8909713e-08
               6.5004768                  -6.9668594e-08
               6.5500989                  -7.0277331e-08
                6.599721                  -7.0702669e-08
               6.6493425                  -7.0911305e-08
               6.6989646                  -7.0873398e-08
               6.7485867                  -7.0564305e-08
