        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.12722234                               0
              0.25444469                               0
              0.38166705                               0
              0.50888938                               0
               0.6361118                               0
               0.7633341                               0
              0.89055645                               0
               1.0177788                               0
               1.1450012                               0
               1.2722236                               0
               1.3994459                               0
               1.5266682                               0
               1.6538906                               0
               1.7811129                               0
               1.9083352                               0
               2.0355575                               0
                 2.16278                               0
               2.2900023                               0
               2.4172246                               0
               2.5444472                               0
               2.6716692                               0
               2.7988918                               0
               2.9261141                               0
               3.0533364                               0
               3.1805587                               0
               3.3077812                               0
               3.4350033                               0
               3.5622258                               0
               3.6894481                               0
               3.8166704                               0
               3.9438927                               0
                4.071115                               0
               4.1983376                               0
               4.3255601                               0
               4.4527822                               0
               4.5800047                               0
               4.7072272                               0
               4.8344493                               0
               4.9616714                               0
               5.0888944                               0
               5.2161164                               0
               5.3433385                               0
                5.470561                               0
               5.5977836                               0
               5.7250056                               0
               5.8522282                               0
               5.9794502                               0
               6.1066728                               0
               6.2338953                               0
               6.3611174                               0
               6.4883399                               0
               6.6155624                               0
               6.7427845                  -5.2593525e-36
               6.8700066                  -2.9777963e-34
               6.9972296                  -8.5863654e-33
               7.1244516                  -2.1185015e-31
               7.2516737                  -4.6364522e-30
               7.3788962                  -9.0483042e-29
               7.5061183                  -1.5799433e-27
               7.6333408                  -2.4759117e-26
               7.7605639                  -3.4919475e-25
               7.8877854                  -4.4438751e-24
                8.015008                  -5.1150852e-23
                 8.14223                  -5.3370078e-22
                8.269453                  -5.0580693e-21
               8.3966751                  -4.3625486e-20
               8.5238972                  -3.4303333e-19
               8.6511202                  -2.4631739e-18
               8.7783422                  -1.6176774e-17
               8.9055643                  -9.7309971e-17
               9.0327873                  -5.3687913e-16
               9.1600094                  -2.7201216e-15
               9.2872314                  -1.2670192e-14
               9.4144545                  -5.4312471e-14
               9.5416756                  -2.1444748e-13
               9.6688986                  -7.8049774e-13
               9.7961216                  -2.6200717e-12
               9.9233427                  -8.1159801e-12
               10.050566                  -2.3205049e-11
               10.177789                  -6.1248763e-11
                10.30501                  -1.4923879e-10
               10.432233                  -3.3564546e-10
               10.559456                  -6.9664685e-10
               10.686677                  -1.3341822e-09
                 10.8139                  -2.3579096e-09
               10.941122                   -3.847938e-09
               11.068344                  -5.8084657e-09
               11.195567                  -8.1389446e-09
               11.322789                  -1.0653999e-08
               11.450011                  -1.3160089e-08
               11.577234                  -1.5549324e-08
               11.704456                  -1.7835029e-08
               11.831678                  -2.0078653e-08
                 11.9589                  -2.2250525e-08
               12.086123                  -2.4154328e-08
               12.213346                  -2.5519464e-08
               12.340568                  -2.6208195e-08
               12.467791                  -2.6336679e-08
               12.595013                  -2.6157174e-08
               12.722235                   -2.579262e-08
               12.849458                  -2.5099204e-08
                12.97668                  -2.3810919e-08
               13.103902                   -2.179303e-08
               13.231125                  -1.9093809e-08
               13.358346                  -1.5738145e-08
               13.485569                  -1.1545181e-08
               13.612792                  -6.2173524e-09
               13.740013                    4.292586e-10
               13.867236                    8.419903e-09
               13.994459                   1.7814981e-08
                14.12168                   2.8845962e-08
               14.248903                    4.178775e-08
               14.376126                    5.675756e-08
               14.503347                   7.3731989e-08
                14.63057                   9.2738354e-08
               14.757792                    1.139303e-07
               14.885015                   1.3746403e-07
               15.012237                   1.6339126e-07
                15.13946                   1.9171252e-07
               15.266682                   2.2245693e-07
               15.393905                   2.5564171e-07
               15.521128                   2.9118999e-07
               15.648349                   3.2894141e-07
               15.775571                   3.6871185e-07
               15.902794                   4.1029148e-07
               16.030016                   4.5340394e-07
                16.15724                   4.9770864e-07
                16.28446                    5.428098e-07
               16.411682                   5.8820638e-07
               16.538906                    6.332404e-07
               16.666128                   6.7713376e-07
                16.79335                   7.1905663e-07
               16.920574                   7.5810874e-07
               17.047794                   7.9324377e-07
               17.175016                   8.2325738e-07
                17.30224                    8.468453e-07
               17.429462                   8.6262452e-07
               17.556684                   8.6908443e-07
               17.683907                    8.645498e-07
               17.811129                   8.4720187e-07
               17.938351                   8.1511956e-07
               18.065575                   7.6629152e-07
               18.192797                   6.9860516e-07
               18.320019                   6.0984399e-07
               18.447241                   4.9772484e-07
               18.574463                   3.5996499e-07
               18.701685                   1.9432568e-07
               18.828909                  -1.3981146e-09
               18.956131                  -2.2939284e-07
