        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.023882817                               0
             0.047765635                               0
             0.071648449                               0
              0.09553127                               0
              0.11941409                               0
               0.1432969                               0
              0.16717973                               0
              0.19106254                               0
              0.21494535                               0
              0.23882818                               0
              0.26271099                               0
              0.28659379                               0
              0.31047663                               0
              0.33435947                               0
              0.35824227                               0
              0.38212508                               0
              0.40600789                               0
              0.42989069                               0
              0.45377356                               0
              0.47765636                               0
              0.50153917                               0
              0.52542198                               0
              0.54930484                               0
              0.57318759                               0
              0.59707046                               0
              0.62095326                               0
              0.64483607                               0
              0.66871893                               0
              0.69260168                               0
              0.71648455                               0
              0.74036729                               0
              0.76425016                               0
              0.78813303                               0
              0.81201577                               0
              0.83589864                               0
              0.85978138                               0
              0.88366425                               0
              0.90754712                               0
              0.93142992                               0
              0.95531273                               0
              0.97919548                               0
               1.0030783                               0
               1.0269612                               0
                1.050844                               0
               1.0747267                               0
               1.0986097                               0
               1.1224924                               0
               1.1463752                               0
               1.1702582                               0
               1.1941409                               0
               1.2180237                               0
               1.2419065                               0
               1.2657894                               0
               1.2896721                               0
               1.3135549                               0
               1.3374379                               0
               1.3613206                               0
               1.3852034                               0
               1.4090863                               0
               1.4329691                               0
               1.4568518                               0
               1.4807346                               0
               1.5046176                               0
               1.5285003                               0
               1.5523831                               0
               1.5762661                               0
               1.6001488                               0
               1.6240315                               0
               1.6479144                               0
               1.6717973                               0
                 1.69568                               0
               1.7195628                   -3.870937e-37
               1.7434458                  -3.7597718e-36
               1.7673285                  -1.7460224e-35
               1.7912112                  -7.0663798e-35
               1.8150942                  -2.6986999e-34
                1.838977                  -9.8726308e-34
               1.8628598                  -3.4919224e-33
               1.8867426                  -1.1980973e-32
               1.9106255                  -3.9945423e-32
               1.9345083                  -1.2958825e-31
                1.958391                  -4.0951473e-31
               1.9822739                    -1.26186e-30
               2.0061567                  -3.7948185e-30
               2.0300395                  -1.1147647e-29
               2.0539224                  -3.2013891e-29
                2.077805                  -8.9946983e-29
               2.1016879                  -2.4742215e-28
               2.1255708                  -6.6678738e-28
               2.1494534                  -1.7616096e-27
               2.1733365                  -4.5652767e-27
               2.1972194                  -1.1612006e-26
                2.221102                  -2.9004428e-26
               2.2449849                  -7.1180423e-26
               2.2688677                  -1.7171447e-25
               2.2927504                  -4.0738347e-25
               2.3166332                  -9.5091207e-25
               2.3405163                  -2.1847353e-24
                2.364399                  -4.9425488e-24
               2.3882818                  -1.1014405e-23
               2.4121644                  -2.4187203e-23
               2.4360473                  -5.2356935e-23
               2.4599302                  -1.1175564e-22
                2.483813                  -2.3529247e-22
               2.5076959                  -4.8878816e-22
               2.5315788                  -1.0021496e-21
               2.5554614                  -2.0284472e-21
               2.5793443                   -4.054427e-21
               2.6032271                  -8.0046187e-21
               2.6271098                  -1.5613621e-20
               2.6509929                  -3.0096841e-20
               2.6748757                  -5.7344445e-20
               2.6987584                   -1.080215e-19
               2.7226412                  -2.0121913e-19
               2.7465241                  -3.7072966e-19
               2.7704067                  -6.7570988e-19
               2.7942896                  -1.2185995e-18
               2.8181727                  -2.1749031e-18
               2.8420553                  -3.8421539e-18
               2.8659382                  -6.7195632e-18
               2.8898208                   -1.163622e-17
               2.9137037                  -1.9955302e-17
               2.9375865                  -3.3896052e-17
               2.9614692                   -5.703628e-17
               2.9853523                  -9.5088852e-17
               3.0092351                  -1.5708966e-16
               3.0331178                  -2.5719732e-16
               3.0570006                  -4.1739375e-16
               3.0808835                  -6.7149717e-16
               3.1047661                  -1.0710696e-15
               3.1286492                  -1.6940312e-15
               3.1525321                  -2.6571059e-15
               3.1764147                  -4.1336347e-15
               3.2002976                  -6.3788416e-15
               3.2241805                  -9.7653387e-15
               3.2480631                  -1.4832577e-14
                3.271946                  -2.2355092e-14
               3.2958288                   -3.343584e-14
               3.3197117                  -4.9632732e-14
               3.3435946                  -7.3128617e-14
               3.3674772                   -1.069576e-13
                 3.39136                  -1.5530369e-13
               3.4152429                  -2.2389135e-13
               3.4391255                  -3.2049173e-13
               3.4630086                   -4.555727e-13
               3.4868915                  -6.4312645e-13
               3.5107741                  -9.0171257e-13
                3.534657                  -1.2557621e-12
               3.5585399                  -1.7371904e-12
               3.5824225                  -2.3873755e-12
               3.6063054                  -3.2595573e-12
               3.6301885                  -4.4217247e-12
