        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.043790221                               0
             0.087580442                               0
              0.13137066                   4.5749308e-34
              0.17516088                   2.7020181e-31
              0.21895112                   3.4720692e-29
              0.26274133                   1.7445176e-27
              0.30653155                   4.6188053e-26
              0.35032177                   7.6670895e-25
              0.39411202                   8.9115573e-24
              0.43790224                    7.815452e-23
              0.48169246                   5.4531387e-22
              0.52548265                   3.1475123e-21
              0.56927294                   1.5479656e-20
               0.6130631                   6.6376895e-20
              0.65685338                   2.5273769e-19
              0.70064354                   8.6724542e-19
              0.74443382                    2.714644e-18
              0.78822404                   7.8304168e-18
              0.83201426                   2.0992946e-17
              0.87580448                   5.2692322e-17
              0.91959471                   1.2460463e-16
              0.96338493                   2.7912584e-16
               1.0071751                   5.9512937e-16
               1.0509653                    1.212783e-15
               1.0947556                   2.3709217e-15
               1.1385459                   4.4610121e-15
                1.182336                   8.1020412e-15
               1.2261262                    1.424055e-14
               1.2699165                   2.4279405e-14
               1.3137068                   4.0237545e-14
               1.3574969                   6.4940939e-14
               1.4012871                   1.0224208e-13
               1.4450774                   1.5726175e-13
               1.4888676                   2.3664263e-13
               1.5326577                   3.4879995e-13
               1.5764481                   5.0414946e-13
               1.6202383                   7.1528899e-13
               1.6640285                   9.9710691e-13
               1.7078186                   1.3667874e-12
                1.751609                   1.8436854e-12
               1.7953992                   2.4490366e-12
               1.8391894                   3.2054914e-12
               1.8829795                   4.1364408e-12
               1.9267699                   5.2651377e-12
                 1.97056                   6.6136163e-12
               2.0143502                   8.2014161e-12
               2.0581405                   1.0044177e-11
               2.1019306                   1.2152091e-11
                2.145721                   1.4528352e-11
               2.1895113                   1.7167625e-11
               2.2333014                   2.0054644e-11
               2.2770917                   2.3163031e-11
               2.3208818                    2.645446e-11
               2.3646719                   2.9878187e-11
               2.4084623                   3.3371111e-11
               2.4522524                   3.6858516e-11
               2.4960427                   4.0255174e-11
               2.5398331                   4.3467369e-11
               2.5836232                   4.6395436e-11
               2.6274135                   4.8936709e-11
               2.6712036                   5.0989352e-11
               2.7149937                   5.2456116e-11
               2.7587841                   5.3249041e-11
               2.8025742                   5.3292835e-11
               2.8463645                   5.2530001e-11
               2.8901548                   5.0923606e-11
               2.9339449                   4.8461346e-11
               2.9777353                   4.5156896e-11
               3.0215254                   4.1052099e-11
               3.0653155                    3.621697e-11
               3.1091058                   3.0748255e-11
               3.1528962                   2.4768753e-11
               3.1966863                    1.842145e-11
               3.2404766                   1.1869042e-11
               3.2842667                   5.2842362e-12
               3.3280571                  -1.1542683e-12
               3.3718472                  -7.2683435e-12
               3.4156373                  -1.2886589e-11
               3.4594276                  -1.7850874e-11
               3.5032179                  -2.2022289e-11
                3.547008                  -2.5284188e-11
               3.5907984                   -2.754702e-11
               3.6345887                  -2.8744503e-11
               3.6783788                  -2.8836602e-11
               3.7221689                   -2.780084e-11
                3.765959                  -2.5626255e-11
               3.8097494                  -2.2302627e-11
               3.8535397                  -1.7808172e-11
                 3.89733                  -1.2089696e-11
               3.9411199                  -5.0473284e-12
               3.9849102                   3.4927571e-12
               4.0287004                   1.3796229e-11
               4.0724907                   2.6246765e-11
                4.116281                   4.1369332e-11
               4.1600714                   5.9857778e-11
               4.2038612                   8.2594376e-11
               4.2476516                   1.1067396e-10
               4.2914419                   1.4541866e-10
               4.3352323                   1.8839171e-10
               4.3790226                   2.4140551e-10
               4.4228125                   3.0652583e-10
               4.4666028                    3.860699e-10
               4.5103931                   4.8259347e-10
               4.5541835                   5.9887589e-10
               4.5979733                   7.3789586e-10
               4.6417637                   9.0279834e-10
               4.6855536                   1.0968606e-09
               4.7293439                   1.3234449e-09
               4.7731342                   1.5859521e-09
               4.8169246                   1.8877691e-09
               4.8607149                   2.2322102e-09
               4.9045048                   2.6224605e-09
               4.9482951                   3.0615166e-09
               4.9920855                    3.552131e-09
               5.0358758                   4.0967594e-09
               5.0796661                   4.6975051e-09
               5.1234565                   5.3560809e-09
               5.1672463                   6.0737686e-09
               5.2110367                    6.851395e-09
                5.254827                   7.6893052e-09
               5.2986169                   8.5873584e-09
               5.3424072                   9.5449231e-09
               5.3861971                   1.0560894e-08
               5.4299874                   1.1633706e-08
               5.4737778                   1.2761363e-08
               5.5175681                   1.3941476e-08
               5.5613585                    1.517131e-08
