        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.049648296                               0
             0.099296592                               0
              0.14894488                               0
              0.19859318                               0
              0.24824148                               0
              0.29788977                               0
              0.34753808                               0
              0.39718637                               0
              0.44683465                               0
              0.49648297                               0
              0.54613125                               0
              0.59577954                               0
              0.64542782                               0
              0.69507617                               0
              0.74472445                               0
              0.79437274                               0
              0.84402102                  -3.8660215e-36
              0.89366931                   -2.059192e-34
              0.94331765                  -6.9240482e-33
              0.99296594                  -1.6624557e-31
               1.0426142                  -3.0354715e-30
               1.0922625                  -4.4074064e-29
               1.1419108                  -5.2604167e-28
               1.1915591                    -5.29421e-27
               1.2412074                    -4.58419e-26
               1.2908556                  -3.4710398e-25
               1.3405041                  -2.3291412e-24
               1.3901523                  -1.4006243e-23
               1.4398006                  -7.6198214e-23
               1.4894489                  -3.7808043e-22
               1.5390972                  -1.7229934e-21
               1.5887455                   -7.256013e-21
               1.6383938                  -2.8389653e-20
                1.688042                  -1.0368865e-19
               1.7376903                  -3.5501219e-19
               1.7873386                   -1.143749e-18
               1.8369869                   -3.479024e-18
               1.8866353                   -1.002163e-17
               1.9362836                  -2.7413045e-17
               1.9859319                  -7.1380823e-17
               2.0355802                  -1.7732694e-16
               2.0852284                  -4.2112077e-16
               2.1348767                  -9.5777223e-16
                2.184525                  -2.0895305e-15
               2.2341733                  -4.3792688e-15
               2.2838216                  -8.8285609e-15
               2.3334699                  -1.7140355e-14
               2.3831182                  -3.2080285e-14
               2.4327664                  -5.7934126e-14
               2.4824147                  -1.0102808e-13
                2.532063                  -1.7023122e-13
               2.5817113                  -2.7729883e-13
               2.6313596                  -4.3685053e-13
               2.6810081                  -6.6572908e-13
               2.7306564                  -9.8147673e-13
               2.7803047                  -1.3997342e-12
                2.829953                  -1.9305308e-12
               2.8796012                  -2.5737051e-12
               2.9292495                  -3.3140532e-12
               2.9788978                  -4.1171797e-12
               3.0285461                  -4.9273311e-12
               3.0781944                  -5.6685793e-12
               3.1278427                  -6.2505218e-12
               3.1774909                  -6.5790255e-12
               3.2271392                  -6.5716274e-12
               3.2767875                  -6.1760558e-12
               3.3264358                  -5.3893808e-12
               3.3760841                    -4.27487e-12
               3.4257324                  -2.9742868e-12
               3.4753807                  -1.7152225e-12
               3.5250289                  -8.1647156e-13
               3.5746772                  -6.9883297e-13
               3.6243255                  -1.9135526e-12
               3.6739738                   -5.204683e-12
               3.7236223                  -1.1623486e-11
               3.7732706                  -2.2711501e-11
               3.8229189                  -4.0762355e-11
               3.8725672                  -6.9160816e-11
               3.9222155                  -1.1278047e-10
               3.9718637                  -1.7840068e-10
                4.021512                  -2.7508051e-10
               4.0711603                  -4.1440681e-10
               4.1208086                  -6.1051958e-10
               4.1704569                  -8.7981444e-10
               4.2201052                  -1.2402391e-09
               4.2697535                  -1.7101337e-09
               4.3194017                  -2.3066298e-09
                 4.36905                  -3.0436964e-09
               4.4186983                   -3.930023e-09
               4.4683466                  -4.9670081e-09
               4.5179949                  -6.1472023e-09
               4.5676432                  -7.4535649e-09
               4.6172915                  -8.8598613e-09
               4.6669397                  -1.0332394e-08
                4.716588                  -1.1833094e-08
               4.7662363                  -1.3323714e-08
               4.8158846                  -1.4770663e-08
               4.8655329                  -1.6149752e-08
               4.9151812                  -1.7450082e-08
               4.9648294                  -1.8676278e-08
               5.0144777                   -1.984853e-08
                5.064126                  -2.1000226e-08
               5.1137743                  -2.2173412e-08
               5.1634226                  -2.3412783e-08
               5.2130709                  -2.4759204e-08
               5.2627192                  -2.6243905e-08
               5.3123679                  -2.7884454e-08
               5.3620162                  -2.9683147e-08
               5.4116645                  -3.1628044e-08
               5.4613128                  -3.3696242e-08
               5.5109611                  -3.5858456e-08
               5.5606093                  -3.8083858e-08
               5.6102576                  -4.0343952e-08
               5.6599059                  -4.2614801e-08
               5.7095542                  -4.4877254e-08
               5.7592025                  -4.7115588e-08
               5.8088508                  -4.9315211e-08
               5.8584991                  -5.1460642e-08
               5.9081473                  -5.3534471e-08
               5.9577956                  -5.5517923e-08
               6.0074439                  -5.7392892e-08
               6.0570922                  -5.9144863e-08
               6.1067405                  -6.0765643e-08
               6.1563888                  -6.2254976e-08
                6.206037                  -6.3620064e-08
               6.2556853                  -6.4873134e-08
               6.3053336                  -6.6027141e-08
