        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.052031081                               0
              0.10406216                               0
              0.15609325                               0
              0.20812432                               0
              0.26015544                               0
              0.31218651                               0
              0.36421758                               0
              0.41624865                               0
              0.46827975                               0
              0.52031088                               0
              0.57234192                               0
              0.62437302                               0
              0.67640412                               0
              0.72843516                               0
              0.78046626                               0
               0.8324973                               0
               0.8845284                               0
               0.9365595                               0
              0.98859054                               0
               1.0406218                               0
               1.0926528                               0
               1.1446838                               0
                1.196715                               0
                1.248746                               0
               1.3007771                               0
               1.3528082                               0
               1.4048393                               0
               1.4568703                               0
               1.5089015                               0
               1.5609325                               0
               1.6129636                               0
               1.6649946                               0
               1.7170258                               0
               1.7690568                               0
               1.8210878                               0
                1.873119                               0
                 1.92515                               0
               1.9771811                               0
               2.0292122                               0
               2.0812435                               0
               2.1332746                               0
               2.1853056                               0
               2.2373366                               0
               2.2893677                               0
               2.3413987                               0
                 2.39343                  -7.4665039e-38
                2.445461                  -7.2268021e-36
               2.4974921                  -8.5421837e-35
               2.5495231                   -7.649979e-34
               2.6015542                  -6.2189793e-33
               2.6535852                  -4.7167537e-32
               2.7056165                  -3.3595894e-31
               2.7576475                  -2.2543332e-30
               2.8096786                  -1.4285921e-29
               2.8617096                  -8.5688252e-29
               2.9137406                  -4.8747521e-28
               2.9657717                  -2.6353387e-27
                3.017803                  -1.3562907e-26
                3.069834                  -6.6562789e-26
                3.121865                  -3.1200164e-25
               3.1738961                  -1.3988518e-24
               3.2259271                  -6.0073217e-24
               3.2779582                  -2.4743108e-23
               3.3299892                  -9.7865579e-23
               3.3820205                  -3.7214898e-22
               3.4340515                  -1.3620608e-21
               3.4860826                  -4.8031454e-21
               3.5381136                  -1.6335718e-20
               3.5901446                   -5.363473e-20
               3.6421757                  -1.7015373e-19
                3.694207                   -5.220327e-19
                3.746238                  -1.5501388e-18
               3.7982688                   -4.458609e-18
               3.8503001                  -1.2431048e-17
               3.9023314                  -3.3620514e-17
               3.9543622                  -8.8264062e-17
               4.0063934                  -2.2507516e-16
               4.0584245                  -5.5783224e-16
               4.1104555                  -1.3445224e-15
                4.162487                  -3.1532972e-15
               4.2145176                  -7.1999046e-15
               4.2665491                  -1.6013085e-14
               4.3185797                  -3.4707273e-14
               4.3706112                  -7.3343797e-14
               4.4226418                  -1.5117985e-13
               4.4746733                  -3.0408304e-13
               4.5267043                  -5.9707491e-13
               4.5787354                  -1.1448931e-12
               4.6307664                  -2.1446302e-12
               4.6827974                  -3.9258536e-12
               4.7348285                  -7.0249648e-12
                 4.78686                  -1.2291584e-11
               4.8388906                   -2.103499e-11
               4.8909221                  -3.5217315e-11
               4.9429526                   -5.769666e-11
               4.9949841                  -9.2516404e-11
               5.0470147                  -1.4522671e-10
               5.0990462                  -2.2320971e-10
               5.1510773                  -3.3596304e-10
               5.2031083                  -4.9527799e-10
               5.2551394                  -7.1523448e-10
               5.3071704                  -1.0119271e-09
               5.3592014                   -1.402842e-09
               5.4112329                   -1.905833e-09
               5.4632635                  -2.5376865e-09
                5.515295                  -3.3123408e-09
               5.5673256                  -4.2389035e-09
               5.6193571                  -5.3197042e-09
               5.6713877                   -6.548694e-09
               5.7234192                  -7.9105371e-09
               5.7754502                  -9.3807291e-09
               5.8274813                  -1.0926979e-08
               5.8795123                  -1.2511938e-08
               5.9315434                  -1.4097126e-08
               5.9835744                  -1.5647657e-08
               6.0356059                  -1.7137125e-08
               6.0876365                  -1.8551907e-08
                6.139668                  -1.9893998e-08
               6.1916986                  -2.1181791e-08
               6.2437301                  -2.2448356e-08
               6.2957606                    -2.37373e-08
               6.3477921                  -2.5096691e-08
               6.3998232                  -2.6572009e-08
               6.4518542                  -2.8199297e-08
               6.5038853                  -2.9999747e-08
               6.5559163                  -3.1976725e-08
               6.6079473                  -3.4115729e-08
               6.6599784                  -3.6387267e-08
               6.7120094                  -3.8751878e-08
               6.7640409                  -4.1166235e-08
               6.8160715                  -4.3588948e-08
                6.868103                  -4.5984898e-08
               6.9201336                  -4.8327362e-08
               6.9721651                  -5.0597798e-08
               7.0241961                   -5.278379e-08
               7.0762272                  -5.4876118e-08
               7.1282582                  -5.6866071e-08
               7.1802893                  -5.8743893e-08
               7.2323203                  -6.0498834e-08
               7.2843513                  -6.2120542e-08
               7.3363824                  -6.3601163e-08
