        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.087386109                               0
              0.17477222                               0
              0.26215836                               0
              0.34954444                               0
              0.43693057                               0
              0.52431673                               0
               0.6117028                               0
              0.69908887                               0
              0.78647506                               0
              0.87386113                               0
              0.96124732                               0
               1.0486335                               0
               1.1360195                               0
               1.2234056                               0
               1.3107917                               0
               1.3981777                               0
               1.4855639                               0
               1.5729501                               0
               1.6603363                               0
               1.7477223                   3.3503047e-35
               1.8351084                   7.7535828e-34
               1.9224946                  -5.5629602e-31
               2.0098808                  -1.1782813e-28
               2.0972669                  -1.2605237e-26
               2.1846528                  -8.6614137e-25
               2.2720389                  -4.1472838e-23
               2.3594251                  -1.4456527e-21
               2.4468112                  -3.7767458e-20
               2.5341973                  -7.5560767e-19
               2.6215835                  -1.1773706e-17
               2.7089696                  -1.4478375e-16
               2.7963555                  -1.4192687e-15
               2.8837416                  -1.1163578e-14
               2.9711277                  -7.0615178e-14
               3.0585139                  -3.5760037e-13
               3.1459002                  -1.4248942e-12
               3.2332864                  -4.2513202e-12
               3.3206725                  -7.9624883e-12
               3.4080584                   1.1450818e-12
               3.4954445                    7.880066e-11
               3.5828307                   3.6819495e-10
               3.6702168                   1.1198318e-09
               3.7576032                   2.6042539e-09
               3.8449893                   4.8921427e-09
               3.9323754                   7.6770785e-09
               4.0197616                   1.0450861e-08
               4.1071477                    1.304381e-08
               4.1945338                   1.5943762e-08
               4.2819195                    1.980699e-08
               4.3693056                   2.4602059e-08
               4.4566917                   2.9554045e-08
               4.5440779                   3.4031647e-08
                4.631464                   3.8085098e-08
               4.7188501                   4.2000114e-08
               4.8062363                    4.589651e-08
               4.8936224                     4.98943e-08
               4.9810085                   5.3876192e-08
               5.0683947                   5.6915102e-08
               5.1557808                   5.7878658e-08
               5.2431669                   5.6638953e-08
               5.3305531                    5.357732e-08
               5.4179392                   4.8174183e-08
               5.5053253                   3.9496186e-08
                5.592711                   2.7544219e-08
               5.6800971                   1.2516248e-08
               5.7674832                  -6.6397852e-09
               5.8548694                  -3.1585635e-08
               5.9422555                  -6.3305471e-08
               6.0296416                   -1.022419e-07
               6.1170278                  -1.4869735e-07
               6.2044139                  -2.0294131e-07
               6.2918005                  -2.6594475e-07
               6.3791866                  -3.3953998e-07
               6.4665728                  -4.2508793e-07
               6.5539589                  -5.2292739e-07
                6.641345                  -6.3340951e-07
               6.7287307                  -7.5730139e-07
               6.8161168                  -8.9531875e-07
               6.9035029                  -1.0480783e-06
               6.9908891                  -1.2158932e-06
               7.0782752                  -1.3983569e-06
               7.1656613                  -1.5948185e-06
               7.2530475                  -1.8047466e-06
               7.3404336                  -2.0269686e-06
               7.4278197                  -2.2593083e-06
               7.5152063                  -2.4989913e-06
               7.6025925                  -2.7426379e-06
               7.6899786                  -2.9862372e-06
               7.7773647                  -3.2251673e-06
               7.8647509                  -3.4532507e-06
               7.9521365                  -3.6622935e-06
               8.0395231                  -3.8434432e-06
               8.1269093                  -3.9876213e-06
               8.2142954                  -4.0838713e-06
               8.3016815                  -4.1190888e-06
               8.3890676                  -4.0793848e-06
               8.4764538                  -3.9496031e-06
                8.563839                  -3.7122245e-06
               8.6512251                  -3.3481822e-06
               8.7386112                  -2.8376114e-06
               8.8259974                  -2.1595497e-06
               8.9133835                  -1.2916425e-06
               9.0007696                   -2.103848e-07
               9.0881557                   1.1079831e-06
               9.1755419                   2.6875693e-06
                9.262928                   4.5536722e-06
               9.3503141                   6.7317678e-06
               9.4377003                   9.2453693e-06
               9.5250864                   1.2115443e-05
               9.6124725                   1.5361507e-05
               9.6998587                   1.9001116e-05
               9.7872448                   2.3047462e-05
               9.8746309                   2.7508435e-05
               9.9620171                   3.2386411e-05
               10.049403                   3.7677117e-05
               10.136789                   4.3368589e-05
               10.224175                   4.9439808e-05
               10.311562                   5.5858945e-05
               10.398948                   6.2582563e-05
               10.486334                   6.9554953e-05
                10.57372                   7.6706303e-05
               10.661106                   8.3950843e-05
               10.748492                   9.1186244e-05
               10.835878                   9.8293349e-05
               10.923265                   0.00010513511
               11.010651                   0.00011155512
               11.098036                   0.00011737694
               11.185422                   0.00012240383
               11.272808                    0.0001264195
               11.360194                   0.00012918899
                11.44758                   0.00013045821
               11.534966                   0.00012995505
               11.622353                   0.00012739163
               11.709739                   0.00012246658
