        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.10938557                               0
              0.21877114                               0
              0.32815671                               0
              0.43754229                               0
              0.54692781                               0
              0.65631342                               0
              0.76569903                               0
              0.87508458                               0
              0.98447019                               0
               1.0938556                               0
               1.2032412                               0
               1.3126268                               0
               1.4220124                               0
               1.5313981                               0
               1.6407835                               0
               1.7501692                               0
               1.8595546                               0
               1.9689404                               0
               2.0783257                               0
               2.1877112                               0
                2.297097                               0
               2.4064825                               0
               2.5158682                               0
               2.6252537                   2.6036798e-38
               2.7346392                   2.2086311e-34
               2.8440249                   3.0857438e-32
               2.9534104                    3.070547e-30
               3.0627961                    2.239902e-28
               3.1721814                   1.2179264e-26
               3.2815671                   5.0104846e-25
               3.3909526                   1.5803735e-23
               3.5003383                   3.8651014e-22
               3.6097238                   7.3941691e-21
               3.7191093                   1.1128555e-19
               3.8284948                   1.3213495e-18
               3.9378808                   1.2388467e-17
                4.047266                    9.182082e-17
               4.1566515                   5.4031358e-16
               4.2660375                   2.5508243e-15
               4.3754225                   9.8492542e-15
               4.4848084                   3.2011757e-14
               4.5941939                   9.0732489e-14
               4.7035794                   2.3222917e-13
               4.8129649                   5.5119147e-13
               4.9223504                   1.2314992e-12
               5.0317364                   2.6060733e-12
               5.1411219                   5.2350008e-12
               5.2505074                   9.9987041e-12
               5.3598928                   1.8199515e-11
               5.4692783                   3.1658488e-11
               5.5786643                   5.2787798e-11
               5.6880498                    8.461682e-11
               5.7974348                   1.3075312e-10
               5.9068208                   1.9526429e-10
               6.0162063                   2.8247335e-10
               6.1255922                   3.9666523e-10
               6.2349772                   5.4170918e-10
               6.3443627                   7.2060646e-10
               6.4537487                   9.3497599e-10
               6.5631342                   1.1844953e-09
               6.6725197                   1.4663107e-09
               6.7819052                    1.774438e-09
               6.8912907                   2.0991688e-09
               7.0006766                   2.4265021e-09
               7.1100616                   2.7376064e-09
               7.2194476                    3.008326e-09
               7.3288331                   3.2087273e-09
               7.4382186                   3.3026872e-09
               7.5476041                   3.2475131e-09
               7.6569896                   2.9935925e-09
               7.7663751                   2.4840703e-09
               7.8757615                   1.6545648e-09
                7.985147                   4.3293352e-10
                8.094532                  -1.2608703e-09
               8.2039175                  -3.5148038e-09
                8.313303                  -6.4245254e-09
               8.4226894                  -1.0092879e-08
               8.5320749                  -1.4628941e-08
               8.6414604                  -2.0146473e-08
                8.750845                   -2.676166e-08
               8.8602304                  -3.4589892e-08
               8.9696169                  -4.3741494e-08
               9.0790024                  -5.4316192e-08
               9.1883879                  -6.6396112e-08
               9.2977734                  -8.0037395e-08
               9.4071589                  -9.5259999e-08
               9.5165453                  -1.1203599e-07
               9.6259298                  -1.3027602e-07
               9.7353153                   -1.498143e-07
               9.8447008                  -1.7039191e-07
               9.9540863                  -1.9163896e-07
               10.063473                  -2.1305543e-07
               10.172858                  -2.3399139e-07
               10.282244                  -2.5362709e-07
               10.391629                  -2.7095319e-07
               10.501015                  -2.8475159e-07
                 10.6104                  -2.9357878e-07
               10.719786                  -2.9575097e-07
               10.829171                   -2.893334e-07
               10.938557                  -2.7213443e-07
               11.047942                  -2.4170581e-07
               11.157329                  -1.9535021e-07
               11.266714                  -1.3013869e-07
                 11.3761                   -4.293819e-08
               11.485484                   6.9548392e-08
                11.59487                   2.1072736e-07
               11.704256                    3.840446e-07
               11.813642                   5.9289789e-07
               11.923027                   8.4053119e-07
               12.032413                   1.1299086e-06
               12.141798                   1.4635691e-06
               12.251184                   1.8434588e-06
               12.360569                   2.2707452e-06
               12.469954                   2.7456094e-06
                12.57934                   3.2670234e-06
               12.688725                   3.8325102e-06
               12.798112                   4.4378908e-06
               12.907497                   5.0770304e-06
               13.016883                   5.7415764e-06
               13.126268                   6.4206979e-06
               13.235654                   7.1008576e-06
               13.345039                   7.7655786e-06
               13.454425                   8.3952646e-06
                13.56381                   8.9670511e-06
               13.673196                   9.4547222e-06
               13.782581                   9.8286782e-06
               13.891968                   1.0056002e-05
               14.001353                   1.0100612e-05
               14.110739                   9.9235112e-06
               14.220123                   9.4831721e-06
               14.329509                   8.7360449e-06
               14.438895                   7.6371898e-06
               14.548281                   6.1410888e-06
               14.657666                   4.2025777e-06
               14.767052                   1.7779535e-06
               14.876437                  -1.1737707e-06
               14.985823                   -4.689472e-06
               15.095208                  -8.8003717e-06
