        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.10247542                               0
              0.20495084                               0
              0.30742624                               0
              0.40990168                               0
              0.51237708                               0
              0.61485249                               0
              0.71732789                               0
              0.81980336                               0
               0.9222787                               0
               1.0247542                               0
               1.1272296                               0
                1.229705                               0
               1.3321804                               0
               1.4346558                               0
               1.5371312                               0
               1.6396067                               0
                1.742082                               0
               1.8445574                               0
               1.9470328                               0
               2.0495083                               0
               2.1519837                               0
               2.2544591                               0
               2.3569343                               0
                 2.45941                    -1.60963e-35
               2.5618854                    -1.34632e-33
               2.6643608                  -7.5005567e-32
               2.7668362                  -3.2822244e-30
               2.8693116                  -1.1531691e-28
                2.971787                  -3.3055749e-27
               3.0742624                  -7.8396719e-26
               3.1767378                  -1.5573162e-24
               3.2792134                  -2.6193888e-23
               3.3816886                  -3.7667457e-22
                3.484164                  -4.6712933e-21
               3.5866394                   -5.035009e-20
               3.6891148                  -4.7502992e-19
               3.7915902                  -3.9480512e-18
               3.8940656                  -2.9075011e-17
               3.9965413                  -1.9074041e-16
               4.0990167                  -1.1201041e-15
               4.2014918                  -5.9140857e-15
               4.3039675                  -2.8188862e-14
               4.4064426                  -1.2173431e-13
               4.5089183                   -4.778871e-13
               4.6113935                   -1.710409e-12
               4.7138686                   -5.596067e-12
               4.8163447                  -1.6775931e-11
               4.9188199                  -4.6173884e-11
               5.0212955                  -1.1688983e-10
               5.1237707                  -2.7257202e-10
               5.2262459                  -5.8622718e-10
               5.3287215                  -1.1641572e-09
               5.4311967                  -2.1367845e-09
               5.5336723                  -3.6289325e-09
               5.6361475                  -5.7102909e-09
               5.7386231                  -8.3423304e-09
               5.8410988                  -1.1353276e-08
                5.943574                  -1.4473634e-08
               6.0460496                  -1.7439673e-08
               6.1485248                  -2.0126455e-08
               6.2509999                  -2.2634257e-08
               6.3534756                  -2.5259322e-08
               6.4559507                  -2.8344253e-08
               6.5584269                  -3.2089329e-08
                6.660902                   -3.644492e-08
               6.7633772                  -4.1153761e-08
               6.8658528                  -4.5900709e-08
                6.968328                  -5.0449877e-08
               7.0708036                  -5.4676221e-08
               7.1732788                  -5.8505798e-08
               7.2757545                  -6.1858437e-08
               7.3782296                   -6.465774e-08
               7.4807048                  -6.6873142e-08
               7.5831804                  -6.8506282e-08
               7.6856556                  -6.9499066e-08
               7.7881312                  -6.9649722e-08
               7.8906074                  -6.8641619e-08
               7.9930825                  -6.6179275e-08
               8.0955582                  -6.2101989e-08
               8.1980333                  -5.6356054e-08
               8.3005085                  -4.8849444e-08
               8.4029837                  -3.9336793e-08
               8.5054598                  -2.7451112e-08
                8.607935                  -1.2851144e-08
               8.7104101                   4.6506079e-09
               8.8128853                   2.5075968e-08
               8.9153605                   4.8365592e-08
               9.0178366                   7.4474833e-08
               9.1203117                    1.034245e-07
               9.2227869                   1.3530835e-07
               9.3252621                   1.7028022e-07
               9.4277372                   2.0853302e-07
               9.5302134                   2.5027518e-07
               9.6326895                   2.9571086e-07
               9.7351646                   3.4502116e-07
               9.8376398                   3.9833554e-07
                9.940115                   4.5570556e-07
               10.042591                   5.1711839e-07
               10.145066                   5.8255824e-07
               10.247541                   6.5204904e-07
               10.350017                   7.2559391e-07
               10.452492                   8.0304039e-07
               10.554968                   8.8401663e-07
               10.657443                   9.6803228e-07
               10.759918                   1.0546298e-06
               10.862393                   1.1433833e-06
               10.964869                   1.2337349e-06
               11.067345                   1.3248964e-06
                11.16982                   1.4159746e-06
               11.272295                   1.5061573e-06
               11.374771                   1.5947018e-06
               11.477246                    1.680735e-06
               11.579722                    1.763099e-06
               11.682198                   1.8403629e-06
               11.784673                   1.9108925e-06
               11.887148                   1.9729011e-06
               11.989623                   2.0244888e-06
               12.092099                   2.0636578e-06
               12.194574                   2.0883174e-06
                12.29705                   2.0963164e-06
               12.399525                   2.0854625e-06
                  12.502                   2.0534055e-06
               12.604476                   1.9975143e-06
               12.706951                   1.9149832e-06
               12.809426                   1.8030042e-06
               12.911901                   1.6586906e-06
               13.014378                   1.4789475e-06
               13.116854                   1.2606512e-06
               13.219329                   1.0008885e-06
               13.321804                   6.9687047e-07
               13.424279                   3.4573426e-07
               13.526754                  -5.5471588e-08
                13.62923                  -5.0975564e-07
               13.731706                  -1.0201392e-06
               13.834181                  -1.5894827e-06
