        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
               0.1280811                               0
               0.2561622                               0
              0.38424328                               0
              0.51232439                               0
              0.64040554                               0
              0.76848656                               0
              0.89656764                               0
               1.0246488                               0
               1.1527299                               0
               1.2808111                               0
                1.408892                               0
               1.5369731                               0
               1.6650542                               0
               1.7931353                               0
               1.9212165                               0
               2.0492976                               0
               2.1773787                               0
               2.3054597                               0
               2.4335408                               0
               2.5616221                               0
               2.6897032                               0
               2.8177841                               0
               2.9458652                               0
               3.0739462                               0
               3.2020273                               0
               3.3301084                               0
               3.4581895                               0
               3.5862706                               0
               3.7143517                               0
                3.842433                               0
               3.9705141                               0
               4.0985951                               0
               4.2266765                               0
               4.3547573                               0
               4.4828386                               0
               4.6109195                               0
               4.7390008                               0
               4.8670816                               0
                4.995163                  -1.6721818e-36
               5.1232443                  -3.2506783e-34
               5.2513251                  -2.2436141e-32
               5.3794065                   -1.240774e-30
               5.5074868                  -5.6496186e-29
               5.6355681                  -2.1362997e-27
                5.763649                  -6.7587347e-26
               5.8917303                  -1.8012166e-24
               6.0198112                  -4.0682286e-23
               6.1478925                  -7.8294346e-22
               6.2759733                  -1.2900081e-20
               6.4040546                  -1.8270577e-19
               6.5321355                  -2.2320185e-18
               6.6602168                  -2.3587178e-17
               6.7882981                  -2.1614067e-16
                6.916379                  -1.7209994e-15
               7.0444603                   -1.192908e-14
               7.1725411                  -7.2101633e-14
               7.3006225                  -3.8060622e-13
               7.4287033                  -1.7572555e-12
               7.5567846                  -7.1056312e-12
                7.684866                  -2.5193403e-11
               7.8129468                  -7.8397691e-11
               7.9410281                  -2.1427267e-10
                8.069109                  -5.1464749e-10
               8.1971903                  -1.0868257e-09
               8.3252716                  -2.0199269e-09
               8.4533529                   -3.311823e-09
               8.5814333                  -4.8173368e-09
               8.7095146                  -6.2918843e-09
               8.8375959                  -7.5438216e-09
               8.9656773                  -8.5775715e-09
               9.0937576                  -9.5554311e-09
                9.221839                  -1.0568065e-08
               9.3499203                  -1.1462105e-08
               9.4780016                  -1.1976828e-08
                9.606082                  -1.2072434e-08
               9.7341633                  -1.2023101e-08
               9.8622446                  -1.2095251e-08
               9.9903259                  -1.2195764e-08
               10.118406                  -1.1960643e-08
               10.246489                  -1.1171585e-08
               10.374569                  -9.9489474e-09
                10.50265                  -8.5104297e-09
               10.630731                  -6.8745463e-09
               10.758813                  -4.8723958e-09
               10.886893                  -2.3469175e-09
               11.014974                   7.5901901e-10
               11.143055                   4.4599457e-09
               11.271136                   8.7857988e-09
               11.399218                   1.3794575e-08
               11.527298                   1.9572042e-08
                11.65538                   2.6206115e-08
               11.783461                   3.3738935e-08
               11.911542                   4.2167887e-08
               12.039622                   5.1515961e-08
               12.167705                   6.1874204e-08
               12.295785                   7.3338889e-08
               12.423866                   8.5920242e-08
               12.551947                   9.9562449e-08
               12.680029                   1.1426027e-07
               12.808109                   1.3008366e-07
               12.936191                    1.470369e-07
               13.064271                   1.6496226e-07
               13.192353                   1.8365878e-07
               13.320434                   2.0301793e-07
               13.448515                   2.2293612e-07
               13.576596                    2.431714e-07
               13.704678                   2.6341141e-07
               13.832758                   2.8340233e-07
               13.960839                    3.028799e-07
               14.088921                   3.2145334e-07
               14.217002                   3.3866993e-07
               14.345082                   3.5409417e-07
               14.473164                   3.6722608e-07
               14.601245                   3.7745374e-07
               14.729326                   3.8414532e-07
               14.857407                   3.8665533e-07
               14.985488                   3.8421396e-07
               15.113569                   3.7596024e-07
                15.24165                   3.6106709e-07
               15.369732                   3.3867707e-07
               15.497813                   3.0777727e-07
               15.625894                   2.6730325e-07
               15.753974                    2.162737e-07
               15.882056                   1.5369497e-07
               16.010138                   7.8489713e-08
               16.138218                    -1.03476e-08
               16.266298                  -1.1369022e-07
               16.394381                  -2.3244579e-07
               16.522461                  -3.6757089e-07
               16.650543                    -5.19857e-07
               16.778624                  -6.8988072e-07
               16.906706                  -8.7813771e-07
               17.034786                  -1.0850111e-06
               17.162867                  -1.3106423e-06
               17.290947                  -1.5549759e-06
               17.419029                   -1.817801e-06
                17.54711                  -2.0985894e-06
               17.675192                  -2.3963989e-06
               17.803272                  -2.7099704e-06
               17.931355                  -3.0376953e-06
               18.059435                  -3.3774329e-06
               18.187515                  -3.7265452e-06
               18.315596                  -4.0820746e-06
