        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -1.4265822e-07
              0.05475625                   1.3596515e-06
               0.1095125                   1.4323494e-06
              0.16426875                   1.4835247e-06
                0.219025                   1.5420792e-06
              0.27378124                   1.6041348e-06
              0.32853749                   1.6533445e-06
              0.38329375                   1.7126082e-06
                 0.43805                   1.7636163e-06
              0.49280623                   1.8202591e-06
              0.54756248                   1.8779696e-06
              0.60231876                    1.932443e-06
              0.65707499                   1.9786987e-06
              0.71183127                   2.0263101e-06
               0.7665875                   2.0835228e-06
              0.82134378                   2.1291823e-06
                  0.8761                   2.1654075e-06
              0.93085623                   2.2145875e-06
              0.98561245                   2.2493373e-06
               1.0403688                   2.2845927e-06
                1.095125                   2.3147979e-06
               1.1498812                   2.3399484e-06
               1.2046375                   2.3617322e-06
               1.2593937                   2.3778066e-06
                 1.31415                   2.3879688e-06
               1.3689063                    2.389741e-06
               1.4236625                   2.3904495e-06
               1.4784187                    2.378317e-06
                1.533175                   2.3598452e-06
               1.5879313                   2.3317268e-06
               1.6426876                   2.2980178e-06
               1.6974437                   2.2527959e-06
                  1.7522                   2.1938895e-06
               1.8069563                   2.1282337e-06
               1.8617125                   2.0509817e-06
               1.9164687                   1.9587217e-06
               1.9712249                   1.8528815e-06
               2.0259812                   1.7354208e-06
               2.0807376                   1.6033209e-06
               2.1354938                   1.4531347e-06
               2.1902499                   1.2871019e-06
               2.2450061                   1.1064811e-06
               2.2997625                   9.0696921e-07
               2.3545189                    6.855127e-07
               2.4092751                   4.4743965e-07
               2.4640312                   1.8930355e-07
               2.5187874                  -9.3072146e-08
               2.5735438                  -3.9529112e-07
                  2.6283                  -7.2386933e-07
               2.6830561                  -1.0731973e-06
               2.7378125                  -1.4478552e-06
               2.7925689                  -1.8518343e-06
               2.8473251                  -2.2808158e-06
               2.9020813                  -2.7349251e-06
               2.9568374                  -3.2209225e-06
               3.0115936                  -3.7370824e-06
                 3.06635                  -4.2802103e-06
               3.1211061                  -4.8569041e-06
               3.1758626                  -5.4645557e-06
               3.2306187                   -6.105704e-06
               3.2853751                  -6.7806495e-06
               3.3401313                  -7.4872323e-06
               3.3948874                  -8.2303332e-06
               3.4496436                  -9.0121839e-06
                  3.5044                  -9.8234104e-06
               3.5591564                  -1.0674324e-05
               3.6139126                  -1.1565362e-05
               3.6686687                  -1.2487601e-05
               3.7234249                   -1.345142e-05
               3.7781813                  -1.4451999e-05
               3.8329375                  -1.5489548e-05
               3.8876936                  -1.6566979e-05
               3.9424498                   -1.768047e-05
               3.9972062                  -1.8831237e-05
               4.0519624                  -2.0021658e-05
                4.106719                  -2.1247908e-05
               4.1614752                  -2.2508426e-05
               4.2162313                  -2.3807901e-05
               4.2709875                  -2.5140153e-05
               4.3257437                  -2.6507792e-05
               4.3804998                  -2.7905877e-05
                4.435256                  -2.9336796e-05
               4.4900122                  -3.0798157e-05
               4.5447683                  -3.2287262e-05
                4.599525                  -3.3800057e-05
               4.6542816                  -3.5341011e-05
               4.7090378                  -3.6902202e-05
               4.7637939                  -3.8481663e-05
               4.8185501                  -4.0078354e-05
               4.8733063                  -4.1689058e-05
               4.9280624                  -4.3310956e-05
               4.9828186                  -4.4936187e-05
               5.0375748                   -4.656801e-05
               5.0923314                  -4.8197126e-05
               5.1470876                  -4.9821268e-05
               5.2018437                  -5.1434712e-05
               5.2565999                  -5.3033953e-05
               5.3113561                  -5.4612661e-05
               5.3661122                   -5.616602e-05
               5.4208689                  -5.7687179e-05
                5.475625                  -5.9170459e-05
               5.5303812                  -6.0610306e-05
               5.5851378                  -6.1998522e-05
                5.639894                  -6.3328043e-05
               5.6946502                  -6.4590946e-05
               5.7494063                    -6.57825e-05
               5.8041625                   -6.688937e-05
               5.8589187                  -6.7906316e-05
               5.9136748                  -6.8823727e-05
                5.968431                  -6.9632697e-05
               6.0231872                   -7.032221e-05
               6.0779438                  -7.0882263e-05
                  6.1327                  -7.1304668e-05
               6.1874561                  -7.1577066e-05
               6.2422123                  -7.1687005e-05
               6.2969689                  -7.1625254e-05
               6.3517251                  -7.1380389e-05
               6.4064813                  -7.0937793e-05
               6.4612374                  -7.0286449e-05
               6.5159941                  -6.9414906e-05
               6.5707502                  -6.8307418e-05
               6.6255064                  -6.6953362e-05
               6.6802626                  -6.5337059e-05
               6.7350187                  -6.3445652e-05
               6.7897749                  -6.1265891e-05
               6.8445311                  -5.8781876e-05
               6.8992872                  -5.5979548e-05
               6.9540434                  -5.2845753e-05
                  7.0088                  -4.9364367e-05
               7.0635562                  -4.5519999e-05
               7.1183128                  -4.1299918e-05
                7.173069                  -3.6686408e-05
               7.2278252                  -3.1667259e-05
               7.2825813                   -2.622536e-05
               7.3373375                  -2.0346359e-05
               7.3920937                  -1.4015875e-05
               7.4468498                   -7.220156e-06
               7.5016065                   5.7971071e-08
               7.5563626                   7.8306848e-06
               7.6111188                    1.611148e-05
                7.665875                   2.4914909e-05
               7.7206311                   3.4255459e-05
               7.7753873                   4.4142831e-05
               7.8301435                   5.4591412e-05
               7.8848996                   6.5612214e-05
               7.9396563                   7.7216486e-05
               7.9944124                   8.9414789e-05
               8.0491686                   0.00010221433
               8.1039248                   0.00011562775
               8.1586809                   0.00012965949
                8.213438                   0.00014431786
               8.2681942                   0.00015960721
               8.3229504                   0.00017553433
               8.3777065                   0.00019210025
               8.4324627                   0.00020930814
               8.4872189                   0.00022715786
                8.541975                   0.00024565007
               8.5967312                    0.0002647794
               8.6514874                   0.00028454559
               8.7062435                   0.00030493885
               8.7609997                   0.00032595373
               8.8157558                    0.0003475812
                8.870512                   0.00036980686
               8.9252682                   0.00039261952
               8.9800243                   0.00041600125
               9.0347805                   0.00043993659
               9.0895367                   0.00046440028
               9.1442938                   0.00048937357
               9.1990499                   0.00051482854
               9.2538071                   0.00054073677
               9.3085632                   0.00056706753
               9.3633194                   0.00059378578
               9.4180756                   0.00062085741
               9.4728317                   0.00064823765
               9.5275879                   0.00067588786
               9.5823441                   0.00070375949
               9.6371002                   0.00073180354
               9.6918564                   0.00075996696
               9.7466125                   0.00078819343
               9.8013687                   0.00081642438
               9.8561249                   0.00084459415
                9.910881                   0.00087263912
               9.9656372                   0.00090048555
               10.020393                   0.00092806213
                10.07515                   0.00095528964
               10.129907                   0.00098208652
               10.184663                    0.0010083684
               10.239419                    0.0010340448
               10.294175                    0.0010590255
               10.348931                    0.0010832102
               10.403687                    0.0011065019
               10.458444                    0.0011287947
                 10.5132                    0.0011499819
               10.567956                    0.0011699504
               10.622712                    0.0011885867
               10.677468                    0.0012057718
               10.732224                    0.0012213826
               10.786981                    0.0012352947
               10.841738                    0.0012473779
               10.896494                    0.0012575022
                10.95125                    0.0012655301
               11.006006                    0.0012713246
               11.060762                    0.0012747452
                11.11552                    0.0012756477
               11.170276                    0.0012738858
               11.225032                    0.0012693127
               11.279788                    0.0012617764
               11.334544                    0.0012511261
                 11.3893                    0.0012372077
               11.444057                    0.0012198661
