        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.053915191                               0
              0.10783038                               0
              0.16174558                               0
              0.21566077                               0
              0.26957595                               0
              0.32349116                               0
              0.37740633                               0
              0.43132153                               0
              0.48523667                               0
              0.53915191                               0
              0.59306711                               0
              0.64698231                               0
              0.70089746                               0
              0.75481266                               0
              0.80872786                               0
              0.86264306                               0
              0.91655821                               0
              0.97047335                               0
               1.0243886                               0
               1.0783038                               0
                1.132219                               0
               1.1861342                               0
               1.2400494                               0
               1.2939646                               0
               1.3478796                               0
               1.4017949                               0
               1.4557101                               0
               1.5096253                               0
               1.5635406                               0
               1.6174557                               0
                1.671371                  -3.0552127e-37
               1.7252861                  -2.3877616e-35
               1.7792013                  -4.3910325e-34
               1.8331164                  -6.6660756e-33
               1.8870317                  -8.8938514e-32
               1.9409467                  -1.0569575e-30
               1.9948621                  -1.1279177e-29
               2.0487771                  -1.0882797e-28
               2.1026924                  -9.5524536e-28
               2.1566076                  -7.6700322e-27
               2.2105229                   -5.661704e-26
               2.2644379                  -3.8593765e-25
               2.3183532                  -2.4393656e-24
               2.3722684                  -1.4349452e-23
               2.4261835                  -7.8824181e-23
               2.4800987                  -4.0559401e-22
                2.534014                  -1.9604845e-21
               2.5879292                    -8.92503e-21
               2.6418443                  -3.8360052e-20
               2.6957593                  -1.5600713e-19
               2.7496748                  -6.0160391e-19
               2.8035898                  -2.2040558e-18
               2.8575051                  -7.6854831e-18
               2.9114201                  -2.5550436e-17
               2.9653356                  -8.1115098e-17
               3.0192506                  -2.4628521e-16
               3.0731657                  -7.1618933e-16
               3.1270812                  -1.9973532e-15
               3.1809962                  -5.3489902e-15
               3.2349114                  -1.3772095e-14
               3.2888265                  -3.4129678e-14
                3.342742                  -8.1495459e-14
                3.396657                  -1.8769049e-13
               3.4505723                  -4.1732305e-13
               3.5044873                  -8.9662956e-13
               3.5584025                  -1.8630757e-12
               3.6123178                  -3.7468683e-12
               3.6662328                  -7.2987614e-12
               3.7201481                  -1.3780794e-11
               3.7740633                  -2.5236284e-11
               3.8279784                   -4.485028e-11
               3.8818934                  -7.7399497e-11
               3.9358089                  -1.2976922e-10
               3.9897242                  -2.1148387e-10
               4.0436392                  -3.3515946e-10
               4.0975542                  -5.1674742e-10
               4.1514697                  -7.7540835e-10
               4.2053847                  -1.1328496e-09
               4.2593002                  -1.6119923e-09
               4.3132153                  -2.2349138e-09
               4.3671303                  -3.0201497e-09
               4.4210458                  -3.9796091e-09
               4.4749608                  -5.1155444e-09
               4.5288758                  -6.4181642e-09
               4.5827909                  -7.8645348e-09
               4.6367064                  -9.4193471e-09
               4.6906219                  -1.1037875e-08
               4.7445369                  -1.2671068e-08
               4.7984519                  -1.4272252e-08
               4.8523669                  -1.5804407e-08
               4.9062824                  -1.7246713e-08
               4.9601974                  -1.8598961e-08
               5.0141125                  -1.9882656e-08
                5.068028                  -2.1138298e-08
                5.121943                  -2.2419039e-08
               5.1758585                   -2.378183e-08
               5.2297735                  -2.5277783e-08
               5.2836885                   -2.694374e-08
               5.3376036                  -2.8796846e-08
               5.3915186                  -3.0833164e-08
               5.4454341                  -3.3030396e-08
               5.4993496                  -3.5353739e-08
               5.5532646                   -3.776308e-08
               5.6071796                  -4.0219621e-08
               5.6610951                  -4.2690179e-08
               5.7150102                  -4.5148457e-08
               5.7689252                  -4.7573554e-08
               5.8228402                  -4.9946813e-08
               5.8767557                  -5.2248858e-08
               5.9306712                  -5.4458194e-08
               5.9845862                   -5.655226e-08
               6.0385013                  -5.8510608e-08
               6.0924163                  -6.0319046e-08
               6.1463313                  -6.1972948e-08
               6.2002468                  -6.3478041e-08
               6.2541623                  -6.4847974e-08
               6.3080773                  -6.6098806e-08
               6.3619924                  -6.7241992e-08
               6.4159079                   -6.827792e-08
               6.4698229                  -6.9192119e-08
               6.5237379                  -6.9955213e-08
               6.5776529                  -7.0526831e-08
                6.631568                  -7.0861859e-08
               6.6854839                  -7.0917032e-08
                6.739399                  -7.0655638e-08
                6.793314                  -7.0048728e-08
                6.847229                  -6.9072762e-08
               6.9011445                  -6.7704867e-08
               6.9550595                  -6.5917767e-08
               7.0089746                  -6.3676772e-08
               7.0628901                  -6.0940344e-08
               7.1168051                  -5.7664426e-08
               7.1707206                  -5.3809423e-08
               7.2246356                  -4.9347335e-08
