        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.072152585                               0
              0.14430517                               0
              0.21645774                               0
              0.28861034                               0
              0.36076292                               0
              0.43291548                               0
              0.50506812                               0
              0.57722068                               0
              0.64937323                               0
              0.72152585                               0
               0.7936784                               0
              0.86583096                               0
              0.93798357                               0
               1.0101362                               0
               1.0822887                               0
               1.1544414                               0
                1.226594                               0
               1.2987465                               0
               1.3708991                               0
               1.4430517                               0
               1.5152042                               0
               1.5873568                               0
               1.6595094                               0
               1.7316619                               0
               1.8038145                               0
               1.8759671                               0
               1.9481196                               0
               2.0202725                               0
               2.0924249                               0
               2.1645775                               0
               2.2367301                               0
               2.3088827                               0
               2.3810351                               0
               2.4531879                               0
               2.5253403                               0
               2.5974929                               0
               2.6696455                               0
               2.7417982                               0
               2.8139505                               0
               2.8861034                               0
               2.9582558                               0
               3.0304084                               0
                3.102561                               0
               3.1747136                               0
               3.2468662                               0
               3.3190188                               0
               3.3911715                               0
               3.4633238                               0
               3.5354767                               0
               3.6076291                               0
               3.6797819                               0
               3.7519343                               0
               3.8240869                               0
               3.8962393                               0
               3.9683919                               0
                4.040545                               0
               4.1126971                               0
               4.1848497                               0
               4.2570024                               0
                4.329155                               0
               4.4013071                               0
               4.4734602                               0
               4.5456128                               0
               4.6177654                               0
               4.6899176                               0
               4.7620702                               0
               4.8342233                               0
               4.9063759                               0
                4.978528                               0
               5.0506806                               0
               5.1228333                               0
               5.1949859                               0
                5.267139                               0
               5.3392911                               0
               5.4114437                               0
               5.4835963                               0
               5.5557489                               0
               5.6279011                               0
               5.7000542                               0
               5.7722068                  -8.3875633e-36
               5.8443594                  -9.4044375e-35
               5.9165115                  -7.7785923e-34
               5.9886642                  -5.8585037e-33
               6.0608168                  -4.1771492e-32
               6.1329699                  -2.8432197e-31
                6.205122                  -1.8517956e-30
               6.2772746                  -1.1553319e-29
               6.3494272                  -6.9107825e-29
               6.4215798                  -3.9664539e-28
               6.4937325                   -2.186064e-27
               6.5658851                  -1.1577741e-26
               6.6380377                  -5.8963827e-26
               6.7101903                  -2.8895773e-25
               6.7823429                  -1.3634579e-24
                6.854495                  -6.1982052e-24
               6.9266477                  -2.7161358e-23
               6.9988008                  -1.1479673e-22
               7.0709534                  -4.6818559e-22
               7.1431055                  -1.8434108e-21
               7.2152581                  -7.0102596e-21
               7.2874107                  -2.5759283e-20
               7.3595638                  -9.1493207e-20
                7.431716                  -3.1423537e-19
               7.5038686                  -1.0439426e-18
               7.5760217                  -3.3557257e-18
               7.6481738                  -1.0440149e-17
               7.7203264                  -3.1444804e-17
               7.7924786                  -9.1709548e-17
               7.8646317                  -2.5905687e-16
               7.9367838                  -7.0887981e-16
               8.0089369                  -1.8794016e-15
                 8.08109                  -4.8283555e-15
               8.1532421                  -1.2021691e-14
               8.2253942                  -2.9011041e-14
               8.2975464                  -6.7862138e-14
               8.3696995                  -1.5388054e-13
               8.4418526                  -3.3825706e-13
               8.5140047                  -7.2081116e-13
               8.5861578                  -1.4890201e-12
               8.6583099                  -2.9817058e-12
                8.730463                  -5.7873806e-12
               8.8026142                  -1.0886937e-11
               8.8747673                  -1.9846054e-11
               8.9469204                  -3.5051705e-11
               9.0190725                  -5.9967344e-11
               9.0912256                  -9.9351916e-11
               9.1633778                  -1.5935249e-10
               9.2355309                  -2.4734723e-10
               9.3076839                  -3.7140271e-10
               9.3798351                   -5.392341e-10
               9.4519882                  -7.5664497e-10
               9.5241404                  -1.0255763e-09
               9.5962934                  -1.3421012e-09
               9.6684465                   -1.694911e-09
               9.7405987                  -2.0649629e-09
               9.8127518                  -2.4269036e-09
               9.8849039                  -2.7525677e-09
                9.957056                  -3.0162712e-09
               10.029208                  -3.2008949e-09
               10.101361                  -3.3031122e-09
               10.173514                  -3.3358674e-09
               10.245667                  -3.3266079e-09
                10.31782                    -3.31091e-09
               10.389972                  -3.3227374e-09
               10.462125                  -3.3841354e-09
               10.534278                  -3.4979639e-09
               10.606429                  -3.6467522e-09
               10.678582                  -3.7988288e-09
               10.750734                  -3.9200696e-09
               10.822887                  -3.9870596e-09
                10.89504                  -3.9963459e-09
               10.967193                  -3.9656829e-09
               11.039346                   -3.926377e-09
               11.111498                  -3.9098582e-09
                11.18365                  -3.9345109e-09
               11.255802                  -3.9989323e-09
