        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.17953958                               0
              0.35907915                               0
              0.53861868                               0
               0.7181583                               0
              0.89769787                               0
               1.0772374                               0
                1.256777                               0
               1.4363166                               0
               1.6158562                               0
               1.7953957                               0
               1.9749353                               0
               2.1544747                               0
               2.3340147                               0
               2.5135541                               0
               2.6930938                               0
               2.8726332                               0
               3.0521727                               0
               3.2317123                               0
                3.411252                               0
               3.5907915                               0
               3.7703311                               0
               3.9498706                               0
               4.1294103                               0
               4.3089495                               0
               4.4884896                               0
               4.6680293                               0
               4.8475685                               0
               5.0271082                               0
               5.2066474                               0
               5.3861876                               0
               5.5657268                               0
               5.7452664                               0
               5.9248061                               0
               6.1043453                               0
               6.2838855                               0
               6.4634247                               0
               6.6429644                               0
                6.822504                   4.2756777e-36
               7.0020432                   6.4764945e-34
               7.1815829                   3.9682488e-32
               7.3611226                   1.9172531e-30
               7.5406623                   7.4672457e-29
               7.7202024                   2.3675597e-27
               7.8997412                   6.1600657e-26
               8.0792809                   1.3246774e-24
               8.2588205                   2.3699212e-23
               8.4383602                   3.5504049e-22
               8.6178989                   4.4844688e-21
               8.7974396                   4.8112214e-20
               8.9769793                   4.4196746e-19
                9.156518                   3.5056808e-18
               9.3360586                   2.4216559e-17
               9.5155973                   1.4690924e-16
                9.695137                   7.8894496e-16
               9.8746767                   3.7785725e-15
               10.054216                   1.6249477e-14
               10.233756                   6.3131304e-14
               10.413295                   2.2280761e-13
               10.592835                   7.1782576e-13
               10.772375                   2.1202677e-12
               10.951914                     5.76362e-12
               11.131454                   1.4466722e-11
               11.310993                   3.3624228e-11
               11.490533                   7.2542299e-11
               11.670073                   1.4556603e-10
               11.849612                   2.7212377e-10
               12.029152                   4.7453369e-10
               12.208691                    7.726515e-10
               12.388231                   1.1755181e-09
               12.567771                   1.6720458e-09
                12.74731                   2.2247439e-09
               12.926849                   2.7711842e-09
               13.106389                   3.2359961e-09
               13.285929                   3.5514534e-09
               13.465467                   3.6789125e-09
               13.645008                   3.6199888e-09
               13.824548                   3.4088035e-09
               14.004086                   3.0853957e-09
               14.183627                   2.6616542e-09
               14.363166                   2.0977815e-09
               14.542706                   1.3035655e-09
               14.722245                   1.6494549e-10
               14.901785                  -1.4196221e-09
               15.081325                  -3.5153209e-09
               15.260864                  -6.1533587e-09
               15.440405                  -9.3537258e-09
               15.619943                  -1.3146074e-08
               15.799482                  -1.7566826e-08
               15.979023                  -2.2629607e-08
               16.158562                  -2.8290177e-08
                 16.3381                  -3.4436344e-08
               16.517641                   -4.091758e-08
                16.69718                  -4.7597375e-08
                16.87672                  -5.4389378e-08
               17.056261                  -6.1244322e-08
               17.235798                  -6.8089925e-08
               17.415339                  -7.4762397e-08
               17.594879                  -8.0977983e-08
               17.774418                  -8.6364373e-08
               17.953959                  -9.0525724e-08
               18.133497                  -9.3087273e-08
               18.313036                  -9.3680278e-08
               18.492577                  -9.1875776e-08
               18.672117                  -8.7118202e-08
               18.851656                  -7.8712631e-08
               19.031195                  -6.5881714e-08
               19.210733                  -4.7853252e-08
               19.390274                  -2.3922556e-08
               19.569815                   6.5463683e-09
               19.749353                   4.4160437e-08
               19.928892                   8.9527042e-08
               20.108433                   1.4322883e-07
               20.287971                   2.0574382e-07
               20.467512                   2.7735223e-07
               20.647053                   3.5807656e-07
                20.82659                   4.4766867e-07
                21.00613                   5.4561696e-07
               21.185671                   6.5113187e-07
                21.36521                   7.6308822e-07
                21.54475                   8.7994033e-07
               21.724289                    9.996437e-07
               21.903828                    1.119609e-06
               22.083368                   1.2366858e-06
               22.262907                   1.3471557e-06
               22.442448                   1.4467201e-06
               22.621986                   1.5304913e-06
               22.801525                   1.5930037e-06
               22.981066                   1.6282579e-06
               23.160606                   1.6297964e-06
               23.340145                   1.5907849e-06
               23.519684                   1.5041032e-06
               23.699224                   1.3624452e-06
               23.878763                   1.1584747e-06
               24.058304                   8.8501588e-07
               24.237844                   5.3531193e-07
               24.417381                   1.0329043e-07
               24.596922                  -4.1616505e-07
               24.776463                  -1.0269289e-06
               24.956001                  -1.7313264e-06
               25.135542                  -2.5297898e-06
               25.315081                  -3.4204863e-06
               25.494619                  -4.3989553e-06
                25.67416                   -5.457764e-06
               25.853699                  -6.5862255e-06
               26.033239                  -7.7701361e-06
