        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.091031484                               0
              0.18206297                               0
              0.27309448                               0
              0.36412594                               0
              0.45515743                               0
              0.54618895                               0
              0.63722038                               0
              0.72825187                               0
              0.81928343                               0
              0.91031486                               0
               1.0013463                               0
               1.0923779                               0
               1.1834093                               0
               1.2744408                               0
               1.3654723                               0
               1.4565037                               0
               1.5475353                               0
               1.6385669                               0
               1.7295983                  -2.7896366e-35
               1.8206297                  -3.3460013e-33
               1.9116613                  -2.6306238e-31
               2.0026927                  -1.4991759e-29
               2.0937243                  -6.4152028e-28
               2.1847558                  -2.1208407e-26
               2.2757871                  -5.5475282e-25
               2.3668187                  -1.1714542e-23
               2.4578502                  -2.0315458e-22
               2.5488815                  -2.9362672e-21
               2.6399131                  -3.5824223e-20
               2.7309446                  -3.7310248e-19
               2.8219762                  -3.3500174e-18
               2.9130075                  -2.6161824e-17
                3.004039                  -1.7911688e-16
               3.0950706                  -1.0828409e-15
               3.1861022                  -5.8179847e-15
               3.2771337                  -2.7946029e-14
                3.368165                  -1.2065087e-13
               3.4591966                  -4.7044557e-13
               3.5502281                  -1.6640281e-12
               3.6412594                  -5.3604265e-12
                3.732291                   -1.578206e-11
               3.8233225                  -4.2601672e-11
               3.9143541                  -1.0573229e-10
               4.0053854                  -2.4187222e-10
                4.096417                  -5.1111382e-10
               4.1874485                  -9.9967346e-10
               4.2784796                  -1.8129898e-09
               4.3695116                  -3.0542155e-09
               4.4605432                  -4.7885194e-09
               4.5515742                  -7.0034125e-09
               4.6426058                  -9.5850794e-09
               4.7336373                  -1.2332526e-08
               4.8246689                   -1.501861e-08
               4.9157004                  -1.7481323e-08
                5.006732                  -1.9703354e-08
               5.0977631                   -2.183255e-08
               5.1887946                  -2.4121537e-08
               5.2798262                  -2.6811591e-08
               5.3708582                  -3.0023578e-08
               5.4618893                  -3.3717264e-08
               5.5529208                  -3.7735486e-08
               5.6439524                  -4.1892346e-08
               5.7349834                  -4.6039499e-08
                5.826015                  -5.0072934e-08
                5.917047                  -5.3899065e-08
               6.0080781                  -5.7413292e-08
               6.0991096                  -6.0523796e-08
               6.1901412                  -6.3198854e-08
               6.2811723                  -6.5481615e-08
               6.3722043                  -6.7440027e-08
               6.4632359                  -6.9081054e-08
               6.5542674                  -7.0298306e-08
               6.6452985                  -7.0897279e-08
                 6.73633                  -7.0673607e-08
               6.8273616                  -6.9472144e-08
               6.9183931                  -6.7177133e-08
               7.0094247                  -6.3654376e-08
               7.1004562                  -5.8717109e-08
               7.1914873                  -5.2165046e-08
               7.2825189                  -4.3871417e-08
               7.3735509                  -3.3836034e-08
                7.464582                  -2.2142148e-08
                7.555614                   -8.836988e-09
               7.6466451                   6.1732823e-09
               7.7376761                   2.3127644e-08
               7.8287082                   4.2306816e-08
               7.9197397                   6.3903968e-08
               8.0107708                   8.7972644e-08
               8.1018028                   1.1449088e-07
               8.1928339                    1.434843e-07
                8.283865                   1.7510243e-07
                8.374897                   2.0958542e-07
               8.4659281                   2.4715359e-07
               8.5569592                   2.8791933e-07
               8.6479912                   3.3189713e-07
               8.7390232                    3.790955e-07
               8.8300543                   4.2959658e-07
               8.9210863                   4.8354121e-07
               9.0121174                   5.4102912e-07
               9.1031485                   6.0202785e-07
               9.1941805                   6.6638086e-07
               9.2852116                   7.3391567e-07
               9.3762426                   8.0455993e-07
               9.4672747                   8.7836202e-07
               9.5583057                   9.5538917e-07
               9.6493378                   1.0355707e-06
               9.7403698                   1.1185867e-06
               9.8314009                    1.203868e-06
               9.9224319                   1.2907057e-06
               10.013464                   1.3784113e-06
               10.104495                   1.4664421e-06
               10.195526                   1.5544171e-06
               10.286558                   1.6419935e-06
               10.377589                   1.7286688e-06
               10.468621                   1.8136277e-06
               10.559652                   1.8957527e-06
               10.650684                   1.9737863e-06
               10.741716                   2.0465191e-06
               10.832747                   2.1128556e-06
               10.923779                   2.1717094e-06
               11.014811                   2.2218462e-06
               11.105842                   2.2618067e-06
               11.196873                   2.2899719e-06
               11.287905                   2.3046673e-06
               11.378936                    2.304186e-06
               11.469967                   2.2867096e-06
               11.560999                   2.2502336e-06
                11.65203                   2.1926119e-06
               11.743062                   2.1116962e-06
               11.834094                   2.0054306e-06
               11.925125                   1.8718057e-06
               12.016156                   1.7087306e-06
