        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.06002463                               0
              0.12004926                               0
              0.18007389                               0
              0.24009852                               0
              0.30012316                               0
              0.36014777                               0
              0.42017239                               0
              0.48019704                               0
              0.54022163                               0
              0.60024631                               0
              0.66027093                               0
              0.72029555                               0
              0.78032023                               0
              0.84034479                               0
              0.90036947                               0
              0.96039408                               0
               1.0204188                               0
               1.0804433                               0
                1.140468                               0
               1.2004926                               0
               1.2605172                               0
               1.3205419                               0
               1.3805665                               0
               1.4405911                               0
               1.5006157                               0
               1.5606405                               0
               1.6206651                               0
               1.6806896                               0
               1.7407142                               0
               1.8007389                               0
               1.8607635                               0
               1.9207882                               0
               1.9808128                               0
               2.0408375                               0
               2.1008623                               0
               2.1608865                               0
               2.2209113                               0
                2.280936                               0
               2.3409605                               0
               2.4009852                               0
               2.4610097                               0
               2.5210345                               0
               2.5810592                  -1.5519918e-35
               2.6410837                  -3.0282018e-34
               2.7011085                  -3.5816725e-33
                2.761133                  -3.7341941e-32
               2.8211575                  -3.5819777e-31
               2.8811822                  -3.1878594e-30
               2.9412069                  -2.6412703e-29
               3.0012314                  -2.0427588e-28
               3.0612562                  -1.4783202e-27
               3.1212809                  -1.0033666e-26
               3.1813054                  -6.4006738e-26
               3.2413301                  -3.8454733e-25
               3.3013546                  -2.1800526e-24
               3.3613791                  -1.1683368e-23
               3.4214039                  -5.9292925e-23
               3.4814284                  -2.8541934e-22
               3.5414531                  -1.3052266e-21
               3.6014779                  -5.6787653e-21
               3.6615024                  -2.3539634e-20
               3.7215271                  -9.3090712e-20
               3.7815516                  -3.5166506e-19
               3.8415763                  -1.2705669e-18
               3.9016008                  -4.3955733e-18
               3.9616256                   -1.457685e-17
               4.0216503                  -4.6387342e-17
               4.0816751                  -1.4179427e-16
               4.1416993                  -4.1673105e-16
               4.2017245                  -1.1786512e-15
               4.2617488                  -3.2108611e-15
               4.3217731                  -8.4317912e-15
               4.3817983                  -2.1360787e-14
               4.4418225                  -5.2243512e-14
               4.5018473                  -1.2344295e-13
                4.561872                     -2.8197e-13
               4.6218967                  -6.2303016e-13
                4.681921                  -1.3324017e-12
               4.7419457                  -2.7594053e-12
               4.8019705                  -5.5369207e-12
               4.8619947                  -1.0769519e-11
               4.9220195                  -2.0313612e-11
               4.9820442                  -3.7171797e-11
                5.042069                  -6.6013701e-11
               5.1020932                  -1.1381346e-10
               5.1621184                  -1.9055667e-10
               5.2221427                  -3.0991729e-10
               5.2821674                  -4.8974325e-10
               5.3421922                  -7.5213064e-10
               5.4022169                  -1.1228348e-09
               5.4622412                  -1.6297818e-09
               5.5222659                  -2.3005406e-09
               5.5822906                  -3.1588037e-09
               5.6423149                  -4.2201851e-09
               5.7023401                  -5.4879625e-09
               5.7623644                  -6.9496577e-09
               5.8223891                  -8.5754843e-09
               5.8824139                  -1.0319612e-08
               5.9424386                  -1.2124764e-08
               6.0024629                  -1.3930056e-08
               6.0624876                  -1.5681032e-08
               6.1225123                  -1.7340168e-08
               6.1825366                  -1.8895445e-08
               6.2425618                  -2.0364766e-08
               6.3025861                  -2.1794465e-08
               6.3626108                  -2.3251697e-08
               6.4226351                  -2.4811747e-08
               6.4826603                  -2.6543008e-08
               6.5426846                  -2.8493185e-08
               6.6027093                  -3.0679995e-08
                6.662734                  -3.3088789e-08
               6.7227583                  -3.5677367e-08
                6.782783                  -3.8386318e-08
               6.8428078                  -4.1151555e-08
               6.9028325                  -4.3915477e-08
               6.9628568                   -4.663347e-08
                7.022882                  -4.9274806e-08
               7.0829062                  -5.1818805e-08
                7.142931                  -5.4248844e-08
               7.2029557                  -5.6547474e-08
                 7.26298                  -5.8694731e-08
               7.3230047                  -6.0670295e-08
               7.3830295                  -6.2457993e-08
               7.4430542                  -6.4049829e-08
               7.5030789                  -6.5446727e-08
               7.5631032                  -6.6654579e-08
               7.6231279                   -6.767673e-08
               7.6831527                  -6.8505258e-08
               7.7431779                  -6.9114982e-08
               7.8032017                  -6.9462857e-08
               7.8632264                  -6.9493467e-08
               7.9232512                  -6.9148975e-08
               7.9832754                  -6.8379052e-08
               8.0433006                  -6.7147354e-08
               8.1033249                  -6.5431045e-08
               8.1633501                  -6.3213676e-08
               8.2233744                  -6.0473909e-08
               8.2833986                  -5.7174727e-08
               8.3434238                  -5.3257679e-08
