        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.07669872                               0
              0.15339744                               0
              0.23009618                               0
              0.30679488                               0
              0.38349363                               0
              0.46019235                               0
               0.5368911                               0
              0.61358976                               0
              0.69028854                               0
              0.76698726                               0
              0.84368598                               0
              0.92038471                               0
              0.99708343                               0
               1.0737822                               0
                1.150481                               0
               1.2271795                               0
               1.3038783                               0
               1.3805771                               0
               1.4572759                               0
               1.5339745                               0
               1.6106733                               0
                1.687372                               0
               1.7640706                               0
               1.8407694                               0
               1.9174682                               0
               1.9941669                               0
               2.0708656                               0
               2.1475644                               0
                2.224263                               0
                2.300962                               0
               2.3776605                               0
               2.4543591                               0
               2.5310581                               0
               2.6077566                               0
               2.6844554                               0
               2.7611542                               0
                2.837853                               0
               2.9145517                               0
               2.9912503                               0
               3.0679491                               0
               3.1446478                               0
               3.2213466                               0
               3.2980452                               0
               3.3747439                               0
               3.4514427                               0
               3.5281413                               0
               3.6048403                               0
               3.6815388                               0
               3.7582378                               0
               3.8349364                               0
               3.9116349                               0
               3.9883337                               0
               4.0650325                               0
               4.1417313                               0
                 4.21843                               0
               4.2951288                               0
               4.3718271                               0
               4.4485259                               0
               4.5252252                               0
               4.6019239                               0
               4.6786222                               0
                4.755321                               0
               4.8320198                               0
               4.9087181                               0
               4.9854174                               0
               5.0621161                               0
               5.1388149                  -3.1444121e-35
               5.2155132                  -6.5115582e-34
                5.292212                     -8.9919e-33
               5.3689108                  -1.1074999e-31
               5.4456096                  -1.2609161e-30
               5.5223083                  -1.3346637e-29
               5.5990071                  -1.3161648e-28
               5.6757059                  -1.2111776e-27
               5.7524042                  -1.0416478e-26
               5.8291035                  -8.3843188e-26
               5.9058022                  -6.3245538e-25
               5.9825006                   -4.476648e-24
               6.0591993                  -2.9767846e-23
               6.1358981                  -1.8616161e-22
               6.2125969                  -1.0960377e-21
               6.2892957                  -6.0809032e-21
               6.3659945                  -3.1820336e-20
               6.4426932                  -1.5718002e-19
               6.5193915                  -7.3347485e-19
               6.5960903                  -3.2358507e-18
               6.6727896                  -1.3505476e-17
               6.7494879                  -5.3362646e-17
               6.8261867                  -1.9973103e-16
               6.9028854                  -7.0859346e-16
               6.9795842                  -2.3842042e-15
               7.0562825                  -7.6124503e-15
               7.1329818                  -2.3076415e-14
               7.2096806                  -6.6449274e-14
               7.2863789                  -1.8184063e-13
               7.3630776                   -4.731017e-13
               7.4397764                  -1.1707007e-12
               7.5164757                  -2.7561833e-12
                7.593174                   -6.175312e-12
               7.6698728                  -1.3170047e-11
               7.7465715                  -2.6739303e-11
               7.8232698                  -5.1685399e-11
               7.8999686                  -9.5109115e-11
               7.9766674                   -1.665913e-10
               8.0533657                  -2.7768662e-10
                8.130065                  -4.4033752e-10
               8.2067642                  -6.6399886e-10
               8.2834625                  -9.5171637e-10
               8.3601618                  -1.2960927e-09
               8.4368601                  -1.6767682e-09
               8.5135584                  -2.0613586e-09
               8.5902576                  -2.4112559e-09
               8.6669559                  -2.6920941e-09
               8.7436543                  -2.8863274e-09
               8.8203535                  -3.0031388e-09
               8.8970518                  -3.0802592e-09
               8.9737511                     -3.1742e-09
               9.0504503                  -3.3399994e-09
               9.1271486                  -3.6072068e-09
               9.2038479                  -3.9626058e-09
               9.2805462                  -4.3493764e-09
               9.3572445                  -4.6860729e-09
               9.4339437                  -4.8991842e-09
               9.5106421                  -4.9549507e-09
               9.5873404                  -4.8745687e-09
               9.6640396                  -4.7240158e-09
               9.7407379                  -4.5826249e-09
               9.8174362                  -4.5061626e-09
               9.8941355                  -4.5034874e-09
               9.9708347                  -4.5380357e-09
               10.047533                  -4.5507784e-09
               10.124232                  -4.4889488e-09
               10.200931                  -4.3229718e-09
                10.27763                  -4.0440127e-09
               10.354328                  -3.6494501e-09
               10.431026                  -3.1323732e-09
               10.507726                  -2.4870359e-09
               10.584424                  -1.7274623e-09
               10.661122                  -9.0241897e-10
               10.737822                  -8.8405429e-11
               10.814521                   6.4363398e-10
               10.891219                   1.2715181e-09
               10.967918                   1.8467822e-09
               11.044617                   2.4808093e-09
               11.121315                   3.2954233e-09
               11.198014                   4.3655652e-09
               11.274713                    5.688872e-09
               11.351412                   7.2006925e-09
                11.42811                   8.8237515e-09
               11.504808                     1.05194e-08
               11.581508                   1.2307731e-08
