        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
50.56152787                     -109.83168451
51.41850292                     -115.31154294
52.27547797                     -121.31673254
53.13245302                     -127.89462241
53.98942806                     -135.22575130
54.84640311                     -143.32054015
55.70337816                     -152.43383319
56.56035321                     -162.59279180
57.41732826                     -174.06164508
58.27430331                     173.08346458
59.13127836                     158.66268980
59.98825340                     142.60029128
60.84522845                     124.95661181
61.70220350                     105.83251018
62.55917855                     85.64742302
63.41615360                     64.78847507
64.27312865                     43.81581770
65.13010370                     23.16132158
65.98707874                     3.04190130
66.84405379                     -16.42405350
67.70102884                     -35.58914830
68.55800389                     -55.01352197
69.41497894                     -76.46903046
70.27195399                     -105.82899196
71.12892904                     -165.56386845
71.98590408                     126.14326998
72.84287913                     95.29304518
73.69985418                     76.82735876
74.55682923                     62.65864358
75.41380428                     50.76312061
76.27077933                     40.25632555
77.12775438                     30.76599670
77.98472943                     22.04482214
78.84170447                     13.90655397
79.69867952                     6.25479813
80.55565457                     -1.05972053
81.41262962                     -8.09250739
82.26960467                     -14.97915543
83.12657972                     -21.77190658
83.98355477                     -28.58568289
84.84052981                     -35.48377305
85.69750486                     -42.55774934
86.55447991                     -49.89439593
87.41145496                     -57.57277230
88.26843001                     -65.71345474
89.12540506                     -74.40155915
89.98238011                     -83.81055494
90.83935515                     -94.06913745
91.69633020                     -105.38340258
92.55330525                     -117.93337476
93.41028030                     -131.93130231
94.26725535                     -147.55237884
95.12423040                     -164.83937788
95.98120545                     176.32181430
96.83818050                     156.43043829
97.69515554                     136.21703591
98.55213059                     116.58377792
99.40910564                     98.25250399
100.26608069                     81.58993401
101.12305574                     66.71403651
101.98003079                     53.46154771
102.83700584                     41.66823444
103.69398088                     31.07317808
104.55095593                     21.47637816
105.40793098                     12.67998282
106.26490603                     4.49272709
107.12188108                     -3.20560020
107.97885613                     -10.59881667
108.83583118                     -17.74253971
109.69280622                     -24.79343094
110.54978127                     -31.73275931
111.40675632                     -38.62880667
112.26373137                     -45.42823631
113.12070642                     -52.26845102
113.97768147                     -59.50987267
114.83465652                     -67.88391625
115.69163156                     -86.22218784
116.54860661                     106.56952863
117.40558166                     94.86903735
118.26255671                     85.56869285
119.11953176                     76.86774671
119.97650681                     68.37633326
120.83348186                     60.20214013
121.69045691                     52.34762008
122.54743195                     44.83796834
123.40440700                     37.73667604
124.26138205                     30.95921069
125.11835710                     24.59928525
125.97533215                     18.50543777
126.83230720                     12.78826714
127.68928225                     7.27499571
128.54625729                     2.06335007
129.40323234                     -2.99523889
130.26020739                     -7.86034629
131.11718244                     -12.60322264
131.97415749                     -17.29786806
132.83113254                     -21.87046693
133.68810759                     -26.58138574
134.54508263                     -31.08900461
135.40205768                     -35.84971588
136.25903273                     -39.43646518
137.11600778                     -39.48375306
137.97298283                     -20.60281475
138.82995788                     -11.43222851
139.68693293                     -22.94224413
140.54390798                     -33.37742160
141.40088302                     -40.73866642
142.25785807                     -46.72021177
143.11483312                     -51.38864143
143.97180817                     -55.75362266
144.82878322                     -59.11224065
145.68575827                     -62.31143674
146.54273332                     -64.41819707
147.39970836                     -66.32413903
148.25668341                     -67.23647351
149.11365846                     -68.16679047
149.97063351                     -68.60887924
150.82760856                     -69.40008780
