        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
50.08249310                     -0.36518685
50.89027525                     -0.41965123
51.69805739                     -0.51267046
52.50583954                     -0.65856491
53.31362169                     -0.91343650
54.12140384                     -1.36356237
54.92918598                     -2.17813255
55.73696813                     -3.58522569
56.54475028                     -5.61577310
57.35253242                     -7.45664039
58.16031457                     -7.82920026
58.96809672                     -7.16697940
59.77587886                     -6.40816714
60.58366101                     -5.85247431
61.39144316                     -5.48080683
62.19922530                     -5.24595708
63.00700745                     -5.08845867
63.81478960                     -4.97173676
64.62257174                     -4.86554155
65.43035389                     -4.74815717
66.23813604                     -4.61450410
67.04591818                     -4.45680991
67.85370033                     -4.28528622
68.66148248                     -4.10149850
69.46926462                     -3.91717086
70.27704677                     -3.73749032
71.08482892                     -3.56890072
71.89261106                     -3.41831568
72.70039321                     -3.28794803
73.50817536                     -3.18639642
74.31595751                     -3.11531171
75.12373965                     -3.08515894
75.93152180                     -3.10135156
76.73930395                     -3.17819904
77.54708609                     -3.33110043
78.35486824                     -3.58421302
79.16265039                     -3.97252594
79.97043253                     -4.54160601
80.77821468                     -5.36010895
81.58599683                     -6.51187756
82.39377897                     -8.11251831
83.20156112                     -10.28506063
84.00934327                     -13.08510075
84.81712541                     -15.95884431
85.62490756                     -16.67463267
86.43268971                     -14.84013214
87.24047185                     -12.73432966
88.04825400                     -11.09543300
88.85603615                     -9.89986276
89.66381829                     -9.02655865
90.47160044                     -8.38930182
91.27938259                     -7.91886265
92.08716473                     -7.57404559
92.89494688                     -7.32309082
93.70272903                     -7.14648370
94.51051117                     -7.03322438
95.31829332                     -6.97431694
96.12607547                     -6.97036579
96.93385762                     -7.01628427
97.74163976                     -7.11485425
98.54942191                     -7.25647972
99.35720406                     -7.43067988
100.16498620                     -7.60798730
100.97276835                     -7.74287750
101.78055050                     -7.77639241
102.58833264                     -7.64512090
103.39611479                     -7.32655085
104.20389694                     -6.84306978
105.01167908                     -6.27020155
105.81946123                     -5.69157212
106.62724338                     -5.17326308
107.43502552                     -4.75827286
108.24280767                     -4.45773483
109.05058982                     -4.27497302
109.85837196                     -4.19623267
110.66615411                     -4.21169093
111.47393626                     -4.30721729
112.28171840                     -4.47253124
113.08950055                     -4.70297160
113.89728270                     -4.99574217
114.70506484                     -5.36765067
115.51284699                     -5.83780633
116.32062914                     -6.45370119
117.12841129                     -7.26207665
117.93619343                     -8.34799409
118.74397558                     -9.81711923
119.55175773                     -11.85738780
120.35953987                     -14.74327915
121.16732202                     -18.48002870
121.97510417                     -19.32747901
122.78288631                     -15.37957173
123.59066846                     -11.75035465
124.39845061                     -9.11893417
125.20623275                     -7.18203330
126.01401490                     -5.73946842
126.82179705                     -4.65002653
127.62957919                     -3.82092381
128.43736134                     -3.19366465
129.24514349                     -2.70899515
130.05292563                     -2.34924226
130.86070778                     -2.06794432
131.66848993                     -1.87241072
132.47627207                     -1.72222629
133.28405422                     -1.63980346
134.09183637                     -1.59158171
134.89961851                     -1.60860633
135.70740066                     -1.67609464
136.51518281                     -1.83790664
137.32296496                     -2.14663824
138.13074710                     -2.71183398
138.93852925                     -3.35761726
139.74631140                     -2.33236398
140.55409354                     -1.28997115
141.36187569                     -1.25222429
142.16965784                     -1.40280254
142.97743998                     -1.70717949
143.78522213                     -2.02996299
144.59300428                     -2.42748285
145.40078642                     -2.84666848
146.20856857                     -3.28731000
147.01635072                     -3.73349829
147.82413286                     -4.13315357
148.63191501                     -4.51369265
149.43969716                     -4.79143320
