        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -1.1589236e-08
             0.042450141                   1.3626026e-06
             0.084900282                   1.4040683e-06
              0.12735042                   1.4475003e-06
              0.16980056                   1.4917334e-06
              0.21225071                   1.5348081e-06
              0.25470084                   1.5784881e-06
                0.297151                   1.6227333e-06
              0.33960113                   1.6672026e-06
              0.38205126                   1.7102782e-06
              0.42450142                   1.7536966e-06
              0.46695155                   1.7968899e-06
              0.50940168                   1.8396433e-06
              0.55185181                   1.8809826e-06
                0.594302                   1.9232873e-06
              0.63675213                   1.9634449e-06
              0.67920226                   2.0034111e-06
              0.72165239                   2.0421205e-06
              0.76410252                   2.0792927e-06
              0.80655265                   2.1158332e-06
              0.84900284                   2.1507512e-06
              0.89145297                   2.1836399e-06
               0.9339031                   2.2148197e-06
              0.97635323                   2.2446741e-06
               1.0188034                   2.2718518e-06
               1.0612535                   2.2970139e-06
               1.1037036                    2.319772e-06
               1.1461538                   2.3395075e-06
                1.188604                   2.3564401e-06
               1.2310541                   2.3705986e-06
               1.2735043                   2.3807727e-06
               1.3159543                   2.3879506e-06
               1.3584045                   2.3913008e-06
               1.4008547                   2.3902317e-06
               1.4433048                   2.3853383e-06
                1.485755                    2.375765e-06
                1.528205                   2.3612868e-06
               1.5706552                   2.3419416e-06
               1.6131053                   2.3170689e-06
               1.6555555                   2.2863778e-06
               1.6980057                    2.249973e-06
               1.7404557                   2.2070624e-06
               1.7829059                   2.1578453e-06
                1.825356                   2.1015976e-06
               1.8678062                   2.0383129e-06
               1.9102564                   1.9673846e-06
               1.9527065                   1.8883933e-06
               1.9951566                   1.8013468e-06
               2.0376067                   1.7057548e-06
               2.0800569                   1.6010883e-06
               2.1225071                   1.4870395e-06
               2.1649573                   1.3632699e-06
               2.2074072                   1.2294257e-06
               2.2498574                   1.0850354e-06
               2.2923076                    9.297799e-07
               2.3347578                   7.6334436e-07
                2.377208                   5.8508999e-07
               2.4196579                   3.9492164e-07
               2.4621081                   1.9203137e-07
               2.5045583                  -2.3548306e-08
               2.5470085                  -2.5249341e-07
               2.5894587                  -4.9518746e-07
               2.6319087                  -7.5214905e-07
               2.6743588                  -1.0235466e-06
                2.716809                  -1.3101561e-06
               2.7592592                  -1.6120188e-06
               2.8017094                  -1.9295901e-06
               2.8441594                  -2.2636382e-06
               2.8866096                  -2.6141565e-06
               2.9290597                  -2.9818234e-06
               2.9715099                  -3.3670428e-06
               3.0139601                  -3.7701182e-06
               3.0564101                  -4.1913213e-06
               3.0988603                  -4.6312575e-06
               3.1413105                  -5.0902504e-06
               3.1837606                  -5.5685541e-06
               3.2262106                   -6.066643e-06
               3.2686608                  -6.5848817e-06
                3.311111                  -7.1234213e-06
               3.3535612                  -7.6827027e-06
               3.3960114                  -8.2629786e-06
               3.4384613                  -8.8647803e-06
               3.4809115                   -9.487876e-06
               3.5233617                  -1.0132918e-05
               3.5658119                  -1.0799844e-05
               3.6082621                  -1.1489115e-05
                3.650712                  -1.2200716e-05
               3.6931622                  -1.2934882e-05
               3.7356124                  -1.3691573e-05
               3.7780626                  -1.4470983e-05
               3.8205128                  -1.5273248e-05
               3.8629627                  -1.6098216e-05
               3.9054129                  -1.6946036e-05
               3.9478631                  -1.7816543e-05
               3.9903133                  -1.8709648e-05
               4.0327635                  -1.9625233e-05
               4.0752134                  -2.0563097e-05
               4.1176639                  -2.1523032e-05
               4.1601138                  -2.2504848e-05
               4.2025638                  -2.3507897e-05
               4.2450142                  -2.4532121e-05
               4.2874641                  -2.5576908e-05
               4.3299146                  -2.6641907e-05
               4.3723645                  -2.7726399e-05
               4.4148145                  -2.8829936e-05
               4.4572649                  -2.9951676e-05
               4.4997149                  -3.1090902e-05
               4.5421653                  -3.2246884e-05
               4.5846152                  -3.3418739e-05
               4.6270652                  -3.4605426e-05
               4.6695156                  -3.5805951e-05
               4.7119656                  -3.7019163e-05
                4.754416                  -3.8243783e-05
               4.7968659                  -3.9478673e-05
               4.8393159                  -4.0722502e-05
               4.8817663                  -4.1973664e-05
               4.9242163                  -4.3230539e-05
               4.9666667                  -4.4491793e-05
               5.0091166                  -4.5755227e-05
               5.0515666                  -4.7019428e-05
                5.094017                  -4.8282283e-05
                5.136467                   -4.954169e-05
               5.1789174                  -5.0795592e-05
               5.2213674                  -5.2041716e-05
               5.2638173                  -5.3277749e-05
               5.3062677                  -5.4500975e-05
               5.3487177                  -5.5709224e-05
               5.3911681                  -5.6899473e-05
               5.4336181                  -5.8068876e-05
                5.476068                   -5.921473e-05
               5.5185184                  -6.0333685e-05
               5.5609684                  -6.1422717e-05
               5.6034188                  -6.2478619e-05
               5.6458688                   -6.349777e-05
               5.6883187                  -6.4476662e-05
               5.7307692                  -6.5411652e-05
               5.7732191                  -6.6298933e-05
               5.8156695                  -6.7134468e-05
               5.8581195                  -6.7914356e-05
               5.9005694                  -6.8634254e-05
               5.9430199                  -6.9289839e-05
               5.9854698                  -6.9876711e-05
               6.0279202                  -7.0390284e-05
               6.0703702                  -7.0825787e-05
               6.1128201                  -7.1178438e-05
               6.1552706                  -7.1443304e-05
               6.1977205                  -7.1615133e-05
                6.240171                   -7.168881e-05
               6.2826209                  -7.1658949e-05
               6.3250709                  -7.1520102e-05
               6.3675213                  -7.1266695e-05
               6.4099712                  -7.0893053e-05
               6.4524212                  -7.0393202e-05
               6.4948716                  -6.9761343e-05
               6.5373216                  -6.8991489e-05
                6.579772                  -6.8077534e-05
               6.6222219                   -6.701301e-05
               6.6646719                  -6.5791879e-05
               6.7071223                  -6.4407424e-05
               6.7495723                  -6.2853273e-05
               6.7920227                  -6.1122999e-05
               6.8344727                  -5.9209677e-05
               6.8769226                  -5.7106659e-05
                6.919373                  -5.4807184e-05
                6.961823                  -5.2304509e-05
               7.0042734                   -4.959165e-05
               7.0467234                  -4.6661717e-05
               7.0891733                  -4.3507694e-05
               7.1316237                  -4.0122672e-05
               7.1740737                  -3.6499598e-05
               7.2165241                  -3.2631648e-05
               7.2589741                  -2.8511613e-05
                7.301424                  -2.4132703e-05
               7.3438745                  -1.9487888e-05
               7.3863244                  -1.4570483e-05
               7.4287748                  -9.3734161e-06
               7.4712248                  -3.8901026e-06
               7.5136747                   1.8862039e-06
               7.5561252                   7.9620122e-06
               7.5985751                   1.4343852e-05
               7.6410255                   2.1038164e-05
               7.6834755                   2.8051001e-05
               7.7259254                   3.5388501e-05
               7.7683759                   4.3056378e-05
               7.8108258                   5.1060568e-05
               7.8532763                   5.9406382e-05
               7.8957262                   6.8099231e-05
               7.9381762                   7.7143901e-05
               7.9806266                   8.6545246e-05
                8.023077                   9.6307907e-05
                8.065527                   0.00010643596
               8.1079769                    0.0001169331
               8.1504269                    0.0001278031
               8.1928768                   0.00013904899
               8.2353277                   0.00015067357
               8.2777777                   0.00016267911
               8.3202276                   0.00017506769
               8.3626776                   0.00018784071
               8.4051275                    0.0002009992
               8.4475784                   0.00021454373
               8.4900284                   0.00022847419
               8.5324783                   0.00024279011
               8.5749283                   0.00025749038
               8.6173782                   0.00027257332
               8.6598291                   0.00028803639
               8.7022791                   0.00030387685
                8.744729                   0.00032009091
                8.787179                   0.00033667422
               8.8296289                   0.00035362181
               8.8720798                   0.00037092777
               8.9145298                   0.00038858547
               8.9569798                   0.00040658776
               8.9994297                   0.00042492614
               9.0418797                   0.00044359165
               9.0843306                   0.00046257427
               9.1267805                   0.00048186342
               9.1692305                   0.00050144701
               9.2116804                   0.00052131247
               9.2541304                   0.00054144597
               9.2965813                   0.00056183274
               9.3390312                    0.0005824574
               9.3814812                   0.00060330279
               9.4239311                   0.00062435103
               9.4663811                    0.0006455832
                9.508832                   0.00066697935
               9.5512819                   0.00068851805
               9.5937319                   0.00071017689
               9.6361818                   0.00073193235
               9.6786318                   0.00075375952
               9.7210827                   0.00077563245
               9.7635326                   0.00079752377
               9.8059826                   0.00081940502
               9.8484325                   0.00084124645
               9.8908825                   0.00086301676
               9.9333334                   0.00088468369
               9.9757833                   0.00090621336
               10.018233                   0.00092757086
               10.060683                   0.00094871968
               10.103133                   0.00096962205
               10.145584                   0.00099023897
               10.188034                    0.0010105299
               10.230484                     0.001030453
