        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
50.76329724                     -113.08790045
51.73951450                     -119.81151641
52.71573175                     -127.21970927
53.69194901                     -135.36116306
54.66816626                     -144.32154262
55.64438352                     -154.15934405
56.62060077                     -165.01037714
57.59681803                     -176.97503765
58.57303528                     169.83084944
59.54925254                     155.40520299
60.52546979                     139.85671853
61.50168704                     123.44794043
62.47790430                     106.59503745
63.45412155                     89.76189795
64.43033881                     73.41877568
65.40655606                     57.89303175
66.38277332                     43.37899590
67.35899057                     29.91837441
68.33520783                     17.44635339
69.31142508                     5.84732654
70.28764234                     -5.04478104
71.26385959                     -15.38741272
72.24007685                     -25.36371195
73.21629410                     -35.14180461
74.19251136                     -44.90601574
75.16872861                     -54.84078009
76.14494586                     -65.13361265
77.12116312                     -75.98569918
78.09738037                     -87.59272377
79.07359763                     -100.19930341
80.04981488                     -114.11506431
81.02603214                     -129.89804984
82.00224939                     -148.67318641
82.97846665                     -172.89375550
83.95468390                     153.28646459
84.93090116                     111.20592504
85.90711841                     75.12320899
86.88333567                     50.00962681
87.85955292                     31.67927602
88.83577018                     16.90461408
89.81198743                     4.09322342
90.78820469                     -7.60729125
91.76442194                     -18.68164228
92.74063919                     -29.45568596
93.71685645                     -40.19008139
94.69307370                     -51.10064784
95.66929096                     -62.41885684
96.64550821                     -74.35160640
97.62172547                     -87.13168002
98.59794272                     -100.97204188
99.57415998                     -116.08236127
100.55037723                     -132.61743899
101.52659449                     -150.55746653
102.50281174                     -169.61573800
103.47902900                     170.88221332
104.45524625                     151.78062377
105.43146351                     133.82601635
106.40768076                     117.43588536
107.38389801                     102.68597066
108.36011527                     89.48854421
109.33633252                     77.64647773
110.31254978                     66.99102113
111.28876703                     57.36202222
112.26498429                     48.66239685
113.24120154                     40.85152752
114.21741880                     33.87488640
115.19363605                     27.55079704
116.16985331                     21.45934453
117.14607056                     15.31108533
118.12228782                     9.04376983
119.09850507                     2.72833755
120.07472233                     -3.64482969
121.05093958                     -10.12895333
122.02715683                     -16.82545335
123.00337409                     -23.88628892
123.97959134                     -31.45972388
124.95580860                     -39.78971114
125.93202585                     -49.03604322
126.90824311                     -59.31284348
127.88446036                     -69.55892487
128.86067762                     -61.04862319
129.83689487                     60.17069567
130.81311213                     50.11791084
131.78932938                     36.57662126
132.76554664                     23.91887905
133.74176389                     12.93508579
134.71798115                     3.43314569
135.69419840                     -4.84153350
136.67041565                     -12.19353714
137.64663291                     -18.96220549
138.62285016                     -25.24195271
139.59906742                     -31.54071566
140.57528467                     -37.79240844
141.55150193                     -45.00526269
142.52771918                     -50.02119507
143.50393644                     -50.19811964
144.48015369                     -53.02073680
145.45637095                     -57.52719883
146.43258820                     -61.23102380
147.40880546                     -64.41032190
148.38502271                     -66.60607688
149.36123997                     -69.00399838
