        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
50.19970019                     -0.41688889
50.89691825                     -0.50935757
51.59413630                     -0.65541179
52.29135436                     -0.87919380
52.98857242                     -1.23752722
53.68579048                     -1.81818615
54.38300854                     -2.75063867
55.08022659                     -4.14909830
55.77744465                     -5.81253741
56.47466271                     -6.90210689
57.17188077                     -6.79688398
57.86909883                     -6.12425310
58.56631689                     -5.49367654
59.26353494                     -5.07680738
59.96075300                     -4.84601640
60.65797106                     -4.75853295
61.35518912                     -4.76376983
62.05240718                     -4.82443179
62.74962523                     -4.91017509
63.44684329                     -4.99154404
64.14406135                     -5.05508143
64.84127941                     -5.08135216
65.53849747                     -5.06925522
66.23571553                     -5.01084468
66.93293358                     -4.91162580
67.63015164                     -4.77514306
68.32736970                     -4.61051315
69.02458776                     -4.43016964
69.72180582                     -4.24334881
70.41902387                     -4.06490310
71.11624193                     -3.90075545
71.81345999                     -3.76334288
72.51067805                     -3.65572657
73.20789611                     -3.58759714
73.90511416                     -3.56273264
74.60233222                     -3.59063169
75.29955028                     -3.68056905
75.99676834                     -3.84650325
76.69398640                     -4.10965139
77.39120446                     -4.49676219
78.08842251                     -5.05154223
78.78564057                     -5.82814473
79.48285863                     -6.90992994
80.18007669                     -8.40360414
80.87729475                     -10.47066816
81.57451280                     -13.35523012
82.27173086                     -17.41151941
82.96894892                     -21.83391798
83.66616698                     -20.27164482
84.36338504                     -16.36257172
85.06060310                     -13.56174440
85.75782115                     -11.59574832
86.45503921                     -10.15758057
87.15225727                     -9.06279789
87.84947533                     -8.21354516
88.54669339                     -7.54686048
89.24391144                     -7.02862187
89.94112950                     -6.63348492
90.63834756                     -6.34364240
91.33556562                     -6.14761808
92.03278368                     -6.03298240
92.73000174                     -5.99417322
93.42721979                     -6.02030837
94.12443785                     -6.10670570
94.82165591                     -6.24096265
95.51887397                     -6.41272578
96.21609203                     -6.60340773
96.91331008                     -6.79005517
97.61052814                     -6.94620027
98.30774620                     -7.04042819
99.00496426                     -7.05299846
99.70218232                     -6.96984903
100.39940037                     -6.80057181
101.09661843                     -6.56312889
101.79383649                     -6.28595325
102.49105455                     -5.99683059
103.18827261                     -5.71619191
103.88549067                     -5.46282752
104.58270872                     -5.24348146
105.27992678                     -5.06793820
105.97714484                     -4.93680031
106.67436290                     -4.85619376
107.37158096                     -4.82838623
108.06879901                     -4.86057662
108.76601707                     -4.96291469
109.46323513                     -5.14904649
110.16045319                     -5.44439633
110.85767125                     -5.87914020
111.55488931                     -6.50854027
112.25210736                     -7.40354546
112.94932542                     -8.68547071
113.64654348                     -10.52390219
114.34376154                     -13.13415161
115.04097960                     -16.23700555
115.73819765                     -16.61116919
116.43541571                     -13.38289828
117.13263377                     -10.30917027
117.82985183                     -8.07147581
118.52706989                     -6.47994097
119.22428795                     -5.32948069
119.92150600                     -4.49204379
120.61872406                     -3.86961194
121.31594212                     -3.40612777
122.01316018                     -3.05647836
122.71037824                     -2.79374924
123.40759629                     -2.59857238
124.10481435                     -2.45467921
124.80203241                     -2.35675479
125.49925047                     -2.29181959
126.19646853                     -2.26348761
126.89368658                     -2.25998212
127.59090464                     -2.29151536
128.28812270                     -2.34870399
128.98534076                     -2.44821180
129.68255882                     -2.58859926
130.37977688                     -2.79808333
131.07699493                     -3.09984086
131.77421299                     -3.55792180
132.47143105                     -4.27991884
133.16864911                     -5.48216085
133.86586717                     -7.59777581
134.56308522                     -10.73121734
135.26030328                     -9.71600004
135.95752134                     -5.36272742
136.65473940                     -2.80601023
137.35195746                     -1.58344396
138.04917552                     -1.02842798
138.74639357                     -0.76845103
139.44361163                     -0.68856749
140.14082969                     -0.67344101
140.83804775                     -0.75330642
141.53526581                     -0.85372745
142.23248386                     -1.06626604
142.92970192                     -1.36879703
143.62691998                     -2.20902871
144.32413804                     -4.01452869
145.02135610                     -3.97260421
145.71857416                     -3.30533447
146.41579221                     -3.32748724
147.11301027                     -3.36044159
147.81022833                     -3.55682910
148.50744639                     -3.63288727
149.20466445                     -3.78623653
149.90188250                     -3.81664769
