        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
50.59806990                     -0.31008435
51.38866474                     -0.36837396
52.17925958                     -0.44743611
52.96985442                     -0.55235158
53.76044926                     -0.68865448
54.55104411                     -0.86110727
55.34163895                     -1.07571751
56.13223379                     -1.33584865
56.92282863                     -1.64881812
57.71342347                     -2.01788402
58.50401832                     -2.45020906
59.29461316                     -2.94455959
60.08520800                     -3.49723796
60.87580284                     -4.09647824
61.66639769                     -4.72969636
62.45699253                     -5.39721975
63.24758737                     -6.11436230
64.03818221                     -6.92867489
64.82877705                     -7.90740052
65.61937190                     -9.14853486
66.40996674                     -10.78287849
67.20056158                     -13.00021892
67.99115642                     -16.13438483
68.78175126                     -20.75593822
69.57234611                     -25.39963128
70.36294095                     -21.43613388
71.15353579                     -16.98609102
71.94413063                     -13.96108832
72.73472547                     -11.76083906
73.52532032                     -10.05537584
74.31591516                     -8.69067182
75.10651000                     -7.58100964
75.89710484                     -6.68242225
76.68769969                     -5.95884867
77.47829453                     -5.38555765
78.26888937                     -4.93723956
79.05948421                     -4.59402620
79.85007905                     -4.33843969
80.64067390                     -4.15629063
81.43126874                     -4.03835512
82.22186358                     -3.97604030
83.01245842                     -3.96654402
83.80305326                     -4.00560008
84.59364811                     -4.09448463
85.38424295                     -4.23242398
86.17483779                     -4.42302059
86.96543263                     -4.66864336
87.75602748                     -4.97265541
88.54662232                     -5.33800627
89.33721716                     -5.76462697
90.12781200                     -6.24897617
90.91840684                     -6.77344876
91.70900169                     -7.30996084
92.49959653                     -7.80786084
93.29019137                     -8.20743177
94.08078621                     -8.45137943
94.87138105                     -8.51100620
95.66197590                     -8.40414743
96.45257074                     -8.17794865
97.24316558                     -7.89682193
98.03376042                     -7.61183971
98.82435526                     -7.36273709
99.61495011                     -7.17349142
100.40554495                     -7.05795179
101.19613979                     -7.02824574
101.98673463                     -7.09149515
102.77732948                     -7.26330619
103.56792432                     -7.55777213
104.35851916                     -8.00058933
105.14911400                     -8.61739976
105.93970884                     -9.43619421
106.73030369                     -10.46751341
107.52089853                     -11.64913020
108.31149337                     -12.74365382
109.10208821                     -13.22693691
109.89268305                     -12.68357743
110.68327790                     -11.38122995
111.47387274                     -9.88378281
112.26446758                     -8.52222068
113.05506242                     -7.38558244
113.84565727                     -6.46879419
114.63625211                     -5.71749737
115.42684695                     -5.07943655
116.21744179                     -4.53031249
117.00803663                     -4.06647708
117.79863148                     -3.68740756
118.58922632                     -3.37849823
119.37982116                     -3.13191012
120.17041600                     -2.93217276
120.96101084                     -2.77675981
121.75160569                     -2.65634366
122.54220053                     -2.57274676
123.33279537                     -2.52302624
124.12339021                     -2.51113706
124.91398505                     -2.54185239
125.70457990                     -2.62159873
126.49517474                     -2.76757542
127.28576958                     -2.99519569
128.07636442                     -3.34875672
128.86695927                     -3.87997368
129.65755411                     -4.71713257
130.44814895                     -6.07480984
131.23874379                     -8.47018572
132.02933863                     -12.97651513
132.81993348                     -15.73763022
133.61052832                     -9.13126558
134.40112316                     -5.12203749
135.19171800                     -3.01133193
135.98231284                     -1.89722941
136.77290769                     -1.28443177
137.56350253                     -0.94820108
138.35409737                     -0.76835464
139.14469221                     -0.67912320
139.93528706                     -0.67925139
140.72588190                     -0.72142435
141.51647674                     -0.90361378
142.30707158                     -1.22298865
143.09766642                     -2.27049406
143.88826127                     -3.18128660
144.67885611                     -2.64227412
145.46945095                     -2.52558350
146.26004579                     -2.71789172
147.05064063                     -2.98597307
147.84123548                     -3.26554069
148.63183032                     -3.45660259
149.42242516                     -3.63806010
