        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
50.59806990                     -114.96590641
51.38866474                     -120.93030109
52.17925958                     -127.45371362
52.96985442                     -134.62503517
53.76044926                     -142.51537559
54.55104411                     -151.23302103
55.34163895                     -160.87516307
56.13223379                     -171.58008247
56.92282863                     176.52107499
57.71342347                     163.29246078
58.50401832                     148.63778594
59.29461316                     132.55276304
60.08520800                     115.13247681
60.87580284                     96.65407140
61.66639769                     77.49871032
62.45699253                     58.16669749
63.24758737                     39.13642942
64.03818221                     20.81030126
64.82877705                     3.51186926
65.61937190                     -12.52186023
66.40996674                     -26.91629540
67.20056158                     -39.01451719
67.99115642                     -46.98825301
68.78175126                     -44.38709864
69.57234611                     -5.41251562
70.36294095                     37.55533377
71.15353579                     44.54821776
71.94413063                     42.00385421
72.73472547                     36.76832726
73.52532032                     30.45162740
74.31591516                     23.59384151
75.10651000                     16.41301771
75.89710484                     9.05428393
76.68769969                     1.63641264
77.47829453                     -5.76604749
78.26888937                     -13.08767962
79.05948421                     -20.32360182
79.85007905                     -27.46860667
80.64067390                     -34.56716718
81.43126874                     -41.65361188
82.22186358                     -48.79262499
83.01245842                     -56.04167744
83.80305326                     -63.47197555
84.59364811                     -71.16170520
85.38424295                     -79.19010719
86.17483779                     -87.66135119
86.96543263                     -96.67056097
87.75602748                     -106.35099274
88.54662232                     -116.83109358
89.33721716                     -128.27451287
90.12781200                     -140.82683556
90.91840684                     -154.63895228
91.70900169                     -169.81082762
92.49959653                     173.67791428
93.29019137                     156.01871976
94.08078621                     137.68141336
94.87138105                     119.28595350
95.66197590                     101.49046331
96.45257074                     84.74773058
97.24316558                     69.25200504
98.03376042                     54.99918584
98.82435526                     41.82933558
99.61495011                     29.56254150
100.40554495                     17.95981327
101.19613979                     6.80872058
101.98673463                     -4.13473126
102.77732948                     -15.11399083
103.56792432                     -26.39299790
104.35851916                     -38.29703983
105.14911400                     -51.20065043
105.93970884                     -65.67637780
106.73030369                     -82.50742099
107.52089853                     -102.90740855
108.31149337                     -128.17938122
109.10208821                     -158.11182268
109.89268305                     171.21673650
110.68327790                     144.64179287
111.47387274                     123.31135754
112.26446758                     106.19299937
113.05506242                     92.13312915
113.84565727                     80.35118818
114.63625211                     70.35559339
115.42684695                     61.62969440
116.21744179                     53.76537359
117.00803663                     46.48109947
117.79863148                     39.70686298
118.58922632                     33.37614941
119.37982116                     27.44400192
120.17041600                     21.84733872
120.96101084                     16.51338643
121.75160569                     11.39843371
122.54220053                     6.41840795
123.33279537                     1.55350578
124.12339021                     -3.28943972
124.91398505                     -8.11822115
125.70457990                     -13.03715979
126.49517474                     -18.06342313
127.28576958                     -23.31398366
128.07636442                     -28.84033126
128.86695927                     -34.75056971
129.65755411                     -41.08051000
130.44814895                     -47.57378808
131.23874379                     -52.80741978
132.02933863                     -47.68289722
132.81993348                     7.37029308
133.61052832                     31.36573523
134.40112316                     24.46939553
135.19171800                     13.50793629
135.98231284                     3.11627542
136.77290769                     -5.81507000
137.56350253                     -13.64829512
138.35409737                     -20.46834210
139.14469221                     -26.84960911
139.93528706                     -32.73141773
140.72588190                     -38.68252012
141.51647674                     -44.62623345
142.30707158                     -51.25349670
143.09766642                     -56.85372115
143.88826127                     -53.41701531
144.67885611                     -52.27526064
145.46945095                     -56.90379571
146.26004579                     -60.21822030
147.05064063                     -63.37212221
147.84123548                     -65.23914887
148.63183032                     -67.28584562
149.42242516                     -68.87012500
